,Site,N0_Desilets,N0_UTS,GRAV_TDR_offset,TDR_Grav_ratio
0,C2,4296.054224325598,6350.422601577462,0.09033625005122618,0.5449707902010243
1,C1,3907.8171591601176,5670.147843787238,0.02388559782684746,0.7890616019601121
2,C3,4547.606532372419,6804.33001993258,0.08909757318133522,0.5764639307976699
3,C4,4087.2380305072734,5805.314179365809,0.0037006402706402652,0.9598812192979616
4,F2,5270.965675613889,7932.494223865719,0.1444945622065248,0.49708999677110577
5,F3,4631.689050043522,6997.485039991221,0.07162354837880638,0.7598420422217516
6,F4,4494.619280217012,6422.194951690752,0.009040919341933157,0.8921076996705845
7,F1,4233.316520386062,6338.42320550836,0.11521762827541357,0.4650879856120243
8,R1,4028.54735199058,5998.90782554967,,
9,R2,4322.756415370937,6402.070530671309,0.0869644227240565,0.5484603322470912
10,R5,4446.769340591847,6620.646157036151,0.04690661194076334,0.7887333070853496
11,R3,4426.164117215696,6466.099781193495,0.006108680479782899,0.9525725283463197
12,R7,4630.5766959379625,6971.694547895343,-0.014267615070836182,1.05658709575287
13,R6,4841.003273940927,7384.263422954543,0.05840558700524033,0.6795592412594789
14,R4,4861.721216483492,7270.582205144449,-0.051973246728760636,1.2121400959793813
