,N_pvisd_Des,N_pisd_UTS,Sample_total_swc_g,TDR_total_swc_g,bd,lw,soc_water,Porosity,Elev,Canopy,landCoverClass,OldName,NewName,CalStart,CalEnd,SampDate,airRH,airT,Rhov_cal_g_cm3,WeightedTDR,BWE_mm,BWE_uncer,Port_raw_mod_cph,Stationary_raw_mod_cph,Raw_Mod_cv,Raw_Mod_sqrt,N0_fit_Des,N0_fit_UTS,N_ratio_raw,QA1,QA2,Des_resid_loocv_N0,Des_pred_loocv_N0,Des_obs_loocv_N0,Des_resid_N0_fit_to_all,UTS_Resid_loocv_N0,UTS_pred_loocv_N0,UTS_obs_loocv_N0,UTS_resid_N0_fit_to_all
0,2827.278833116693,2675.3095839794764,0.1985284639004499,0.10743570259772527,1.361518108344007,0.0315,0.0185,0.48621958175697844,2213.1528,half-forest,Pasture with aspen,Crys 1,C2,2023-07-31 14:00:00,2023-07-31 16:30:00,2023-07-31 14:30:00,62.075,18.575,1.051562999456344e-05,0.07819974915226387,82.9021925479212,4.942364161724904,13558.31579,10209.2,0.009898070174896741,101.03700917982852,4489.797737959071,6653.987253276704,1.3280487981428515,TRUE,FALSE,0.01178028184721755,0.18674818205323235,0.1985284639004499,0.011327968613746159,-0.004539306361602741,0.20306777026205264,0.1985284639004499,-0.0040910188516831425
1,2808.843837422032,2661.6931408486007,0.11323494465114294,0.08922843471035598,0.9801954581421034,0.028499999999999998,0.013000000000000001,0.63011492145581,2208.5808,forest,Ponderosa pine,Crys 2,C1,2023-07-31 17:00:00,2023-07-31 19:00:00,2023-07-31 17:30:00,44.333333333333336,24.5,1.0240961616136332e-05,0.046783194927322844,40.76532908884749,1.9795670778219752,13517.5,10426.5,0.009794187736309301,102.10727894036026,3868.8181416280713,5584.594368178011,1.2964561453987435,TRUE,FALSE,-0.08202935613094652,0.19526430078208945,0.11323494465114294,-0.07875220568358852,-0.09330732349735112,0.20654226814849405,0.11323494465114294,-0.09293371338269692
2,2784.819036347551,2646.1035548317736,0.21036596327943877,0.1214554815374456,0.8743120546698385,0.040499999999999994,0.03,0.6700709227660986,2131.4664,forest,Cottonwood riparian,Crys 3,C3,2023-07-31 19:30:00,2023-07-31 21:30:00,2023-07-31 20:00:00,36.5,27.0,9.698727711211888e-06,0.0445509917596951,96.31413316937264,2.6026584708246707,12852.0,9560.5,0.010240291504524525,97.73728194175727,4489.212565066153,6693.191917566338,1.3442811568432613,TRUE,FALSE,0.012445036229999346,0.19792092704943942,0.21036596327943877,0.01190839279075498,0.0033537793179056474,0.20701218396153312,0.21036596327943877,-6.687883300976472e-05
3,3198.822332173483,3077.607473637404,0.09224209225412074,0.09330832898481543,1.204974427969537,0.0295,0.013000000000000001,0.5452926686907408,1976.0184,forest,Oak forest,Crys 6,C4,2023-08-04 22:30:00,2023-08-05 00:30:00,2023-07-31 22:30:00,39.625,27.700000000000003,7.289387221778859e-06,0.06122273715456603,11.682695480554193,0.7597026405441388,12852.0,9436.8,0.01029540158550634,97.13901509658676,4198.5787174553025,6058.872318991635,1.3619023397761953,TRUE,FALSE,-0.023077761445696288,0.11531985369981702,0.09224209225412074,-0.02269890118739623,-0.03497447637890734,0.12721656863302808,0.09224209225412074,-0.03497447637890734
4,3028.8330585367103,2877.2335337092873,0.2873169379785822,0.15169048666175472,1.1516752129295567,0.032,0.0235,0.5654055800265824,2907.4872,forest,Ponderosa pine,Fry 4,F2,2023-08-02 14:30:00,2023-08-02 16:30:00,2023-08-02 14:30:00,86.875,12.375,9.758426151305662e-06,0.11078019920797405,53.50223186752186,5.288655420376647,22532.95114,17157.0,0.0076344870246605,130.98467798609028,5287.428580827838,7938.386249328877,1.3133386454508365,TRUE,TRUE,0.14764953388300617,0.13966740409557604,0.2873169379785822,0.14413074430986111,0.13130841567247162,0.1560085223061106,0.2873169379785822,0.12865857327051775
5,2558.8294131557973,2438.184620840596,0.2982351658941924,0.2262934601631443,0.9545266895174276,0.062,0.033,0.6398012492387066,2401.5192,half-forest,Aspen grove,Fry 5,F3,2023-08-02 17:30:00,2023-08-02 19:30:00,2023-08-02 17:30:00,43.25,22.875,9.160990585265721e-06,0.1253231118848144,25.454255108805302,0.6936765907763532,13764.56311,10827.5,0.00961163898197025,104.05033010287647,4508.709700702805,6793.246317650743,1.2712595806972984,TRUE,TRUE,0.024414006882956918,0.2738211590112355,0.2982351658941924,0.02226225685459471,0.0223088738313848,0.2759262920628076,0.2982351658941924,0.016234303148943807
6,3486.529625746908,3343.930501800076,0.08379577888625532,0.08579103787891083,1.3463751240571322,0.036500000000000005,0.0175,0.49193391545013876,2122.0176,non-forest,Riparian floodplain,Fry 6,F4,2023-08-02 20:00:00,2023-08-02 22:30:00,2023-08-02 20:00:00,29.0,27.166666666666668,7.899781329555871e-06,0.04280266256812355,0.9630534494449516,0.2650248896623229,15672.71287,12097.6,0.009092906127796322,109.98465900525726,4478.825729778049,6388.527025733925,1.2955224895847108,TRUE,TRUE,0.004826339270879443,0.07896943961537588,0.08379577888625532,0.004778511774713362,-0.013519854888333266,0.09731563377458859,0.08379577888625532,-0.013519854888333266
7,2651.458976202175,2523.0587542850226,0.215395476594858,0.10018337565326124,1.0346831511562131,0.05450000000000001,0.0225,0.6095535278655799,3200.0952,half-forest,Alpine meadow,RF 1,F1,2023-08-01 20:00:00,2023-08-01 21:30:00,2023-08-01 19:30:00,53.166666666666664,19.333333333333332,9.429796881638007e-06,0.023987448175354576,67.19156181177802,1.5557946110662408,24607.70803,18645.5,0.007323854035636875,136.54573445397818,4300.439099792317,6426.018784166149,1.3197665940843637,TRUE,FALSE,-0.026278782121564176,0.24167425871642217,0.215395476594858,-0.02459528691988974,-0.034472444556417015,0.249867921151275,0.215395476594858,-0.03335164929899531
8,2222.164777494395,2180.9438439840596,0.4556248799548604,0.19450134023629687,0.8756881922107961,0.0615,0.0375,0.6695516255808316,2992.5264,half-forest,Alpine meadow,RF 2,R1,2023-10-18 18:30:00,2023-10-18 21:00:00,2023-10-18 19:00:00,39.81880652625,28.4198164975,3.500109081936889e-06,0.08362939598523096,52.24927262210054,1.6618195117633592,19335.2,14660.0,0.00825946173193282,121.07674466671624,4326.651946573132,6702.786853674223,1.3189085948158255,TRUE,FALSE,-0.08520249014425535,0.5408273700991157,0.4556248799548604,-0.04839348253576875,0.016455761851211614,0.4391691181036488,0.4556248799548604,0.003143129629554653
9,2733.6537640926817,2582.781693204696,0.1925953109653372,0.10518814215198766,0.8915580294162293,0.035,0.035500000000000004,0.6635630077674606,2455.164,forest,Wetland/aspen,RF 3,R2,2023-08-01 15:30:00,2023-08-01 17:30:00,2023-08-01 16:00:00,65.66666666666667,18.833333333333332,1.0781714520991377e-05,0.03092649166113615,28.638776668551863,0.2952573089577675,15385.04937,11458.0,0.009375208037495624,106.92084561631634,4307.118027783138,6366.806685015265,1.3427342791063013,TRUE,FALSE,-0.021672186683706157,0.21426749764904335,0.1925953109653372,-0.02059393417259822,-0.03737989064040906,0.22997520160574625,0.1925953109653372,-0.03628454690755137
