,index,N_pvisd_Des,N_pisd_UTS,Sample_total_swc_g,Pred_Des,Pred_UTS,TDR_total_swc_g,bd,lw,soc_water,Porosity,Elev,Canopy,landCoverClass,OldName,NewName,CalStart,CalEnd,SampDate,airRH,airT,Rhov_cal_g_cm3,WeightedTDR,BWE_mm,BWE_uncer,Port_raw_mod_cph,Stationary_raw_mod_cph,Raw_Mod_cv,Raw_Mod_sqrt,N0_fit_Des,N0_fit_UTS,N_ratio_raw,QA1,QA2,Des_resid_loocv_N0,Des_pred_loocv_N0,Des_obs_loocv_N0,Des_resid_N0_fit_to_all,UTS_Resid_loocv_N0,UTS_pred_loocv_N0,UTS_obs_loocv_N0,UTS_resid_N0_fit_to_all
0,0,2825.1233463340345,2678.1532408666058,0.1985284639004499,0.19852846390044993,0.1984504089098806,0.10716604141582085,1.361518108344007,0.0315,0.0185,0.48621958175697844,2213.1528,half-forest,Pasture with aspen,Crys 1,C2,2023-07-31 14:00:00,2023-07-31 16:00:00,2023-07-31 14:30:00,62.075,18.575,1.0158711458760468e-05,0.07783260056998358,82.9021925479212,4.942364161724904,13558.31579,10193.5,0.009905909474983876,100.9585425561458,4486.374764756844,6660.244522581162,1.3300942551626036,TRUE,FALSE,0.010567936387974847,0.18796052751247505,0.1985284639004499,0.01015442671669467,-0.004315162606642942,0.20284362650709284,0.1985284639004499,-0.0034634163377956773
1,1,2808.843837422032,2661.6931408486007,0.11323494465114294,0.11323494465114294,0.11320200783738574,0.08922843471035598,0.9801954581421034,0.028499999999999998,0.013000000000000001,0.63011492145581,2208.5808,forest,Ponderosa pine,Crys 2,C1,2023-07-31 17:00:00,2023-07-31 19:00:00,2023-07-31 17:30:00,44.333333333333336,24.5,1.0240961616136332e-05,0.046783194927322844,40.76532908884749,1.9795670778219752,13517.5,10426.5,0.009794187736309301,102.10727894036026,3868.8181416280713,5584.408019848492,1.2964561453987435,TRUE,FALSE,-0.08273522888669375,0.1959701735378367,0.11323494465114294,-0.07938763305189216,-0.0939300070217748,0.20716495167291774,0.11323494465114294,-0.09305825008758166
2,2,2784.819036347551,2646.1035548317736,0.21036596327943877,0.21036596327943868,0.21036303276242987,0.1214554815374456,0.8743120546698385,0.040499999999999994,0.03,0.6700709227660986,2131.4664,forest,Cottonwood riparian,Crys 3,C3,2023-07-31 19:30:00,2023-07-31 21:30:00,2023-07-31 20:00:00,36.5,27.0,9.698727711211888e-06,0.0445509917596951,96.31413316937264,2.6026584708246707,12852.0,9560.5,0.010240291504524525,97.73728194175727,4489.212565066153,6693.0295715986385,1.3442811568432613,TRUE,FALSE,0.011765706416005411,0.19860025686343336,0.21036596327943877,0.01125154683760346,-0.000485734933121873,0.21085169821256064,0.21036596327943877,-0.00013668818302847718
3,4,3028.8330585367103,2877.2335337092873,0.2873169379785822,0.28731693797858215,0.28733471174694475,0.15169048666175472,1.1516752129295567,0.032,0.0235,0.5654055800265824,2907.4872,forest,Ponderosa pine,Fry 4,F2,2023-08-02 14:30:00,2023-08-02 16:30:00,2023-08-02 14:30:00,86.875,12.375,9.758426151305662e-06,0.11078019920797405,53.50223186752186,5.288655420376647,22532.95114,17157.0,0.0076344870246605,130.98467798609028,5287.428580827838,7938.452216749509,1.3133386454508365,TRUE,TRUE,0.1471997856733837,0.1401171523051985,0.2873169379785822,0.1436461753258858,0.12871157011855683,0.15860536786002538,0.2873169379785822,0.1285525795744396
4,5,2558.8294131557973,2438.184620840596,0.2982351658941924,0.29823516589419247,0.2982423464646171,0.2262934601631443,0.9545266895174276,0.062,0.033,0.6398012492387066,2401.5192,half-forest,Aspen grove,Fry 5,F3,2023-08-02 17:30:00,2023-08-02 19:30:00,2023-08-02 17:30:00,43.25,22.875,9.160990585265721e-06,0.1253231118848144,25.454255108805302,0.6936765907763532,13764.56311,10827.5,0.00961163898197025,104.05033010287647,4508.709700702805,6793.365282522325,1.2712595806972984,TRUE,TRUE,0.02341733433991694,0.27481783155427547,0.2982351658941924,0.02132301671612319,0.017960760079742788,0.2802744058144496,0.2982351658941924,0.016042474601077217
5,6,3486.529625746908,3343.930501800076,0.08379577888625532,0.08379577888625529,0.08376108170907107,0.08579103787891083,1.3463751240571322,0.036500000000000005,0.0175,0.49193391545013876,2122.0176,non-forest,Riparian floodplain,Fry 6,F4,2023-08-02 20:00:00,2023-08-02 22:30:00,2023-08-02 20:00:00,29.0,27.166666666666668,7.899781329555871e-06,0.04280266256812355,0.9630534494449516,0.2650248896623229,15672.71287,12097.6,0.009092906127796322,109.98465900525726,4478.825729778049,6387.157890436447,1.2955224895847108,TRUE,TRUE,0.004508849367458434,0.07928692951879689,0.08379577888625532,0.004463607639932504,-0.013746519638592747,0.09754229852484807,0.08379577888625532,-0.01356518783838516
6,7,2654.367526915552,2526.903138770533,0.215395476594858,0.21539547659485803,0.2153592250675023,0.10017955688462885,1.0346831511562131,0.05450000000000001,0.0225,0.6095535278655799,3200.0952,half-forest,Alpine meadow,RF 1,F1,2023-08-01 20:00:00,2023-08-01 22:00:00,2023-08-01 19:30:00,53.166666666666664,19.333333333333332,9.344716294170574e-06,0.02398349695979246,67.19156181177802,1.5557946110662408,24607.70803,18559.6,0.00734093064342412,136.22992007326735,4305.156519644482,6435.258840578155,1.3258749127136362,TRUE,FALSE,-0.026046836486615405,0.2414423130814734,0.215395476594858,-0.02437087732435181,-0.032761757058247076,0.24815723365310507,0.215395476594858,-0.03217186481749884
7,8,2222.653014499855,2181.022738508148,0.4556248799548604,0.45562487995486056,0.4556182343565862,0.19443215525512925,0.8756881922107961,0.0615,0.0375,0.6695516255808316,2992.5264,half-forest,Alpine meadow,RF 2,R1,2023-10-18 18:30:00,2023-10-18 20:30:00,2023-10-18 19:00:00,33.75,11.4,3.5349388776821967e-06,0.08356881151414415,52.24927262210054,1.6618195117633592,19335.2,14676.0,0.008255028958484276,121.1424542123174,4327.602565362276,6703.012430428994,1.3174707004633415,TRUE,FALSE,-0.08899503226497923,0.5446199122198396,0.4556248799548604,-0.04991382088453927,0.0144344721421642,0.4411904078126962,0.4556248799548604,0.0027946314038568287
8,9,2733.6537640926817,2582.781693204696,0.1925953109653372,0.19259531096533722,0.1925965967219783,0.10518814215198766,0.8915580294162293,0.035,0.035500000000000004,0.6635630077674606,2455.164,forest,Wetland/aspen,RF 3,R2,2023-08-01 15:30:00,2023-08-01 17:30:00,2023-08-01 16:00:00,65.66666666666667,18.833333333333332,1.0781714520991377e-05,0.03092649166113615,28.638776668551863,0.2952573089577675,15385.04937,11458.0,0.009375208037495624,106.92084561631634,4307.118027783138,6366.566516367197,1.3427342791063013,TRUE,FALSE,-0.022431714055981627,0.21502702502131882,0.1925953109653372,-0.021300782907894583,-0.03744834962371266,0.23004366058904985,0.1925953109653372,-0.03648992385746219
9,10,2651.8283678513194,2501.832002827297,0.2220255890487818,0.22202558904878184,0.22203643554430835,0.19564695572419447,1.2486791811637519,0.035,0.013000000000000001,0.5288003089948106,2036.9784,non-forest,Sagebrush,RF 6,R5,2023-08-03 13:30:00,2023-08-03 15:30:00,2023-08-03 13:30:00,76.625,15.625,1.1100679181272558e-05,0.18436367977500784,2.039747233890117,0.2226615337818339,11408.10154,9371.5,0.010332222213647251,96.79923055666808,4334.8632817608905,6427.485645148087,1.2173186298884917,TRUE,TRUE,-0.019930363203465612,0.24195595225224742,0.2220255890487818,-0.018636690554461238,-0.035546442237897574,0.2575720312866794,0.2220255890487818,-0.0345688467566769
