N_pvisd_Des,N_pisd_UTS,Sample_total_swc_g,swc_g,swc_g_sd,Pred_Des,Pred_UTS,TDR_total_swc_g,bd,lw,soc_water,Porosity,Elev,Canopy,landCoverClass,OldName,NewName,CalStart,CalEnd,SampDate,airRH,airT,Rhov_cal_g_cm3,WeightedTDR,BWE_mm,BWE_uncer,Port_raw_mod_cph,Stationary_raw_mod_cph,Raw_Mod_cv,Raw_Mod_sqrt,N0_fit_Des,N0_fit_UTS,N_ratio_raw,QA1,QA2
2800.0,2700.0,0.11,0.072,0.0066,0.11,0.11,0.089,0.98,0.028,0.013,0.63,2200.0,forest,Ponderosa pine,Crys 2,C1,2023-07-31 17:00:00,2023-07-31 19:00:00,2023-07-31 17:30:00,44.0,24.0,1e-05,0.047,41.0,2.0,14000.0,10000.0,0.0098,100.0,3900.0,5600.0,1.3,TRUE,FALSE
2800.0,2700.0,0.2,0.15,0.027,0.2,0.2,0.11,1.4,0.032,0.018,0.49,2200.0,half-forest,Pasture with aspen,Crys 1,C2,2023-07-31 14:00:00,2023-07-31 16:00:00,2023-07-31 14:30:00,62.0,19.0,1e-05,0.078,83.0,4.9,14000.0,10000.0,0.0099,100.0,4500.0,6700.0,1.3,TRUE,FALSE
2800.0,2600.0,0.21,0.14,0.012,0.21,0.21,0.12,0.87,0.04,0.03,0.67,2100.0,forest,Cottonwood riparian,Crys 3,C3,2023-07-31 19:30:00,2023-07-31 21:30:00,2023-07-31 20:00:00,36.0,27.0,9.7e-06,0.045,96.0,2.6,13000.0,9600.0,0.01,98.0,4500.0,6700.0,1.3,TRUE,FALSE
3200.0,3100.0,0.092,0.05,0.0033,0.092,0.092,0.093,1.2,0.029,0.013,0.55,2000.0,forest,Oak forest,Crys 6,C4,2023-08-04 22:30:00,2023-08-05 00:30:00,2023-07-31 22:30:00,40.0,28.0,7.3e-06,0.061,12.0,0.76,13000.0,9400.0,0.01,97.0,4200.0,6100.0,1.4,TRUE,FALSE
2700.0,2500.0,0.22,0.14,0.015,0.22,0.22,0.1,1.0,0.055,0.022,0.61,3200.0,half-forest,Alpine meadow,RF 1,F1,2023-08-01 20:00:00,2023-08-01 22:00:00,2023-08-01 19:30:00,53.0,19.0,9.3e-06,0.024,67.0,1.6,25000.0,19000.0,0.0073,140.0,4300.0,6400.0,1.3,TRUE,FALSE
3000.0,2900.0,0.29,0.23,0.016,0.29,0.29,0.15,1.2,0.032,0.024,0.57,2900.0,forest,Ponderosa pine,Fry 4,F2,2023-08-02 14:30:00,2023-08-02 16:30:00,2023-08-02 14:30:00,87.0,12.0,9.8e-06,0.11,54.0,5.3,23000.0,17000.0,0.0076,130.0,5300.0,7900.0,1.3,TRUE,TRUE
2600.0,2400.0,0.3,0.2,0.0084,0.3,0.3,0.23,0.95,0.062,0.033,0.64,2400.0,half-forest,Aspen grove,Fry 5,F3,2023-08-02 17:30:00,2023-08-02 19:30:00,2023-08-02 17:30:00,43.0,23.0,9.2e-06,0.13,25.0,0.69,14000.0,11000.0,0.0096,100.0,4500.0,6800.0,1.3,TRUE,TRUE
3500.0,3300.0,0.084,0.03,0.0014,0.084,0.084,0.086,1.3,0.037,0.018,0.49,2100.0,half-forest,Riparian floodplain,Fry 6,F4,2023-08-02 20:00:00,2023-08-02 22:30:00,2023-08-02 20:00:00,29.0,27.0,7.9e-06,0.043,0.96,0.27,16000.0,12000.0,0.0091,110.0,4500.0,6400.0,1.3,TRUE,TRUE
2200.0,2200.0,0.46,0.36,0.019,0.46,0.46,0.19,0.88,0.061,0.037,0.67,3000.0,half-forest,Alpine meadow,RF 2,R1,2023-10-18 18:30:00,2023-10-18 20:30:00,2023-10-18 19:00:00,34.0,11.0,3.5e-06,0.084,52.0,1.7,19000.0,15000.0,0.0083,120.0,4300.0,6700.0,1.3,TRUE,FALSE
2700.0,2600.0,0.19,0.12,0.018,0.19,0.19,0.11,0.89,0.035,0.036,0.66,2500.0,forest,Wetland/aspen,RF 3,R2,2023-08-01 15:30:00,2023-08-01 17:30:00,2023-08-01 16:00:00,66.0,19.0,1.1e-05,0.031,29.0,0.3,15000.0,11000.0,0.0094,110.0,4300.0,6400.0,1.3,TRUE,FALSE
