,N_pvisd_Des,N_pisd_UTS,Sample_total_swc_g,swc_g,swc_g_sd,Pred_Des,Pred_UTS,TDR_total_swc_g,bd,lw,soc_water,Porosity,Elev,Canopy,landCoverClass,OldName,NewName,CalStart,CalEnd,SampDate,airRH,airT,Rhov_cal_g_cm3,WeightedTDR,BWE_mm,BWE_uncer,Port_raw_mod_cph,Stationary_raw_mod_cph,Raw_Mod_cv,Raw_Mod_sqrt,N0_fit_Des,N0_fit_UTS,N_ratio_raw,QA1,QA2,Des_resid_loocv_N0,Des_pred_loocv_N0,Des_obs_loocv_N0,Des_resid_N0_fit_to_all,UTS_Resid_loocv_N0,UTS_pred_loocv_N0,UTS_obs_loocv_N0,UTS_resid_N0_fit_to_all
0,2851.311532668406,2701.9358776703607,0.11323494465114294,0.07173494465114294,0.006632203091136614,0.11323494465114294,0.1132642761898281,0.08922843471035598,0.9801954581421034,0.028499999999999998,0.013000000000000001,0.63011492145581,2208.5808,forest,Ponderosa pine,Crys 2,C1,2023-07-31 17:00:00,2023-07-31 19:00:00,2023-07-31 17:30:00,44.333333333333336,24.5,1.0240961616136332e-05,0.046783194927322844,40.76532908884749,1.9795670778219752,13517.5,10426.5,0.009794187736309301,102.10727894036026,3927.311884716722,5669.3636399306515,1.2964561453987435,TRUE,FALSE,-0.09526387561854409,0.20849882026968702,0.11323494465114294,-0.09074464788202667,-0.09168834633384958,0.2049232909849925,0.11323494465114294,-0.09119019951431064
1,2876.275613526397,2726.644052083156,0.1985284639004499,0.1485284639004499,0.0273056491743566,0.19852846390044993,0.19849523766087257,0.10716604141582085,1.361518108344007,0.0315,0.0185,0.48621958175697844,2213.1528,half-forest,Pasture with aspen,Crys 1,C2,2023-07-31 14:00:00,2023-07-31 16:00:00,2023-07-31 14:30:00,62.075,18.575,1.0158711458760468e-05,0.07783260056998358,82.9021925479212,4.942364161724904,13558.315789473683,10193.5,0.009905909474983876,100.9585425561458,4567.605993471055,6781.176763089943,1.3300942551109711,TRUE,FALSE,0.0013578060707514494,0.19717065782969845,0.1985284639004499,0.0012971454927920012,-0.00037023251935033863,0.19889869641980024,0.1985284639004499,0.00034702749652104625
2,2822.167215563184,2681.589239007752,0.21036596327943877,0.1398659632794388,0.0121339326530548,0.21036596327943868,0.21036303276242987,0.1214554815374456,0.8743120546698385,0.040499999999999994,0.03,0.6700709227660986,2131.4664,forest,Cottonwood riparian,Crys 3,C3,2023-07-31 19:30:00,2023-07-31 21:30:00,2023-07-31 20:00:00,36.5,27.0,9.698727711211888e-06,0.0445509917596951,96.31413316937264,2.6026584708246707,12852.0,9560.5,0.010240291504524525,97.73728194175727,4549.418960249756,6783.269753604191,1.3442811568432613,TRUE,FALSE,-0.0019728860994753517,0.21233884937891412,0.21036596327943877,-0.0018705148273000793,-6.687883300976472e-05,0.21043284211244853,0.21036596327943877,0.0005614053171583699
3,3167.2880456663847,2977.7738082854958,0.09224209225412074,0.04974209225412075,0.003318475093789538,0.09224209225412063,0.09221558272844067,0.08925638873459557,1.204974427969537,0.0295,0.013000000000000001,0.5452926686907408,1976.0184,forest,Oak forest,Crys 6,C4,2023-07-31 21:30:00,2023-07-31 23:30:00,2023-07-31 22:30:00,39.625,27.700000000000003,1.1785726990733282e-05,0.0563402527693906,11.682695480554193,0.7597026405441388,12852.0,10460.0,0.0097776425816792,102.27414140436476,4157.188740004169,5861.813766772089,1.22868068833652,TRUE,FALSE,-0.04420787825427623,0.13644997050839697,0.09224209225412074,-0.043220499410075816,-0.055843371013769835,0.14808546326789057,0.09224209225412074,-0.05538749710184325
4,2794.4690190065694,2660.274948192184,0.215395476594858,0.138395476594858,0.0151649351388711,0.21539547659485803,0.21541821429157712,0.10017955688462885,1.0346831511562131,0.05450000000000001,0.0225,0.6095535278655799,3200.0952,half-forest,Alpine meadow,RF 1,F1,2023-08-01 20:00:00,2023-08-01 22:00:00,2023-08-01 19:30:00,53.166666666666664,19.333333333333332,9.344716294170574e-06,0.02398349695979246,67.19156181177802,1.5557946110662408,24607.70802919708,18559.6,0.00734093064342412,136.22992007326735,4532.389126271662,6775.246467236374,1.3258749126703746,TRUE,FALSE,-0.005397640654382557,0.22079311724924056,0.215395476594858,-0.005094352891804904,-0.0009075760578415304,0.21630305265269953,0.215395476594858,-0.00031768381709323945
5,3135.2002185425613,2978.2768056775535,0.2873169379785822,0.2318169379785822,0.01602044565706958,0.28731693797858215,0.28733471174694475,0.15169048666175472,1.1516752129295567,0.032,0.0235,0.5654055800265824,2907.4872,forest,Ponderosa pine,Fry 4,F2,2023-08-02 14:30:00,2023-08-02 16:30:00,2023-08-02 14:30:00,86.875,12.375,9.758426151305662e-06,0.11078019920797405,53.50223186752186,5.288655420376647,22532.951140065143,17157.0,0.0076344870246605,130.98467798609028,5473.113546293757,8217.283785891834,1.3133386454546332,TRUE,TRUE,0.14992141749197635,0.13739552048660586,0.2873169379785822,0.1462691034795069,0.13946993027048957,0.14784700770809264,0.2873169379785822,0.13978791135872404
6,2604.761293978097,2481.951347851411,0.2982351658941924,0.2032351658941924,0.008410023949147317,0.29823516589419247,0.2982423464646171,0.2262934601631443,0.9545266895174276,0.062,0.033,0.6398012492387066,2401.5192,half-forest,Aspen grove,Fry 5,F3,2023-08-02 17:30:00,2023-08-02 19:30:00,2023-08-02 17:30:00,43.25,22.875,9.160990585265721e-06,0.1253231118848144,25.454255108805302,0.6936765907763532,13764.563106796117,10827.5,0.00961163898197025,104.05033010287647,4589.642613061203,6915.140317765178,1.2712595804013962,TRUE,TRUE,0.008585395259886663,0.28964977063430575,0.2982351658941924,0.007689969860448287,0.02128578824276317,0.27694937765142924,0.2982351658941924,0.02173338818778514
7,3520.742371450475,3376.746975975308,0.08379577888625532,0.02979577888625531,0.001395052191763058,0.08379577888625524,0.08380641465912296,0.08579103787891083,1.3463751240571322,0.036500000000000005,0.0175,0.49193391545013876,2122.0176,non-forest,Riparian floodplain,Fry 6,F4,2023-08-02 20:00:00,2023-08-02 22:30:00,2023-08-02 20:00:00,29.0,27.166666666666668,7.899781329555871e-06,0.04280266256812355,0.9630534494449516,0.2650248896623229,15672.712871287127,12097.6,0.009092906127796322,109.98465900525726,4522.775715061957,6450.919207270558,1.2955224896911062,TRUE,TRUE,-0.0031821729768030937,0.08697795186305841,0.08379577888625532,-0.0031449140485773353,-0.014607845689578819,0.09840362457583414,0.08379577888625532,-0.014381180939319324
8,2330.489893278512,2286.8398840266027,0.4556248799548604,0.3566248799548604,0.01936084362334947,0.45562487995486056,0.4556182343565862,0.19443215525512925,0.8756881922107961,0.0615,0.0375,0.6695516255808316,2992.5264,half-forest,Alpine meadow,RF 2,R1,2023-10-18 18:30:00,2023-10-18 20:30:00,2023-10-18 19:00:00,39.81880652625,28.4198164975,3.5349388776821967e-06,0.08356881151414415,52.24927262210054,1.6618195117633592,19335.2,14676.0,0.008255028958484276,121.1424542123174,4537.565681601628,7028.278917976673,1.3174707004633415,TRUE,FALSE,-0.015931000870172463,0.47155588082503286,0.4556248799548604,-0.01029898953983105,0.07130938257604957,0.3843154973788108,0.4556248799548604,0.07158818115660781
9,2806.5363155730493,2651.6409950892203,0.1925953109653372,0.1220953109653372,0.01815485814185556,0.19259531096533722,0.1925965967219783,0.10518814215198766,0.8915580294162293,0.035,0.035500000000000004,0.6635630077674606,2455.164,forest,Wetland/aspen,RF 3,R2,2023-08-01 15:30:00,2023-08-01 17:30:00,2023-08-01 16:00:00,65.66666666666667,18.833333333333332,1.0781714520991377e-05,0.03092649166113615,28.638776668551863,0.2952573089577675,15385.049365303244,11458.0,0.009375208037495624,106.92084561631634,4421.951060230505,6536.310772847102,1.3427342786963907,TRUE,FALSE,-0.025636738170726064,0.21823204913606326,0.1925953109653372,-0.024248151460258466,-0.026221076361921558,0.21881638732725875,0.1925953109653372,-0.025536486528885516
