Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
0,2023-07-01 01:00:00,10618.0,0.0097046223449338,103.04368005850722,2184.50262677644,0.0557902425021704,2096.8246402822288,0.056854248046875,7.743453531435621e-06,784.4,0.035,0.058,0.106,0.115,0.06524695759192252,0.0,0.0,14.0,13.2,11.6,10.3,784.4,60.8,14.9
1,2023-07-01 01:30:00,10660.0,0.0096854855528257,103.24727599312246,2196.032541094217,0.0536239213809716,2109.872476547981,0.054962158203125,7.562337385749302e-06,784.7,0.035,0.058,0.106,0.115,0.06524695759192252,0.0,0.0,13.7,13.2,11.6,10.3,784.7,65.1,13.4
2,2023-07-01 02:00:00,10540.0,0.0097404650988315,102.6645021416848,2181.703398099611,0.0563230382214589,2093.589933509276,0.057342529296875,7.79393710119651e-06,785.3,0.035,0.058,0.106,0.115,0.06524695759192252,0.0,0.0,13.4,13.1,11.7,10.2,785.3,70.5,12.6
3,2023-07-01 02:30:00,10480.0,0.009768308314557,102.3718711365578,2179.04003693511,0.0568324990933726,2086.3727645809577,0.058441162109375,8.225091068496743e-06,785.6,0.035,0.058,0.106,0.115,0.06524695759192252,0.0,0.0,13.0,13.0,11.7,10.2,785.6,74.4,12.6
4,2023-07-01 03:00:00,10326.0,0.0098408800817046,101.61692772368194,2133.199549952028,0.0660059380891711,2043.3571429121391,0.065338134765625,8.142229488797637e-06,785.8,0.035,0.058,0.106,0.115,0.06524695759192252,0.0,0.0,12.8,12.9,11.7,10.2,785.8,77.9,11.7
5,2023-07-01 03:30:00,10632.0,0.0096982308161401,103.11159003720194,2204.731978641717,0.0520188776125404,2116.230613155459,0.054046630859375,7.744497057566452e-06,786.2,0.035,0.058,0.106,0.115,0.06524695759192252,0.0,0.0,12.6,12.8,11.7,10.2,786.2,79.9,10.5
6,2023-07-01 04:00:00,10400.0,0.0098058067569092,101.9803902718557,2161.741968577405,0.0602025672643018,2076.2876117521937,0.060028076171875,7.621719073978816e-06,786.6,0.035,0.058,0.106,0.115,0.06524695759192252,0.0,0.0,12.3,12.6,11.7,10.2,786.6,85.4,9.2
7,2023-07-01 04:30:00,10306.0,0.009850424143769,101.51847122568384,2144.123381665017,0.0637479903889111,2062.167429393792,0.062225341796875,7.359745858674801e-06,786.9,0.035,0.057,0.106,0.115,0.06493144217335722,0.000360021174183855,0.0001733933865759817,12.0,12.5,11.8,10.3,786.9,86.8,8.4
8,2023-07-01 05:00:00,10516.0,0.0097515737872151,102.54754994635417,2185.922032028498,0.0555211107454129,2105.769832716729,0.055572509765625,7.048728518159296e-06,787.0,0.035,0.057,0.106,0.115,0.06493144217335722,0.000360021174183855,0.0001733933865759817,11.7,12.3,11.8,10.3,787.0,88.1,7.5
9,2023-07-01 05:30:00,10442.0,0.0097860663407906,102.18610473053565,2173.264368118188,0.0579458462923858,2094.098402727272,0.057281494140625,7.000799934801422e-06,787.2,0.034,0.057,0.106,0.115,0.06455993642858367,0.0007839305192726239,0.0003775565920118145,11.4,12.2,11.8,10.2,787.2,89.8,7.1
10,2023-07-01 06:00:00,10304.0,0.0098513800779887,101.50862032359616,2140.505358631155,0.0644906682301527,2066.0282959608185,0.061614990234375,6.675633954103579e-06,787.3,,,,,,,,,,,,787.3,92.0,6.0
11,2023-07-01 06:30:00,10558.0,0.0097321584515737,102.75212893171606,2188.718757700681,0.0549928482249704,2110.554946050562,0.054840087890625,6.858281497145391e-06,787.4,0.034,0.057,,,0.03061557418052277,0.03951639313247432,0.019031884016378665,,,,,787.4,93.9,6.1
12,2023-07-01 07:00:00,10498.0,0.0097599302909228,102.45974819410792,2173.358859441688,0.0579275367916435,2096.9836126886507,0.056854248046875,6.744718522330846e-06,787.3,0.034,0.057,0.106,0.115,0.06455993642858367,0.0007839305192726239,0.0003775565920118145,10.6,11.7,11.7,10.3,787.3,94.8,5.7
