Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
0,2023-07-01 01:00:00,,,,,,,,,697.7,0.032,0.048,0.132,0.118,0.06633640294540341,0.0,0.0,15.7,16.5,14.6,10.9,697.7,61.0,8.3
1,2023-07-01 01:30:00,,,,,,,,,697.6,0.032,0.048,0.132,0.118,0.06633640294540341,0.0,0.0,14.6,16.1,14.5,10.9,697.6,59.3,8.3
2,2023-07-01 02:00:00,,,,,,,,,697.8,0.031,0.048,0.132,0.118,0.06595795072622568,0.00043275537014831933,0.00020988360629562797,13.6,15.6,14.5,10.9,697.8,67.6,7.5
3,2023-07-01 02:30:00,,,,,,,,,698.1,0.031,0.048,0.132,0.118,0.06595795072622568,0.00043275537014831933,0.00020988360629562797,12.7,15.2,14.4,10.9,698.1,68.1,7.2
4,2023-07-01 03:00:00,,,,,,,,,698.4,0.031,0.047,0.132,0.118,0.06563995031218481,0.0007963848586596459,0.0003862415989833549,12.0,14.7,14.3,10.9,698.4,67.7,7.1
5,2023-07-01 03:30:00,,,,,,,,,698.6,0.031,0.047,0.132,0.118,0.06563995031218481,0.0007963848586596459,0.0003862415989833549,11.6,14.3,14.2,10.9,698.6,68.9,6.8
6,2023-07-01 04:00:00,,,,,,,,,698.7,0.031,0.047,0.132,0.118,0.06563995031218481,0.0007963848586596459,0.0003862415989833549,11.1,13.9,14.1,10.9,698.7,69.9,6.2
7,2023-07-01 04:30:00,,,,,,,,,699.0,0.031,0.047,0.131,0.118,0.06541542725664568,0.0010531241591128907,0.0005107585292723436,10.5,13.5,14.0,10.9,699.0,70.0,5.8
8,2023-07-01 05:00:00,,,,,,,,,699.0,0.03,0.047,0.131,0.118,0.06503697503746794,0.00148587952926121,0.0007206421355679715,9.8,13.1,13.8,11.0,699.0,69.8,5.8
9,2023-07-01 05:30:00,18300.0,0.0073922127095457,135.27749258468685,1908.287549549643,0.1979723123027208,1858.4917671873231,0.173980712890625,4.961787477898436e-06,699.0,0.03,0.047,0.131,0.118,0.06503697503746794,0.00148587952926121,0.0007206421355679715,9.1,12.6,13.6,11.0,699.0,70.2,5.6
10,2023-07-01 06:00:00,18646.0,0.0073233056425837,136.55035701161677,1942.2596603674683,0.1793654699480384,1891.8507361080076,0.158477783203125,4.934314211901608e-06,699.0,0.03,0.046,0.131,0.118,0.06471897462342707,0.0018495090177725367,0.0008970001282556985,8.6,12.3,13.5,10.9,699.0,68.9,5.8
11,2023-07-01 06:30:00,18454.0,0.0073613038082564,135.8455004775646,1912.2232638211703,0.1957234062202725,1862.5237378347872,0.172027587890625,4.941475770989999e-06,698.8,0.03,0.046,0.131,0.118,0.06471897462342707,0.0018495090177725367,0.0008970001282556985,8.1,12.0,13.4,11.0,698.8,69.0,5.8
12,2023-07-01 07:00:00,18640.0,0.007324484191363,136.5283853270081,1930.108856506511,0.1858166173975363,1879.883415029424,0.163848876953125,4.947651331237756e-06,698.7,0.03,0.046,0.131,0.118,0.06471897462342707,0.0018495090177725367,0.0008970001282556985,7.8,11.6,13.2,11.0,698.7,70.0,5.6
13,2023-07-01 07:30:00,18388.0,0.0073745029291642,135.60235986147143,1902.3566009421809,0.201410182555373,1853.0759156651309,0.176666259765625,4.924813253432073e-06,698.6,0.03,0.046,0.131,0.118,0.06471897462342707,0.0018495090177725367,0.0008970001282556985,7.4,11.4,13.1,11.0,698.6,70.6,5.4
14,2023-07-01 08:00:00,18306.0,0.0073910011693082,135.29966740535616,1889.561366825872,0.209033773216328,1840.6588315146264,0.182952880859375,4.919991093724825e-06,698.3,0.03,0.046,0.131,0.118,0.06471897462342707,0.0018495090177725367,0.0008970001282556985,7.0,11.0,12.9,11.0,698.3,68.7,5.8
15,2023-07-01 08:30:00,18292.0,0.0073938290237029,135.2479205015737,1887.2533398438488,0.2104399680420217,1837.8698011274616,0.184356689453125,4.975923624559115e-06,698.2,0.03,0.046,0.131,0.118,0.06471897462342707,0.0018495090177725367,0.0008970001282556985,6.7,10.8,12.8,11.0,698.2,70.4,5.6
16,2023-07-01 09:00:00,18608.0,0.0073307794088477,136.41114323983948,1916.1481881427983,0.1935059206971618,1865.7244218388296,0.170501708984375,5.004884103694046e-06,698.3,0.03,0.046,0.131,0.118,0.06471897462342707,0.0018495090177725367,0.0008970001282556985,6.5,10.5,12.6,11.0,698.3,72.7,5.2
17,2023-07-01 09:30:00,18340.0,0.0073841470086064,135.4252561378416,1882.9364130962188,0.213096319263069,1833.992397845002,0.186431884765625,4.94206330334478e-06,698.2,0.03,0.046,0.13,0.118,0.06449445156788794,0.0021062483182257815,0.001021517058544687,6.1,10.2,12.5,11.0,698.2,74.2,4.7
18,2023-07-01 10:00:00,18338.0,0.0073845496667853,135.41787178950938,1882.9822342548048,0.2130679428311551,1833.792398674026,0.186492919921875,4.967426420701751e-06,698.2,0.03,0.046,0.13,0.118,0.06449445156788794,0.0021062483182257815,0.001021517058544687,5.9,10.0,12.3,11.0,698.2,73.6,4.9
19,2023-07-01 10:30:00,18590.0,0.0073343276095814,136.3451502621197,1911.7865825465788,0.1959716716030585,1861.787770824708,0.172393798828125,4.973197994340921e-06,698.4,0.03,0.046,0.13,0.118,0.06449445156788794,0.0021062483182257815,0.001021517058544687,5.7,9.8,12.2,11.0,698.4,73.2,5.0
20,2023-07-01 11:00:00,18596.0,0.0073331443036054,136.36715146984628,1903.741233438488,0.2006022594738987,1854.946935407144,0.175750732421875,4.871288199374919e-06,698.5,0.03,0.046,0.13,0.118,0.06449445156788794,0.0021062483182257815,0.001021517058544687,5.6,9.5,12.1,11.0,698.5,71.7,5.0
21,2023-07-01 11:30:00,18826.0,0.0072882115953635,137.20787149431334,1928.9957489391804,0.1864186187321514,1879.300801367307,0.164154052734375,4.896910628766736e-06,698.6,0.03,0.046,0.13,0.118,0.06449445156788794,0.0021062483182257815,0.001021517058544687,5.3,9.3,11.9,11.0,698.6,70.2,5.4
22,2023-07-01 12:00:00,18370.0,0.0073781150291039,135.53597308463904,1879.1620729876267,0.2154472250360529,1832.032591264068,0.187469482421875,4.763933699802311e-06,698.6,0.03,0.046,0.129,0.118,0.06426992851234878,0.002362987618679058,0.0011460339888336912,5.2,9.2,11.8,11.0,698.6,69.2,5.2
23,2023-07-01 12:30:00,18508.0,0.0073505570830786,136.04411049361894,1905.6041252436544,0.1995204100237148,1855.6265204724773,0.175384521484375,4.987594158929081e-06,698.8,0.03,0.046,0.129,0.118,0.06426992851234878,0.002362987618679058,0.0011460339888336912,5.1,9.0,11.7,11.0,698.8,71.5,5.4
24,2023-07-01 13:00:00,18566.0,0.0073390665682557,136.2571099062357,1913.0105713485584,0.1952765885058865,1862.8406998844275,0.171905517578125,4.987392071892325e-06,698.9,0.03,0.046,0.129,0.118,0.06426992851234878,0.002362987618679058,0.0011460339888336912,4.9,8.8,11.5,11.0,698.9,70.1,5.7
25,2023-07-01 13:30:00,18386.0,0.0073749040116396,135.5949851580065,1897.462306902188,0.2042923619366758,1846.1667268758183,0.180145263671875,5.145354072348484e-06,699.0,0.03,0.046,0.129,0.118,0.06426992851234878,0.002362987618679058,0.0011460339888336912,5.0,8.7,11.4,11.0,699.0,66.0,7.1
26,2023-07-01 14:00:00,18400.0,0.0073720978077448,135.64659966250537,1907.9603431444089,0.1981604366286185,1851.7415108282871,0.177337646484375,5.622218226721669e-06,699.3,0.031,0.046,0.129,0.117,0.06456935642028425,0.002020595558162441,0.000979976013854458,5.4,8.6,11.3,11.0,699.3,67.6,8.1
27,2023-07-01 14:30:00,18120.0,0.0074288382651054,134.61054936371073,1887.1713038616087,0.2104901280517971,1827.6776804836168,0.189788818359375,6.028052856494855e-06,699.6,0.031,0.046,0.129,0.119,0.06472740504276879,0.0018398689388990203,0.0008923247512216608,7.7,8.6,11.2,10.9,699.6,61.8,10.6
28,2023-07-01 15:00:00,18622.0,0.00732802325461,136.46244904734783,1932.433394875385,0.1845654886169353,1876.1501325708537,0.165557861328125,5.55543299640353e-06,699.7,0.032,0.046,0.129,0.117,0.06494780863946198,0.001587840188014122,0.00077009240755883,10.3,8.9,11.0,11.0,699.7,54.5,11.3
29,2023-07-01 15:30:00,18178.0,0.0074169773106036,134.82581355215328,1891.018187818537,0.2081511523216227,1837.6651936735907,0.184478759765625,5.376487585948659e-06,699.9,0.033,0.046,0.129,0.117,0.0653262608586397,0.0011550848178658183,0.0005602088012632096,12.5,9.5,11.0,10.9,699.9,50.8,11.9
