,Date,Crys 1,Crys 2,Crys 3,Crys 6,Fry 4,Fry 5,Fry 6,RF 1,RF 2,RF 3,RF5,RF 6,RF 7,RF 8,RF 9
92,7/1/2023,0,0,0,0.1107,2.5093,1.2458,2.4448,0.7582,0.6727,0.6522,1.7764,1.2832999,1.5281999,0.3436,0.2077
93,7/2/2023,1.0135,1.0135,0.0063,0,0,0.0323,0,0,0,0,0,0,0,0,0
,7/3/2023,0.04,0.04,1.37,0,2.98,0.77,0,0.15,0,0,0,0,0,0,0
94,7/4/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,7/5/2023,0.3013,0.3013,0.8857,0.77779996,0,0.4671,0.0022,0.4601,0.1478,0,0.1545,0.19139999,0.020399999,0.44489998,0.905
96,7/6/2023,0,0,0,0,0,0,0,0,0,0,0,0.0537,0.4845,0,0
97,7/7/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,7/8/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,7/9/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,7/10/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,7/11/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,7/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,7/13/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,7/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,7/15/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,7/16/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,7/17/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,7/18/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,7/19/2023,1.0301,1.0301,0.0063,0,0,0,0,0,0,0,0,0,0,0,0
110,7/20/2023,1.7971,1.7971,2.9585,2.7012,1.4382,3.8272998,6.8655996,2.2319,2.2333,3.3286998,5.2636,3.6139998,3.2863998,2.5475,2.088
111,7/21/2023,2.6411,2.6411,1.1761,0.3581,0.069699995,0.59139997,0,0.8408,0.8402,0.0053,0,0.2747,0.029099999,0.3448,0.0718
112,7/22/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,7/23/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,7/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,7/25/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2965,0.18349999
116,7/26/2023,5.0794997,5.0794997,2.7268999,1.1991,0,0,0.1408,0,0,0,0.4466,0.3223,1.1237999,1.5867,2.1234999
117,7/27/2023,0.88,0.88,2.5683,1.9588,0,0.5944,0.3489,0,0,0,0.5096,0.68759996,0.67149997,1.3464999,1.4183999
118,7/28/2023,2.3813999,2.3813999,0.561,0.0009,0,0,0,0,0,0,0,0.039499998,0,0.654,1.0178
