datetime_UTC,BaroPress,airT,airRH,N1_cts,N2_cts,N3_cts,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,sT_5,sT_10,sT_20,sT_50,N1_SWC,N1_z,SWE
2023-07-01 00:00,723.2,9,79,9245,4674,9250,NaN,0.022,0.068,0.196,NaN,15.1,14.8,13.2,NaN,NaN,NaN,NaN
2023-07-01 00:30,723.1,8,79,9252,4613,9152,NaN,0.024,0.068,0.196,NaN,14.5,14.5,13.2,NaN,NaN,NaN,NaN
2023-07-01 01:00,722.9,8.5,80.8,9240,4585,9481,NaN,0.024,0.069,0.198,NaN,14.3,14.4,13.4,NaN,NaN,NaN,NaN
2023-07-01 01:30,722.8,8,88.4,9232,4652,9298,NaN,0.025,0.069,0.198,NaN,13.7,14.2,13.4,NaN,NaN,NaN,NaN
2023-07-01 02:00,723.1,7,93.2,9175,4592,9281,NaN,0.025,0.068,0.197,NaN,13.1,13.9,13.3,NaN,NaN,NaN,NaN
2023-07-01 02:30,723.3,7,94.2,9157,4715,9333,NaN,0.026,0.068,0.197,NaN,12.4,13.5,13.3,NaN,NaN,NaN,NaN
2023-07-01 03:00,723.7,6.6,95.4,9188,4748,8995,NaN,0.026,0.068,0.197,NaN,11.9,13.2,13.2,NaN,NaN,NaN,NaN
2023-07-01 03:30,723.9,5.7,96.1,9044,4678,9471,NaN,0.026,0.068,0.197,NaN,11.5,12.9,13.1,NaN,NaN,NaN,NaN
2023-07-01 04:00,724.2,5,97.4,9192,4685,9399,NaN,0.026,0.068,0.197,NaN,10.9,12.5,13,NaN,NaN,NaN,NaN
2023-07-01 04:30,724.3,4.5,97.9,9258,4702,9263,NaN,0.027,0.068,0.197,NaN,10.4,12.2,12.8,NaN,NaN,NaN,NaN
2023-07-01 05:00,724.3,4,98.5,9150,4568,9139,NaN,0.027,0.068,0.197,NaN,9.8,11.9,12.7,NaN,NaN,NaN,NaN
2023-07-01 05:30,724.4,3.6,99,9208,4656,9216,NaN,0.027,0.068,0.197,NaN,9.3,11.5,12.6,NaN,NaN,NaN,NaN
2023-07-01 06:00,724.3,3.3,99.2,9173,4554,9120,NaN,0.027,0.068,0.197,NaN,8.9,11.2,12.4,NaN,NaN,NaN,NaN
2023-07-01 06:30,724.2,3.1,99.6,9109,4736,9134,NaN,0.028,0.068,0.197,NaN,8.5,10.9,12.2,NaN,NaN,NaN,NaN
2023-07-01 07:00,724,2.6,99.7,9191,4641,9054,NaN,0.028,0.068,0.197,NaN,8.1,10.5,12.1,NaN,NaN,NaN,NaN
2023-07-01 07:30,723.9,2.4,100,9078,4757,9201,NaN,0.028,0.067,0.197,NaN,7.7,10.3,11.9,NaN,NaN,NaN,NaN
2023-07-01 08:00,723.7,2.3,100,9122,4562,9304,NaN,0.028,0.067,0.197,NaN,7.4,10,11.8,NaN,NaN,NaN,NaN
2023-07-01 08:30,723.6,2,100,9162,4738,9177,NaN,0.028,0.067,0.197,NaN,7,9.7,11.6,NaN,NaN,NaN,NaN
2023-07-01 09:00,723.7,1.8,100,8917,4672,9136,NaN,0.029,0.067,0.197,NaN,6.7,9.4,11.4,NaN,NaN,NaN,NaN
2023-07-01 09:30,723.7,1.6,100,9121,4609,9069,NaN,0.029,0.067,0.197,NaN,6.5,9.2,11.2,NaN,NaN,NaN,NaN
2023-07-01 10:00,723.8,1.5,100,9224,4611,9003,NaN,0.029,0.067,0.197,NaN,6.2,8.9,11.1,NaN,NaN,NaN,NaN
2023-07-01 10:30,723.8,1.3,100,9083,4507,9305,NaN,0.029,0.067,0.197,NaN,5.9,8.7,10.9,NaN,NaN,NaN,NaN
2023-07-01 11:00,723.9,1.2,100,9091,4623,9180,NaN,0.029,0.067,0.197,NaN,5.7,8.5,10.8,NaN,NaN,NaN,NaN
2023-07-01 11:30,724,1.1,100,9235,4458,9062,NaN,0.03,0.067,0.197,NaN,5.5,8.3,10.6,NaN,NaN,NaN,NaN
2023-07-01 12:00,724,1.1,100,9086,4737,9070,NaN,0.03,0.067,0.197,NaN,5.2,8.1,10.5,NaN,NaN,NaN,NaN
2023-07-01 12:30,724.1,1.3,100,9246,4562,9208,NaN,0.03,0.067,0.197,NaN,5.1,7.9,10.3,NaN,NaN,NaN,NaN
