datetime_UTC,BaroPress,airT,airRH,N1_cts,N2_cts,N3_cts,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,sT_5,sT_10,sT_20,sT_50,N1_SWC,N1_z,SWE
2023-07-01 00:00,787,20,35,6327,1997,NaN,NaN,0.05,0.11,0.188,NaN,33.3,26.1,19.2,NaN,NaN,NaN,NaN
2023-07-01 00:30,787.1,17,37,6177,1944,NaN,NaN,0.05,0.11,0.188,NaN,32,25.8,19.2,NaN,NaN,NaN,NaN
2023-07-01 01:00,787.4,18.1,40,6335,1935,NaN,NaN,0.051,0.111,0.189,NaN,30.1,25.7,19.6,NaN,NaN,NaN,NaN
2023-07-01 01:30,787.8,17.1,41.3,6234,2022,NaN,NaN,0.049,0.111,0.189,NaN,28.1,25.3,19.7,NaN,NaN,NaN,NaN
2023-07-01 02:00,787.7,14.7,69.7,6205,2038,NaN,NaN,0.048,0.11,0.189,NaN,26.3,24.8,19.8,NaN,NaN,NaN,NaN
2023-07-01 02:30,788.1,14.1,63.3,6132,1992,NaN,NaN,0.048,0.11,0.19,NaN,24.4,24.3,19.9,NaN,NaN,NaN,NaN
2023-07-01 03:00,788.2,13.6,59.1,6333,1944,NaN,NaN,0.047,0.108,0.19,NaN,22.6,23.7,20,NaN,NaN,NaN,NaN
2023-07-01 03:30,788.4,14.1,53.7,6228,2033,NaN,NaN,0.046,0.108,0.19,NaN,21,23.1,20,NaN,NaN,NaN,NaN
2023-07-01 04:00,788.8,12.8,59.7,6275,2021,NaN,NaN,0.045,0.107,0.19,NaN,19.7,22.4,20,NaN,NaN,NaN,NaN
2023-07-01 04:30,789.2,12.6,59.9,6133,2017,NaN,NaN,0.045,0.107,0.19,NaN,18.6,21.8,20,NaN,NaN,NaN,NaN
2023-07-01 05:00,789.3,12.5,59.4,6190,2048,NaN,NaN,0.044,0.106,0.19,NaN,17.7,21.3,19.9,NaN,NaN,NaN,NaN
2023-07-01 05:30,789.4,10.7,67.1,6175,1955,NaN,NaN,0.043,0.105,0.19,NaN,16.9,20.7,19.9,NaN,NaN,NaN,NaN
2023-07-01 06:00,789.6,9.4,72.6,6042,1981,NaN,NaN,0.044,0.105,0.189,NaN,16.1,20.1,19.8,NaN,NaN,NaN,NaN
2023-07-01 06:30,789.5,9.5,74,6091,2021,NaN,NaN,0.043,0.104,0.189,NaN,15.5,19.7,19.7,NaN,NaN,NaN,NaN
2023-07-01 07:00,789.3,8.7,76.3,6083,1992,NaN,NaN,0.043,0.103,0.19,NaN,14.9,19.2,19.6,NaN,NaN,NaN,NaN
2023-07-01 07:30,789.1,7.8,80,6078,1996,NaN,NaN,0.043,0.103,0.19,NaN,14.4,18.8,19.5,NaN,NaN,NaN,NaN
2023-07-01 08:00,789.2,9.1,77.6,6013,1947,NaN,NaN,0.042,0.103,0.189,NaN,13.9,18.4,19.3,NaN,NaN,NaN,NaN
2023-07-01 08:30,789.2,7.7,81,5978,1923,NaN,NaN,0.042,0.103,0.189,NaN,13.6,18,19.2,NaN,NaN,NaN,NaN
