datetime_UTC,BaroPress,airT,airRH,N1_cts,N2_cts,N3_cts,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,sT_5,sT_10,sT_20,sT_50,N1_SWC,N1_z,SWE
2023-07-01 00:00,791.4,15,61,4864,2568,NaN,NaN,0.068,0.046,NaN,NaN,14.5,13.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 00:30,791.3,17,62,4859,2440,NaN,NaN,0.068,0.046,NaN,NaN,14.5,13.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 01:00,791.3,14.7,82.3,4906,2499,NaN,NaN,0.068,0.048,NaN,NaN,14.5,13.3,NaN,NaN,NaN,NaN,NaN
2023-07-01 01:30,791.5,13.1,88.2,4898,2432,NaN,NaN,0.068,0.048,NaN,NaN,14.3,13.3,NaN,NaN,NaN,NaN,NaN
2023-07-01 02:00,792.2,11.9,90.7,4873,2455,NaN,NaN,0.068,0.048,NaN,NaN,13.9,13.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 02:30,792.3,11.9,89.9,4801,2416,NaN,NaN,0.068,0.048,NaN,NaN,13.6,13.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 03:00,792.7,11.2,91,4794,2449,NaN,NaN,0.067,0.048,NaN,NaN,13.3,13.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 03:30,793,9.9,91.6,4840,2429,NaN,NaN,0.068,0.048,NaN,NaN,13.1,13,NaN,NaN,NaN,NaN,NaN
2023-07-01 04:00,793.4,9,92.7,4811,2405,NaN,NaN,0.068,0.048,NaN,NaN,12.8,12.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 04:30,793.8,8.1,94,4797,2470,NaN,NaN,0.067,0.048,NaN,NaN,12.5,12.8,NaN,NaN,NaN,NaN,NaN
2023-07-01 05:00,794,7.3,95.6,4815,2377,NaN,NaN,0.067,0.048,NaN,NaN,12.2,12.7,NaN,NaN,NaN,NaN,NaN
2023-07-01 05:30,794.1,6.5,95.7,4806,2424,NaN,NaN,0.067,0.047,NaN,NaN,11.9,12.6,NaN,NaN,NaN,NaN,NaN
2023-07-01 06:00,794.4,6.2,96.8,4630,2431,NaN,NaN,0.067,0.047,NaN,NaN,11.6,12.5,NaN,NaN,NaN,NaN,NaN
2023-07-01 06:30,794.4,5.7,97.1,4682,2352,NaN,NaN,0.067,0.047,NaN,NaN,11.4,12.4,NaN,NaN,NaN,NaN,NaN
2023-07-01 07:00,794.3,5.4,97.8,4704,2437,NaN,NaN,0.066,0.047,NaN,NaN,11.2,12.3,NaN,NaN,NaN,NaN,NaN
2023-07-01 07:30,794.1,4.9,98.1,4790,2529,NaN,NaN,0.066,0.047,NaN,NaN,11,12.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 08:00,794.1,4.7,98.3,4786,2323,NaN,NaN,0.066,0.047,NaN,NaN,10.8,12.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 08:30,794.1,4.3,98.4,4664,2430,NaN,NaN,0.066,0.047,NaN,NaN,10.6,11.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 09:00,794,3.9,98.3,4746,2383,NaN,NaN,0.066,0.047,NaN,NaN,10.4,11.8,NaN,NaN,NaN,NaN,NaN
2023-07-01 09:30,794.1,3.5,98.4,4710,2352,NaN,NaN,0.066,0.047,NaN,NaN,10.2,11.7,NaN,NaN,NaN,NaN,NaN
2023-07-01 10:00,794.2,3.3,98.9,4846,2405,NaN,NaN,0.066,0.047,NaN,NaN,10,11.6,NaN,NaN,NaN,NaN,NaN
2023-07-01 10:30,794.5,3,99.2,4766,2401,NaN,NaN,0.066,0.047,NaN,NaN,9.9,11.5,NaN,NaN,NaN,NaN,NaN
2023-07-01 11:00,794.6,2.7,99.3,4767,2345,NaN,NaN,0.066,0.047,NaN,NaN,9.7,11.4,NaN,NaN,NaN,NaN,NaN
2023-07-01 11:30,794.8,2.4,99.5,4707,2417,NaN,NaN,0.066,0.047,NaN,NaN,9.6,11.4,NaN,NaN,NaN,NaN,NaN
2023-07-01 12:00,794.9,2.3,99.6,4564,2363,NaN,NaN,0.066,0.047,NaN,NaN,9.4,11.3,NaN,NaN,NaN,NaN,NaN
2023-07-01 12:30,795.3,2.3,100,4738,2344,NaN,NaN,0.066,0.047,NaN,NaN,9.3,11.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 13:00,795.3,2.5,100,4568,2403,NaN,NaN,0.066,0.047,NaN,NaN,9.2,11.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 13:30,795.3,3,100,4600,2344,NaN,NaN,0.066,0.047,NaN,NaN,9.1,11,NaN,NaN,NaN,NaN,NaN
2023-07-01 14:00,795.4,3.1,100,4686,2415,NaN,NaN,0.066,0.047,NaN,NaN,9,10.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 14:30,795.4,4.6,100,4768,2476,NaN,NaN,0.066,0.047,NaN,NaN,9,10.8,NaN,NaN,NaN,NaN,NaN
2023-07-01 15:00,795.3,8.7,94.3,4779,2306,NaN,NaN,0.066,0.047,NaN,NaN,9.1,10.8,NaN,NaN,NaN,NaN,NaN
2023-07-01 15:30,795.1,12.6,73,4706,2373,NaN,NaN,0.066,0.047,NaN,NaN,9.3,10.7,NaN,NaN,NaN,NaN,NaN
2023-07-01 16:00,794.7,14.9,56.8,4724,2377,NaN,NaN,0.066,0.047,NaN,NaN,9.8,10.7,NaN,NaN,NaN,NaN,NaN
2023-07-01 16:30,794.6,17.1,50.2,4880,2467,NaN,NaN,0.066,0.047,NaN,NaN,10.3,10.7,NaN,NaN,NaN,NaN,NaN
2023-07-01 17:00,794.4,18.6,47.4,4829,2409,NaN,NaN,0.066,0.047,NaN,NaN,11.1,10.8,NaN,NaN,NaN,NaN,NaN
2023-07-01 17:30,794.4,19.7,40.4,4836,2536,NaN,NaN,0.066,0.047,NaN,NaN,11.6,11,NaN,NaN,NaN,NaN,NaN
2023-07-01 18:00,794.3,21.5,28.9,4779,2401,NaN,NaN,0.066,0.047,NaN,NaN,11.9,11.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 18:30,794.1,22.2,27.8,4868,2368,NaN,NaN,0.066,0.047,NaN,NaN,12.4,11.3,NaN,NaN,NaN,NaN,NaN
2023-07-01 19:00,794,22.8,29.1,4875,2444,NaN,NaN,0.067,0.047,NaN,NaN,13.7,11.4,NaN,NaN,NaN,NaN,NaN
2023-07-01 19:30,793.7,23.1,26.1,5021,2380,NaN,NaN,0.067,0.047,NaN,NaN,16.2,11.7,NaN,NaN,NaN,NaN,NaN
2023-07-01 20:00,793.3,23.8,25.3,4863,2459,NaN,NaN,0.068,0.047,NaN,NaN,17.4,12.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 20:30,793.1,23.9,27.1,4868,2483,NaN,NaN,0.068,0.047,NaN,NaN,18,12.8,NaN,NaN,NaN,NaN,NaN
2023-07-01 21:00,793,24.5,26.3,4873,2351,NaN,NaN,0.069,0.047,NaN,NaN,18.8,13.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 21:30,792.8,23.5,31.5,4924,2536,NaN,NaN,0.069,0.047,NaN,NaN,18.9,13.7,NaN,NaN,NaN,NaN,NaN
2023-07-01 22:00,792.6,24.6,29.1,4664,2381,NaN,NaN,0.069,0.048,NaN,NaN,18.3,14,NaN,NaN,NaN,NaN,NaN
2023-07-01 22:30,792.3,25.5,26.6,4962,2512,NaN,NaN,0.068,0.048,NaN,NaN,17.7,14.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 23:00,792.1,25.7,26.8,4883,2398,NaN,NaN,0.068,0.048,NaN,NaN,17.5,14.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 23:30,792,25.9,27.4,4921,2479,NaN,NaN,0.068,0.048,NaN,NaN,17.2,14.1,NaN,NaN,NaN,NaN,NaN
2023-07-02 00:00,791.9,24.3,35.5,4796,2410,NaN,NaN,0.068,0.048,NaN,NaN,16.9,14.1,NaN,NaN,NaN,NaN,NaN
2023-07-02 00:30,791.8,20,49.6,4894,2550,NaN,NaN,0.068,0.048,NaN,NaN,16.6,14.1,NaN,NaN,NaN,NaN,NaN
2023-07-02 01:00,791.9,18.1,61.4,5123,2506,NaN,NaN,0.068,0.048,NaN,NaN,16.4,14.1,NaN,NaN,NaN,NaN,NaN
2023-07-02 01:30,792.1,16,69.2,4953,2516,NaN,NaN,0.068,0.048,NaN,NaN,15.9,14.1,NaN,NaN,NaN,NaN,NaN
2023-07-02 02:00,792.2,14.5,68.8,4929,2427,NaN,NaN,0.067,0.048,NaN,NaN,15.4,14.1,NaN,NaN,NaN,NaN,NaN
2023-07-02 02:30,792.4,12.9,71.2,4938,2409,NaN,NaN,0.067,0.048,NaN,NaN,15,14,NaN,NaN,NaN,NaN,NaN
2023-07-02 03:00,792.8,11.6,74.8,4801,2450,NaN,NaN,0.067,0.048,NaN,NaN,14.5,13.9,NaN,NaN,NaN,NaN,NaN
2023-07-02 03:30,793.1,10.8,77.2,4865,2483,NaN,NaN,0.067,0.048,NaN,NaN,14.1,13.7,NaN,NaN,NaN,NaN,NaN
2023-07-02 04:00,793.6,10.2,77.6,4916,2409,NaN,NaN,0.067,0.048,NaN,NaN,13.6,13.6,NaN,NaN,NaN,NaN,NaN
2023-07-02 04:30,793.8,9.8,81,4901,2475,NaN,NaN,0.066,0.048,NaN,NaN,13.3,13.5,NaN,NaN,NaN,NaN,NaN
2023-07-02 05:00,793.8,9.2,81,4860,2447,NaN,NaN,0.066,0.048,NaN,NaN,12.9,13.3,NaN,NaN,NaN,NaN,NaN
2023-07-02 05:30,793.8,8.5,83,4873,2357,NaN,NaN,0.066,0.048,NaN,NaN,12.7,13.2,NaN,NaN,NaN,NaN,NaN
2023-07-02 06:00,793.8,8.2,82.9,4866,2457,NaN,NaN,0.066,0.048,NaN,NaN,12.4,13.1,NaN,NaN,NaN,NaN,NaN
2023-07-02 06:30,793.8,7.7,84.8,4790,2401,NaN,NaN,0.066,0.047,NaN,NaN,12.2,12.9,NaN,NaN,NaN,NaN,NaN
2023-07-02 07:00,793.5,7.3,85.5,4787,2397,NaN,NaN,0.066,0.047,NaN,NaN,12,12.8,NaN,NaN,NaN,NaN,NaN
2023-07-02 07:30,793.4,6.8,88.1,4682,2449,NaN,NaN,0.066,0.047,NaN,NaN,11.8,12.7,NaN,NaN,NaN,NaN,NaN
2023-07-02 08:00,793.2,6.4,88.1,4826,2428,NaN,NaN,0.066,0.047,NaN,NaN,11.6,12.6,NaN,NaN,NaN,NaN,NaN
2023-07-02 08:30,793.2,6.3,88.8,4807,2422,NaN,NaN,0.066,0.047,NaN,NaN,11.3,12.5,NaN,NaN,NaN,NaN,NaN
2023-07-02 09:00,793.2,6.6,88.4,4822,2394,NaN,NaN,0.065,0.047,NaN,NaN,11.2,12.4,NaN,NaN,NaN,NaN,NaN
2023-07-02 09:30,793.3,6.5,89.9,4830,2404,NaN,NaN,0.065,0.047,NaN,NaN,11.1,12.3,NaN,NaN,NaN,NaN,NaN
2023-07-02 10:00,793.7,6.1,87.8,4801,2483,NaN,NaN,0.065,0.047,NaN,NaN,11,12.2,NaN,NaN,NaN,NaN,NaN
2023-07-02 10:30,793.7,5.8,90.8,4881,2444,NaN,NaN,0.065,0.047,NaN,NaN,10.9,12.1,NaN,NaN,NaN,NaN,NaN
2023-07-02 11:00,793.7,5.2,91.7,4793,2543,NaN,NaN,0.065,0.047,NaN,NaN,10.7,12,NaN,NaN,NaN,NaN,NaN
2023-07-02 11:30,793.8,4.7,93.1,4873,2376,NaN,NaN,0.065,0.047,NaN,NaN,10.6,11.9,NaN,NaN,NaN,NaN,NaN
2023-07-02 12:00,794,4.6,93.6,4908,2455,NaN,NaN,0.065,0.047,NaN,NaN,10.5,11.9,NaN,NaN,NaN,NaN,NaN
2023-07-02 12:30,794,4.7,93.9,4855,2455,NaN,NaN,0.065,0.047,NaN,NaN,10.3,11.8,NaN,NaN,NaN,NaN,NaN
2023-07-02 13:00,794.1,5,94.4,4900,2445,NaN,NaN,0.065,0.047,NaN,NaN,10.2,11.7,NaN,NaN,NaN,NaN,NaN
2023-07-02 13:30,794.3,5.1,93.7,4860,2397,NaN,NaN,0.065,0.047,NaN,NaN,10.2,11.6,NaN,NaN,NaN,NaN,NaN
2023-07-02 14:00,794.5,5.6,94.3,4840,2375,NaN,NaN,0.065,0.047,NaN,NaN,10.1,11.5,NaN,NaN,NaN,NaN,NaN
2023-07-02 14:30,794.2,6.9,93.8,4850,2503,NaN,NaN,0.065,0.047,NaN,NaN,10.1,11.5,NaN,NaN,NaN,NaN,NaN
2023-07-02 15:00,794.5,10.3,82.5,4924,2405,NaN,NaN,0.065,0.047,NaN,NaN,10.2,11.4,NaN,NaN,NaN,NaN,NaN
2023-07-02 15:30,794.6,10,91.1,4775,2484,NaN,NaN,0.065,0.047,NaN,NaN,10.4,11.4,NaN,NaN,NaN,NaN,NaN
2023-07-02 16:00,794.4,10.5,93.9,4930,2413,NaN,NaN,0.065,0.047,NaN,NaN,10.7,11.4,NaN,NaN,NaN,NaN,NaN
2023-07-02 16:30,793.8,15.5,71.3,4774,2404,NaN,NaN,0.065,0.047,NaN,NaN,11,11.4,NaN,NaN,NaN,NaN,NaN
2023-07-02 17:00,793.9,16.7,79.5,4670,2489,NaN,NaN,0.065,0.047,NaN,NaN,11.7,11.4,NaN,NaN,NaN,NaN,NaN
2023-07-02 17:30,793.4,20,40.9,4877,2439,NaN,NaN,0.066,0.047,NaN,NaN,12.2,11.5,NaN,NaN,NaN,NaN,NaN
2023-07-02 18:00,793.1,22.4,35.9,4829,2450,NaN,NaN,0.066,0.047,NaN,NaN,12.6,11.7,NaN,NaN,NaN,NaN,NaN
2023-07-02 18:30,792.9,23.1,34.3,4956,2500,NaN,NaN,0.066,0.047,NaN,NaN,13.2,11.8,NaN,NaN,NaN,NaN,NaN
2023-07-02 19:00,792.9,23.1,35.1,4895,2434,NaN,NaN,0.066,0.047,NaN,NaN,14.4,12,NaN,NaN,NaN,NaN,NaN
2023-07-02 19:30,792.5,24.9,32.6,4777,2556,NaN,NaN,0.066,0.047,NaN,NaN,15.8,12.2,NaN,NaN,NaN,NaN,NaN
2023-07-02 20:00,792.4,24.6,31.6,4979,2511,NaN,NaN,0.067,0.047,NaN,NaN,17.1,12.6,NaN,NaN,NaN,NaN,NaN
2023-07-02 20:30,792,25.4,30.3,4934,2491,NaN,NaN,0.067,0.047,NaN,NaN,17.6,13,NaN,NaN,NaN,NaN,NaN
2023-07-02 21:00,791.8,25.2,30.5,4902,2578,NaN,NaN,0.067,0.047,NaN,NaN,18,13.4,NaN,NaN,NaN,NaN,NaN
2023-07-02 21:30,791.6,26.2,27.5,4932,2507,NaN,NaN,0.067,0.047,NaN,NaN,17.9,13.7,NaN,NaN,NaN,NaN,NaN
2023-07-02 22:00,791.3,25.6,26.9,5063,2395,NaN,NaN,0.067,0.047,NaN,NaN,17.6,13.9,NaN,NaN,NaN,NaN,NaN
2023-07-02 22:30,791.2,26.2,24.3,4885,2438,NaN,NaN,0.067,0.047,NaN,NaN,17.4,14,NaN,NaN,NaN,NaN,NaN
2023-07-02 23:00,791.1,24.7,27.9,5027,2507,NaN,NaN,0.067,0.047,NaN,NaN,17.4,14.1,NaN,NaN,NaN,NaN,NaN
2023-07-02 23:30,790.9,25.9,30.2,4828,2440,NaN,NaN,0.067,0.048,NaN,NaN,17.1,14.2,NaN,NaN,NaN,NaN,NaN
2023-07-03 00:00,790.8,23.3,41,4946,2541,NaN,NaN,0.067,0.048,NaN,NaN,16.8,14.2,NaN,NaN,NaN,NaN,NaN
2023-07-03 00:30,790.8,18.9,56.9,4997,2538,NaN,NaN,0.067,0.048,NaN,NaN,16.6,14.2,NaN,NaN,NaN,NaN,NaN
2023-07-03 01:00,790.9,17,68.6,4955,2478,NaN,NaN,0.067,0.048,NaN,NaN,16.3,14.2,NaN,NaN,NaN,NaN,NaN
2023-07-03 01:30,791,15.4,73.4,5065,2511,NaN,NaN,0.067,0.048,NaN,NaN,15.9,14.2,NaN,NaN,NaN,NaN,NaN
2023-07-03 02:00,791,13.7,73.6,4963,2511,NaN,NaN,0.067,0.048,NaN,NaN,15.4,14.1,NaN,NaN,NaN,NaN,NaN
2023-07-03 02:30,791.2,12.3,75.7,4964,2438,NaN,NaN,0.066,0.048,NaN,NaN,14.9,14,NaN,NaN,NaN,NaN,NaN
2023-07-03 03:00,791.6,11.1,78.1,5052,2532,NaN,NaN,0.066,0.048,NaN,NaN,14.4,13.9,NaN,NaN,NaN,NaN,NaN
2023-07-03 03:30,792.1,10.4,78.6,4875,2497,NaN,NaN,0.066,0.048,NaN,NaN,14,13.8,NaN,NaN,NaN,NaN,NaN
2023-07-03 04:00,792.5,10.2,79.6,5075,2474,NaN,NaN,0.066,0.048,NaN,NaN,13.6,13.6,NaN,NaN,NaN,NaN,NaN
2023-07-03 04:30,792.7,10.2,83.3,4912,2457,NaN,NaN,0.066,0.048,NaN,NaN,13.2,13.5,NaN,NaN,NaN,NaN,NaN
2023-07-03 05:00,792.9,10,80.5,4841,2446,NaN,NaN,0.066,0.048,NaN,NaN,13,13.4,NaN,NaN,NaN,NaN,NaN
2023-07-03 05:30,792.9,9.3,82.1,4868,2522,NaN,NaN,0.065,0.047,NaN,NaN,12.8,13.3,NaN,NaN,NaN,NaN,NaN
2023-07-03 06:00,793,8.7,82.5,4954,2504,NaN,NaN,0.065,0.047,NaN,NaN,12.6,13.1,NaN,NaN,NaN,NaN,NaN
2023-07-03 06:30,792.9,8.2,84.2,4962,2551,NaN,NaN,0.065,0.047,NaN,NaN,12.3,13,NaN,NaN,NaN,NaN,NaN
2023-07-03 07:00,792.9,7.7,85.1,4901,2412,NaN,NaN,0.065,0.047,NaN,NaN,12.1,12.9,NaN,NaN,NaN,NaN,NaN
2023-07-03 07:30,792.7,7.3,84.8,4795,2483,NaN,NaN,0.065,0.047,NaN,NaN,11.9,12.8,NaN,NaN,NaN,NaN,NaN
2023-07-03 08:00,792.8,6.7,86.4,4791,2497,NaN,NaN,0.065,0.047,NaN,NaN,11.7,12.7,NaN,NaN,NaN,NaN,NaN
2023-07-03 08:30,792.9,6.3,88.6,4856,2440,NaN,NaN,0.065,0.047,NaN,NaN,11.5,12.6,NaN,NaN,NaN,NaN,NaN
2023-07-03 09:00,793.1,6,89.9,4785,2427,NaN,NaN,0.065,0.047,NaN,NaN,11.3,12.5,NaN,NaN,NaN,NaN,NaN
2023-07-03 09:30,792.9,5.7,90.1,4930,2368,NaN,NaN,0.065,0.047,NaN,NaN,11.2,12.4,NaN,NaN,NaN,NaN,NaN
2023-07-03 10:00,793.1,5.3,91.7,4782,2383,NaN,NaN,0.065,0.047,NaN,NaN,11,12.3,NaN,NaN,NaN,NaN,NaN
2023-07-03 10:30,793.1,4.9,93.8,4892,2470,NaN,NaN,0.065,0.047,NaN,NaN,10.9,12.2,NaN,NaN,NaN,NaN,NaN
2023-07-03 11:00,793.1,4.5,94.3,4811,2471,NaN,NaN,0.065,0.047,NaN,NaN,10.7,12.1,NaN,NaN,NaN,NaN,NaN
2023-07-03 11:30,793.4,4.1,94.8,4768,2536,NaN,NaN,0.064,0.047,NaN,NaN,10.5,12,NaN,NaN,NaN,NaN,NaN
2023-07-03 12:00,793.5,4,95.5,4827,2442,NaN,NaN,0.064,0.047,NaN,NaN,10.4,11.9,NaN,NaN,NaN,NaN,NaN
2023-07-03 12:30,793.7,4.3,95.9,4838,2383,NaN,NaN,0.064,0.047,NaN,NaN,10.3,11.8,NaN,NaN,NaN,NaN,NaN
2023-07-03 13:00,793.7,5.3,95,4925,2388,NaN,NaN,0.064,0.047,NaN,NaN,10.2,11.7,NaN,NaN,NaN,NaN,NaN
2023-07-03 13:30,793.8,5.6,94.8,4906,2440,NaN,NaN,0.064,0.047,NaN,NaN,10.1,11.6,NaN,NaN,NaN,NaN,NaN
2023-07-03 14:00,793.9,6.2,95.1,4858,2421,NaN,NaN,0.064,0.047,NaN,NaN,10.1,11.6,NaN,NaN,NaN,NaN,NaN
2023-07-03 14:30,793.8,7.6,94.8,4867,2430,NaN,NaN,0.064,0.047,NaN,NaN,10.2,11.5,NaN,NaN,NaN,NaN,NaN
2023-07-03 15:00,793.7,11.2,79.5,4819,2530,NaN,NaN,0.064,0.047,NaN,NaN,10.3,11.5,NaN,NaN,NaN,NaN,NaN
2023-07-03 15:30,793.5,15.3,53.7,4926,2429,NaN,NaN,0.064,0.047,NaN,NaN,10.5,11.4,NaN,NaN,NaN,NaN,NaN
2023-07-03 16:00,793.2,17.7,44.9,4817,2503,NaN,NaN,0.064,0.047,NaN,NaN,10.9,11.4,NaN,NaN,NaN,NaN,NaN
2023-07-03 16:30,793,19.5,42.1,4867,2576,NaN,NaN,0.065,0.047,NaN,NaN,11.4,11.5,NaN,NaN,NaN,NaN,NaN
2023-07-03 17:00,792.8,21.7,35.6,4936,2481,NaN,NaN,0.065,0.047,NaN,NaN,12.1,11.6,NaN,NaN,NaN,NaN,NaN
2023-07-03 17:30,792.5,23.5,34.7,4910,2403,NaN,NaN,0.065,0.047,NaN,NaN,12.5,11.7,NaN,NaN,NaN,NaN,NaN
2023-07-03 18:00,792.1,25.7,27.2,4898,2589,NaN,NaN,0.065,0.047,NaN,NaN,12.9,11.8,NaN,NaN,NaN,NaN,NaN
