datetime_UTC,BaroPress,airT,airRH,N1_cts,N2_cts,N3_cts,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,sT_5,sT_10,sT_20,sT_50,N1_SWC,N1_z,SWE
2023-07-01 00:00,697.9,7,72,NaN,NaN,NaN,NaN,0.032,0.048,0.132,0.116,17,17,14.5,10.7,NaN,NaN,NaN
2023-07-01 00:30,697.8,8,58,NaN,NaN,NaN,NaN,0.032,0.048,0.132,0.116,16.4,16.7,14.5,10.7,NaN,NaN,NaN
2023-07-01 01:00,697.7,8.3,61,NaN,NaN,NaN,NaN,0.032,0.048,0.132,0.118,15.7,16.5,14.6,10.9,NaN,NaN,NaN
2023-07-01 01:30,697.6,8.3,59.3,NaN,NaN,NaN,NaN,0.032,0.048,0.132,0.118,14.6,16.1,14.5,10.9,NaN,NaN,NaN
2023-07-01 02:00,697.8,7.5,67.6,NaN,NaN,NaN,NaN,0.031,0.048,0.132,0.118,13.6,15.6,14.5,10.9,NaN,NaN,NaN
2023-07-01 02:30,698.1,7.2,68.1,NaN,NaN,NaN,NaN,0.031,0.048,0.132,0.118,12.7,15.2,14.4,10.9,NaN,NaN,NaN
2023-07-01 03:00,698.4,7.1,67.7,NaN,NaN,NaN,NaN,0.031,0.047,0.132,0.118,12,14.7,14.3,10.9,NaN,NaN,NaN
2023-07-01 03:30,698.6,6.8,68.9,NaN,NaN,NaN,NaN,0.031,0.047,0.132,0.118,11.6,14.3,14.2,10.9,NaN,NaN,NaN
2023-07-01 04:00,698.7,6.2,69.9,NaN,NaN,NaN,NaN,0.031,0.047,0.132,0.118,11.1,13.9,14.1,10.9,NaN,NaN,NaN
2023-07-01 04:30,699,5.8,70,NaN,NaN,NaN,NaN,0.031,0.047,0.131,0.118,10.5,13.5,14,10.9,NaN,NaN,NaN
2023-07-01 05:00,699,5.8,69.8,NaN,NaN,NaN,NaN,0.03,0.047,0.131,0.118,9.8,13.1,13.8,11,NaN,NaN,NaN
2023-07-01 05:30,699,5.6,70.2,9150,4080,8937,NaN,0.03,0.047,0.131,0.118,9.1,12.6,13.6,11,NaN,NaN,NaN
2023-07-01 06:00,699,5.8,68.9,9323,3983,8821,NaN,0.03,0.046,0.131,0.118,8.6,12.3,13.5,10.9,NaN,NaN,NaN
2023-07-01 06:30,698.8,5.8,69,9227,4040,8898,NaN,0.03,0.046,0.131,0.118,8.1,12,13.4,11,NaN,NaN,NaN
2023-07-01 07:00,698.7,5.6,70,9320,4052,8597,NaN,0.03,0.046,0.131,0.118,7.8,11.6,13.2,11,NaN,NaN,NaN
2023-07-01 07:30,698.6,5.4,70.6,9194,4060,8846,NaN,0.03,0.046,0.131,0.118,7.4,11.4,13.1,11,NaN,NaN,NaN
2023-07-01 08:00,698.3,5.8,68.7,9153,4019,8817,NaN,0.03,0.046,0.131,0.118,7,11,12.9,11,NaN,NaN,NaN
2023-07-01 08:30,698.2,5.6,70.4,9146,4165,8831,NaN,0.03,0.046,0.131,0.118,6.7,10.8,12.8,11,NaN,NaN,NaN
2023-07-01 09:00,698.3,5.2,72.7,9304,4043,8953,NaN,0.03,0.046,0.131,0.118,6.5,10.5,12.6,11,NaN,NaN,NaN
2023-07-01 09:30,698.2,4.7,74.2,9170,4050,8740,NaN,0.03,0.046,0.13,0.118,6.1,10.2,12.5,11,NaN,NaN,NaN
2023-07-01 10:00,698.2,4.9,73.6,9169,3994,8848,NaN,0.03,0.046,0.13,0.118,5.9,10,12.3,11,NaN,NaN,NaN
2023-07-01 10:30,698.4,5,73.2,9295,4123,8907,NaN,0.03,0.046,0.13,0.118,5.7,9.8,12.2,11,NaN,NaN,NaN
2023-07-01 11:00,698.5,5,71.7,9298,4124,8931,NaN,0.03,0.046,0.13,0.118,5.6,9.5,12.1,11,NaN,NaN,NaN
2023-07-01 11:30,698.6,5.4,70.2,9413,3999,8913,NaN,0.03,0.046,0.13,0.118,5.3,9.3,11.9,11,NaN,NaN,NaN
2023-07-01 12:00,698.6,5.2,69.2,9185,4005,8845,NaN,0.03,0.046,0.129,0.118,5.2,9.2,11.8,11,NaN,NaN,NaN
2023-07-01 12:30,698.8,5.4,71.5,9254,4128,8787,NaN,0.03,0.046,0.129,0.118,5.1,9,11.7,11,NaN,NaN,NaN
2023-07-01 13:00,698.9,5.7,70.1,9283,4081,8764,NaN,0.03,0.046,0.129,0.118,4.9,8.8,11.5,11,NaN,NaN,NaN
2023-07-01 13:30,699,7.1,66,9193,4144,8805,NaN,0.03,0.046,0.129,0.118,5,8.7,11.4,11,NaN,NaN,NaN
2023-07-01 14:00,699.3,8.1,67.6,9200,4075,8880,NaN,0.031,0.046,0.129,0.117,5.4,8.6,11.3,11,NaN,NaN,NaN
2023-07-01 14:30,699.6,10.6,61.8,9060,3976,8799,NaN,0.031,0.046,0.129,0.119,7.7,8.6,11.2,10.9,NaN,NaN,NaN
2023-07-01 15:00,699.7,11.3,54.5,9311,4054,8760,NaN,0.032,0.046,0.129,0.117,10.3,8.9,11,11,NaN,NaN,NaN
2023-07-01 15:30,699.9,11.9,50.8,9089,4033,8975,NaN,0.033,0.046,0.129,0.117,12.5,9.5,11,10.9,NaN,NaN,NaN
2023-07-01 16:00,700,12.5,49,9384,4016,8611,NaN,0.033,0.046,0.129,0.117,14.9,10.2,10.9,10.9,NaN,NaN,NaN
2023-07-01 16:30,699.9,12.3,50.2,9061,4079,8803,NaN,0.034,0.046,0.128,0.117,17.3,11.1,10.9,10.9,NaN,NaN,NaN
2023-07-01 17:00,699.8,11.7,48.8,9062,4087,8577,NaN,0.034,0.047,0.128,0.117,17.9,12.1,11.1,10.9,NaN,NaN,NaN
2023-07-01 17:30,700.3,12.4,50,9117,3977,8630,NaN,0.034,0.047,0.128,0.117,18.7,12.8,11.2,10.9,NaN,NaN,NaN
