datetime_UTC,BaroPress,airT,airRH,N1_cts,N2_cts,N3_cts,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,sT_5,sT_10,sT_20,sT_50,N1_SWC,N1_z,SWE
2023-07-01 00:00,NaN,16,65,5962,2219,NaN,NaN,0.064,0.098,0.142,NaN,21.4,19.2,17.6,NaN,NaN,NaN,NaN
2023-07-01 00:30,NaN,16,57,5685,2208,NaN,NaN,0.066,0.098,0.142,NaN,21.7,18.9,17.6,NaN,NaN,NaN,NaN
2023-07-01 01:00,NaN,16,56,5804,2206,NaN,NaN,0.064,0.098,0.142,NaN,21.1,18.9,17.6,NaN,NaN,NaN,NaN
2023-07-01 01:30,NaN,16,53,5760,2187,NaN,NaN,0.064,0.098,0.142,NaN,20.1,18.9,17.6,NaN,NaN,NaN,NaN
2023-07-01 02:00,NaN,13,68,5828,2195,NaN,NaN,0.064,0.098,0.142,NaN,18.5,18.9,17.6,NaN,NaN,NaN,NaN
2023-07-01 02:30,NaN,12,74,5724,2212,NaN,NaN,0.064,0.096,0.142,NaN,17.6,18.5,17.6,NaN,NaN,NaN,NaN
2023-07-01 03:00,NaN,11,77,5780,2214,NaN,NaN,0.064,0.096,0.142,NaN,17,18.2,17.3,NaN,NaN,NaN,NaN
2023-07-01 03:30,NaN,11,72,5802,2230,NaN,NaN,0.062,0.096,0.142,NaN,16,17.9,17.3,NaN,NaN,NaN,NaN
2023-07-01 04:00,NaN,11,66,5851,2191,NaN,NaN,0.062,0.096,0.142,NaN,15.1,17.6,17.3,NaN,NaN,NaN,NaN
2023-07-01 04:30,NaN,10,69,5735,2142,NaN,NaN,0.062,0.096,0.142,NaN,14.5,17.3,17.3,NaN,NaN,NaN,NaN
2023-07-01 05:00,NaN,9,75,5596,2136,NaN,NaN,0.062,0.096,0.142,NaN,13.8,17,17.3,NaN,NaN,NaN,NaN
2023-07-01 05:30,NaN,8,77,5666,2180,NaN,NaN,0.062,0.096,0.142,NaN,12.9,16.7,17,NaN,NaN,NaN,NaN
2023-07-01 06:00,NaN,8,77,5816,2129,NaN,NaN,0.062,0.096,0.142,NaN,12.6,16.4,17,NaN,NaN,NaN,NaN
2023-07-01 06:30,NaN,7,79,5671,2161,NaN,NaN,0.062,0.094,0.142,NaN,12,16,16.7,NaN,NaN,NaN,NaN
2023-07-01 07:00,NaN,7,78,5643,2119,NaN,NaN,0.062,0.094,0.142,NaN,11.6,15.7,16.7,NaN,NaN,NaN,NaN
2023-07-01 07:30,NaN,7,77,5613,2111,NaN,NaN,0.06,0.094,0.14,NaN,11,15.4,16.4,NaN,NaN,NaN,NaN
2023-07-01 08:00,NaN,6,80,5613,2183,NaN,NaN,0.062,0.094,0.14,NaN,10.7,15.4,16.4,NaN,NaN,NaN,NaN
2023-07-01 08:30,NaN,4,83,5880,2137,NaN,NaN,0.062,0.094,0.14,NaN,10.4,15.1,16.4,NaN,NaN,NaN,NaN
2023-07-01 09:00,NaN,4,89,5602,2153,NaN,NaN,0.062,0.094,0.14,NaN,9.8,14.8,16,NaN,NaN,NaN,NaN
2023-07-01 09:30,NaN,6,82,5594,2139,NaN,NaN,0.06,0.094,0.14,NaN,9.5,14.5,16,NaN,NaN,NaN,NaN
2023-07-01 10:00,NaN,5,87,5820,2133,NaN,NaN,0.06,0.092,0.14,NaN,9.1,14.2,15.7,NaN,NaN,NaN,NaN
2023-07-01 10:30,NaN,4,87,5801,2171,NaN,NaN,0.06,0.092,0.14,NaN,8.8,13.8,15.7,NaN,NaN,NaN,NaN
2023-07-01 11:00,NaN,4,85,5636,2123,NaN,NaN,0.06,0.094,0.14,NaN,8.5,13.8,15.4,NaN,NaN,NaN,NaN
2023-07-01 11:30,NaN,5,85,5583,2231,NaN,NaN,0.06,0.092,0.14,NaN,8.5,13.5,15.4,NaN,NaN,NaN,NaN
2023-07-01 12:00,NaN,5,83,5883,2141,NaN,NaN,0.06,0.092,0.14,NaN,8.2,13.2,15.1,NaN,NaN,NaN,NaN
2023-07-01 12:30,NaN,4,89,5691,2151,NaN,NaN,0.06,0.092,0.14,NaN,7.9,13.2,15.1,NaN,NaN,NaN,NaN
2023-07-01 13:00,NaN,5,84,5628,2146,NaN,NaN,0.06,0.094,0.14,NaN,7.9,12.9,14.8,NaN,NaN,NaN,NaN
