datetime_UTC,BaroPress,airT,airRH,N1_cts,N2_cts,N3_cts,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,sT_5,sT_10,sT_20,sT_50,N1_SWC,N1_z,SWE
2023-07-01 00:00,793.6,15,56,5872,2108,NaN,NaN,0.018,0.068,NaN,NaN,23.9,22.6,NaN,NaN,NaN,NaN,NaN
2023-07-01 00:30,793.2,16,51,5821,2107,NaN,NaN,0.018,0.068,NaN,NaN,23.3,22.3,NaN,NaN,NaN,NaN,NaN
2023-07-01 01:00,793.1,17.1,51.7,5885,2065,NaN,NaN,0.02,0.069,NaN,NaN,22.6,22.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 01:30,793.3,15.4,59.4,6068,2071,NaN,NaN,0.02,0.069,NaN,NaN,21.7,21.8,NaN,NaN,NaN,NaN,NaN
2023-07-01 02:00,793.3,14.1,67.1,6047,2053,NaN,NaN,0.019,0.069,NaN,NaN,20.7,21.5,NaN,NaN,NaN,NaN,NaN
2023-07-01 02:30,793.9,13.9,68.4,5850,2000,NaN,NaN,0.019,0.069,NaN,NaN,19.8,21.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 03:00,794.1,13.6,69.7,5821,2031,NaN,NaN,0.019,0.068,NaN,NaN,19,20.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 03:30,794.1,12.8,71.7,5942,2149,NaN,NaN,0.018,0.068,NaN,NaN,18.4,20.5,NaN,NaN,NaN,NaN,NaN
2023-07-01 04:00,794.6,12,74.8,5887,2059,NaN,NaN,0.018,0.068,NaN,NaN,17.7,20.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 04:30,795.1,10.6,79.4,5879,2044,NaN,NaN,0.018,0.068,NaN,NaN,16.8,19.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 05:00,795.2,9.4,81.7,5756,2002,NaN,NaN,0.018,0.068,NaN,NaN,16.1,19.6,NaN,NaN,NaN,NaN,NaN
2023-07-01 05:30,795.3,9.7,80.3,5985,2030,NaN,NaN,0.018,0.067,NaN,NaN,15.3,19.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 06:00,795.4,9.4,79.9,5864,2028,NaN,NaN,0.018,0.067,NaN,NaN,14.7,18.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 06:30,795.4,9.1,81.6,5804,2022,NaN,NaN,0.017,0.067,NaN,NaN,14.2,18.5,NaN,NaN,NaN,NaN,NaN
2023-07-01 07:00,795.2,8.6,82.2,5905,1981,NaN,NaN,0.017,0.067,NaN,NaN,13.8,18.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 07:30,795.1,8.2,83.2,5885,2019,NaN,NaN,0.017,0.067,NaN,NaN,13.3,17.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 08:00,794.9,8.2,81.4,5808,2016,NaN,NaN,0.017,0.066,NaN,NaN,13,17.6,NaN,NaN,NaN,NaN,NaN
2023-07-01 08:30,795.1,7.6,83.6,5725,2044,NaN,NaN,0.017,0.066,NaN,NaN,12.6,17.3,NaN,NaN,NaN,NaN,NaN
2023-07-01 09:00,795.2,7.6,82.5,5920,2085,NaN,NaN,0.017,0.066,NaN,NaN,12.2,17.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 09:30,795.1,7,84.8,5826,1962,NaN,NaN,0.017,0.066,NaN,NaN,11.9,16.8,NaN,NaN,NaN,NaN,NaN
2023-07-01 10:00,795.2,6.8,85.2,5864,2097,NaN,NaN,0.017,0.066,NaN,NaN,11.6,16.6,NaN,NaN,NaN,NaN,NaN
2023-07-01 10:30,795.4,6.6,85.2,5733,1962,NaN,NaN,0.017,0.066,NaN,NaN,11.3,16.3,NaN,NaN,NaN,NaN,NaN
2023-07-01 11:00,795.6,6.4,85.2,5820,2007,NaN,NaN,0.017,0.065,NaN,NaN,11.1,16.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 11:30,795.6,6.2,85.5,5786,1984,NaN,NaN,0.017,0.065,NaN,NaN,10.8,15.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 12:00,795.7,6.1,85.5,5789,1979,NaN,NaN,0.017,0.065,NaN,NaN,10.5,15.7,NaN,NaN,NaN,NaN,NaN
2023-07-01 12:30,795.9,6.1,85.3,5693,1927,NaN,NaN,0.017,0.065,NaN,NaN,10.3,15.5,NaN,NaN,NaN,NaN,NaN
2023-07-01 13:00,796.1,7.4,80.4,5855,2037,NaN,NaN,0.017,0.065,NaN,NaN,10.2,15.3,NaN,NaN,NaN,NaN,NaN
2023-07-01 13:30,796.2,9.4,74.7,5709,2061,NaN,NaN,0.017,0.065,NaN,NaN,10.1,15.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 14:00,796.1,11.2,68.7,5854,2022,NaN,NaN,0.017,0.065,NaN,NaN,10.3,14.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 14:30,796.4,12.9,63.1,5754,2075,NaN,NaN,0.017,0.065,NaN,NaN,10.8,14.8,NaN,NaN,NaN,NaN,NaN
2023-07-01 15:00,796.2,14.6,54.1,5794,2045,NaN,NaN,0.018,0.065,NaN,NaN,11.9,14.7,NaN,NaN,NaN,NaN,NaN
2023-07-01 15:30,796.1,15.3,56.5,5805,1897,NaN,NaN,0.018,0.065,NaN,NaN,13.6,14.7,NaN,NaN,NaN,NaN,NaN
2023-07-01 16:00,795.9,17.6,47.7,5736,1979,NaN,NaN,0.02,0.065,NaN,NaN,15.7,14.8,NaN,NaN,NaN,NaN,NaN
2023-07-01 16:30,795.8,18.4,47,5770,2059,NaN,NaN,0.021,0.065,NaN,NaN,18.1,15.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 17:00,795.6,19.5,41.2,5822,1948,NaN,NaN,0.022,0.065,NaN,NaN,20.2,15.5,NaN,NaN,NaN,NaN,NaN
2023-07-01 17:30,795.6,20.8,35.6,5950,1974,NaN,NaN,0.023,0.065,NaN,NaN,22.5,16,NaN,NaN,NaN,NaN,NaN
2023-07-01 18:00,795.4,20.9,31.7,5902,2015,NaN,NaN,0.025,0.065,NaN,NaN,24.6,16.5,NaN,NaN,NaN,NaN,NaN
2023-07-01 18:30,795.3,22,28.6,5858,1979,NaN,NaN,0.025,0.066,NaN,NaN,25.5,17.2,NaN,NaN,NaN,NaN,NaN
2023-07-01 19:00,794.8,23.3,28.2,5946,2114,NaN,NaN,0.026,0.066,NaN,NaN,27,17.8,NaN,NaN,NaN,NaN,NaN
2023-07-01 19:30,794.5,23.8,25.6,6136,2044,NaN,NaN,0.028,0.066,NaN,NaN,29.6,18.4,NaN,NaN,NaN,NaN,NaN
2023-07-01 20:00,794.2,25,26.3,6109,1949,NaN,NaN,0.03,0.067,NaN,NaN,31.6,19.1,NaN,NaN,NaN,NaN,NaN
2023-07-01 20:30,794,24,28.7,6072,2008,NaN,NaN,0.031,0.067,NaN,NaN,33.3,19.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 21:00,793.8,24.1,26.7,5987,2007,NaN,NaN,0.031,0.067,NaN,NaN,33.3,20.7,NaN,NaN,NaN,NaN,NaN
2023-07-01 21:30,793.6,25.1,25.7,5894,2033,NaN,NaN,0.032,0.068,NaN,NaN,33.2,21.4,NaN,NaN,NaN,NaN,NaN
2023-07-01 22:00,793.3,24.5,26.1,6023,2002,NaN,NaN,0.033,0.068,NaN,NaN,33.5,21.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 22:30,793.2,25.8,24.7,5983,2033,NaN,NaN,0.033,0.068,NaN,NaN,32.9,22.5,NaN,NaN,NaN,NaN,NaN
2023-07-01 23:00,793.1,25.9,25.9,6044,2020,NaN,NaN,0.033,0.069,NaN,NaN,32.2,22.9,NaN,NaN,NaN,NaN,NaN
2023-07-01 23:30,792.9,25.7,25.3,5888,2040,NaN,NaN,0.033,0.069,NaN,NaN,31.8,23.2,NaN,NaN,NaN,NaN,NaN
2023-07-02 00:00,792.9,25.5,25.6,5988,1982,NaN,NaN,0.033,0.069,NaN,NaN,31,23.4,NaN,NaN,NaN,NaN,NaN
2023-07-02 00:30,792.8,25.3,26.3,5912,2003,NaN,NaN,0.032,0.069,NaN,NaN,30.3,23.5,NaN,NaN,NaN,NaN,NaN
2023-07-02 01:00,792.7,24.9,27.1,6141,2016,NaN,NaN,0.032,0.07,NaN,NaN,29,23.6,NaN,NaN,NaN,NaN,NaN
2023-07-02 01:30,792.9,23.3,30.2,6039,1942,NaN,NaN,0.031,0.07,NaN,NaN,27.4,23.5,NaN,NaN,NaN,NaN,NaN
2023-07-02 02:00,793,20.6,37.4,6168,1952,NaN,NaN,0.03,0.069,NaN,NaN,25.7,23.3,NaN,NaN,NaN,NaN,NaN
2023-07-02 02:30,793.3,18.1,48.8,6169,2062,NaN,NaN,0.03,0.069,NaN,NaN,24.2,23.1,NaN,NaN,NaN,NaN,NaN
