datetime_UTC,BaroPress,airT,airRH,N1_cts,N2_cts,N3_cts,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,sT_5,sT_10,sT_20,sT_50,N1_SWC,N1_z,SWE
2023-07-01 00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-07-01 00:30,794.3,15,62,3622,1458,NaN,NaN,0.04,NaN,NaN,NaN,21.4,NaN,NaN,NaN,NaN,NaN,NaN
2023-07-01 01:00,794,15.9,61.5,5925,2276,NaN,NaN,0.041,NaN,NaN,NaN,21.4,NaN,NaN,NaN,NaN,NaN,NaN
2023-07-01 01:30,794.1,15.1,65.8,6092,2321,NaN,NaN,0.04,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN
2023-07-01 02:00,794.4,13.4,74.9,5941,2324,NaN,NaN,0.04,NaN,NaN,NaN,20.4,NaN,NaN,NaN,NaN,NaN,NaN
2023-07-01 02:30,795,13.2,75.9,5910,2332,NaN,NaN,0.04,NaN,NaN,NaN,19.8,NaN,NaN,NaN,NaN,NaN,NaN
2023-07-01 03:00,795.2,13,76.4,6051,2184,NaN,NaN,0.04,NaN,NaN,NaN,19.3,NaN,NaN,NaN,NaN,NaN,NaN
2023-07-01 03:30,795.3,12,84,5841,2263,NaN,NaN,0.04,NaN,NaN,NaN,18.9,NaN,NaN,NaN,NaN,NaN,NaN
2023-07-01 04:00,795.8,11.5,81.9,6003,2289,NaN,NaN,0.04,NaN,NaN,NaN,18.6,NaN,NaN,NaN,NaN,NaN,NaN
2023-07-01 04:30,796.2,10.3,85.7,5903,2315,NaN,NaN,0.04,NaN,NaN,NaN,18.2,NaN,NaN,NaN,NaN,NaN,NaN
2023-07-01 05:00,796.3,9.1,90.5,5954,2220,NaN,NaN,0.039,NaN,NaN,NaN,17.8,NaN,NaN,NaN,NaN,NaN,NaN
2023-07-01 05:30,796.4,8.4,92.4,5875,2227,NaN,NaN,0.039,NaN,NaN,NaN,17.4,NaN,NaN,NaN,NaN,NaN,NaN
