date,year,min_temp,max_temp,GDD,cumulative_GDD
2023-06-29,2023,7.0,20.0,8.5,8.5
2023-06-30,2023,4.0,16.0,5.5,14.0
2023-07-01,2023,4.0,16.0,5.5,19.5
2023-07-02,2023,8.0,19.0,8.5,28.0
2023-07-03,2023,9.0,21.0,10.0,38.0
2023-07-04,2023,9.0,20.0,9.5,47.5
2023-07-05,2023,7.0,21.0,9.0,56.5
2023-07-06,2023,7.0,22.0,9.5,66.0
2023-07-07,2023,8.0,22.0,10.0,76.0
2023-07-08,2023,9.0,21.0,10.0,86.0
2023-07-09,2023,9.0,22.0,10.5,96.5
2023-07-10,2023,12.0,21.0,11.5,108.0
2023-07-11,2023,11.0,23.0,12.0,120.0
2023-07-12,2023,11.0,22.0,11.5,131.5
2023-07-13,2023,11.0,24.0,12.5,144.0
2023-07-14,2023,9.0,22.0,10.5,154.5
2023-08-01,2023,8.0,20.0,9.0,163.5
2023-08-02,2023,7.0,21.0,9.0,172.5
2023-08-03,2023,6.0,19.0,7.5,180.0
2023-08-04,2023,8.0,19.0,8.5,188.5
2023-08-05,2023,9.0,20.0,9.5,198.0
2023-08-06,2023,9.0,22.0,10.5,208.5
2023-08-07,2023,9.0,19.8,9.4,217.9
2023-08-08,2023,8.2,20.6,9.4,227.3
2023-08-09,2023,5.8,19.8,7.800000000000001,235.10000000000002
2023-08-10,2023,7.0,21.8,9.4,244.50000000000003
2023-08-11,2023,8.6,19.4,9.0,253.50000000000003
2023-08-12,2023,10.2,16.2,8.2,261.70000000000005
2023-08-13,2023,9.0,21.4,10.2,271.90000000000003
2023-08-14,2023,9.0,22.2,10.6,282.50000000000006
2023-08-15,2023,9.8,22.6,11.200000000000003,293.70000000000005
2023-08-16,2023,11.0,22.6,11.8,305.50000000000006
2023-08-17,2023,11.8,24.6,13.200000000000003,318.70000000000005
2023-08-18,2023,10.2,18.2,9.2,327.90000000000003
2023-08-19,2023,8.6,23.4,11.0,338.90000000000003
2023-08-20,2023,11.0,25.8,13.399999999999999,352.3
2023-08-21,2023,10.2,25.0,12.600000000000001,364.90000000000003
2023-08-22,2023,11.0,21.8,11.399999999999999,376.3
2023-08-23,2023,8.6,23.4,11.0,387.3
2023-08-24,2023,8.6,21.0,9.8,397.1
2023-08-25,2023,7.8,13.4,5.6,402.70000000000005
2023-08-26,2023,8.2,21.4,9.799999999999999,412.50000000000006
2023-08-27,2023,8.2,16.2,7.199999999999999,419.70000000000005
2023-08-28,2023,7.4,19.4,8.399999999999999,428.1
2023-08-29,2023,9.0,21.0,10.0,438.1
2023-08-30,2023,11.4,21.8,11.600000000000001,449.70000000000005
2023-08-31,2023,11.8,23.8,12.8,462.50000000000006
2023-09-01,2023,7.0,24.2,10.6,473.1000000000001
2023-09-02,2023,7.4,19.8,8.600000000000001,481.7000000000001
2023-09-03,2023,9.4,19.0,9.2,490.9000000000001
2023-09-04,2023,5.0,16.6,5.800000000000001,496.7000000000001
2023-09-05,2023,3.8,19.0,7.0,503.7000000000001
2023-09-06,2023,8.2,21.8,10.0,513.7
2023-09-07,2023,8.6,21.4,10.0,523.7
2023-09-08,2023,9.4,22.2,10.8,534.5
2023-09-09,2023,9.0,21.8,10.4,544.9
2023-09-10,2023,5.0,14.6,4.800000000000001,549.6999999999999
2023-09-11,2023,3.4,12.2,3.5999999999999996,553.3
2023-09-12,2023,5.4,16.2,5.800000000000001,559.0999999999999
2023-09-13,2023,4.2,14.6,4.800000000000001,563.8999999999999
2023-09-14,2023,2.2,11.4,3.1999999999999993,567.0999999999999
2023-09-15,2023,2.6,8.2,1.5999999999999996,568.6999999999999
2023-09-16,2023,2.6,16.2,5.6,574.3
2023-09-17,2023,6.2,17.4,6.799999999999999,581.0999999999999
2023-09-18,2023,3.8,15.8,5.4,586.4999999999999
2023-09-19,2023,3.0,15.0,5.0,591.4999999999999
2023-09-20,2023,3.4,16.6,5.800000000000001,597.2999999999998
2023-09-21,2023,1.0,15.0,5.0,602.2999999999998
2023-09-22,2023,3.0,15.8,5.4,607.6999999999998
2023-09-23,2023,-1.4,13.4,4.199999999999999,611.8999999999999
2023-09-24,2023,2.2,15.8,5.4,617.2999999999998
2023-09-25,2023,4.6,18.6,6.800000000000001,624.0999999999998
2023-09-26,2023,7.4,20.6,9.0,633.0999999999998
2023-09-27,2023,7.8,22.2,10.0,643.0999999999998
2023-09-28,2023,7.0,20.2,8.6,651.6999999999998
2023-09-29,2023,6.6,20.6,8.600000000000001,660.2999999999998
2023-09-30,2023,5.0,20.2,7.6,667.8999999999999
2023-10-01,2023,3.8,17.0,6.0,673.8999999999999
2023-10-02,2023,-0.6,13.4,4.199999999999999,678.0999999999999
2023-10-03,2023,-2.2,2.6,0.0,678.0999999999999
2023-10-04,2023,-2.6,6.6,0.7999999999999998,678.8999999999999
2023-10-05,2023,-0.6,12.2,3.5999999999999996,682.4999999999999
2023-10-06,2023,1.4,14.2,4.6,687.0999999999999
2023-10-07,2023,3.8,15.0,5.0,692.0999999999999
2023-10-08,2023,4.2,15.8,5.4,697.4999999999999
2023-10-09,2023,4.6,15.4,5.199999999999999,702.6999999999999
2023-10-10,2023,3.4,12.6,3.8000000000000007,706.4999999999999
2023-10-11,2023,-1.4,9.0,2.0,708.4999999999999
2023-10-12,2023,-4.6,-1.8,0.0,708.4999999999999
2023-10-13,2023,-6.6,1.4,0.0,708.4999999999999
2023-10-14,2023,-4.6,5.8,0.40000000000000036,708.8999999999999
2023-10-15,2023,-3.0,9.4,2.2,711.0999999999999
2023-10-16,2023,2.6,15.0,5.0,716.0999999999999
2023-10-17,2023,4.6,14.6,4.800000000000001,720.8999999999999
2023-10-18,2023,2.2,12.6,3.8000000000000007,724.6999999999998
2023-10-19,2023,2.6,14.6,4.800000000000001,729.4999999999998
2023-10-20,2023,5.8,17.0,6.4,735.8999999999997
2023-10-21,2023,6.2,16.6,6.4,742.2999999999997
2023-10-22,2023,4.6,14.2,4.6,746.8999999999997
2023-10-23,2023,4.2,15.4,5.199999999999999,752.0999999999998
2023-10-24,2023,1.4,10.6,2.8,754.8999999999997
2023-10-25,2023,1.0,12.2,3.5999999999999996,758.4999999999998
2023-10-26,2023,-4.6,9.8,2.4000000000000004,760.8999999999997
2023-10-27,2023,-3.8,6.2,0.5999999999999996,761.4999999999998
2023-10-28,2023,-5.4,1.0,0.0,761.4999999999998
2023-10-29,2023,-13.4,-5.0,0.0,761.4999999999998
2023-10-30,2023,-14.6,2.2,0.0,761.4999999999998
2023-10-31,2023,-10.6,0.2,0.0,761.4999999999998
2023-11-01,2023,-3.8,5.0,0.0,761.4999999999998
2023-11-02,2023,-3.4,5.4,0.20000000000000018,761.6999999999998
2023-11-03,2023,-1.0,7.8,1.4000000000000004,763.0999999999998
2023-11-04,2023,-1.8,8.6,1.7999999999999998,764.8999999999997
2023-11-05,2023,1.4,9.8,2.4000000000000004,767.2999999999997
2023-11-06,2023,1.8,7.8,1.4000000000000004,768.6999999999997
2023-11-07,2023,1.0,9.0,2.0,770.6999999999997
2023-11-08,2023,-9.0,1.8,0.0,770.6999999999997
2023-11-09,2023,-10.2,-3.0,0.0,770.6999999999997
2023-11-10,2023,-8.6,2.2,0.0,770.6999999999997
2023-11-11,2023,-7.4,2.6,0.0,770.6999999999997
2023-11-12,2023,-5.0,7.0,1.0,771.6999999999997
2023-11-13,2023,-0.6,9.0,2.0,773.6999999999997
2023-11-14,2023,-1.8,8.2,1.5999999999999996,775.2999999999997
2023-11-15,2023,-1.4,8.2,1.5999999999999996,776.8999999999997
2023-11-16,2023,-2.2,3.8,0.0,776.8999999999997
2023-11-17,2023,-3.0,6.6,0.7999999999999998,777.6999999999997
2023-11-18,2023,-3.8,5.0,0.0,777.6999999999997
2023-11-19,2023,-5.0,-2.2,0.0,777.6999999999997
2023-11-20,2023,-7.8,-2.2,0.0,777.6999999999997
2023-11-21,2023,-9.8,1.0,0.0,777.6999999999997
2023-11-22,2023,-5.0,6.6,0.7999999999999998,778.4999999999997
2023-11-23,2023,-3.8,3.0,0.0,778.4999999999997
2023-11-24,2023,-7.0,-0.2,0.0,778.4999999999997
2023-11-25,2023,-15.8,-7.0,0.0,778.4999999999997
2023-11-26,2023,-15.8,-0.6,0.0,778.4999999999997
2023-11-27,2023,-13.8,-4.6,0.0,778.4999999999997
2023-11-28,2023,-9.8,1.8,0.0,778.4999999999997
2024-04-01,2024,-9.4,-2.2,0.0,0.0
2024-04-02,2024,-10.2,2.6,0.0,0.0
2024-04-03,2024,-6.6,6.6,0.7999999999999998,0.7999999999999998
2024-04-04,2024,-1.4,9.0,2.0,2.8
2024-04-05,2024,-2.2,7.4,1.2000000000000002,4.0
2024-04-06,2024,-11.8,-2.6,0.0,4.0
2024-04-07,2024,-13.8,-3.4,0.0,4.0
2024-04-08,2024,-11.4,0.2,0.0,4.0
2024-04-09,2024,-8.6,2.6,0.0,4.0
2024-04-10,2024,-7.0,3.0,0.0,4.0
