date,year,min_temp,max_temp,GDD,cumulative_GDD
2023-06-22,2023,0.0,0.0,0.0,0.0
2023-06-23,2023,0.0,0.0,0.0,0.0
2023-06-28,2023,0.0,0.0,0.0,0.0
2023-06-30,2023,0.0,16.0,5.5,5.5
2023-07-01,2023,3.0,25.0,10.0,15.5
2023-07-02,2023,5.0,27.0,11.0,26.5
2023-07-03,2023,5.0,29.0,12.0,38.5
2023-07-04,2023,11.0,29.0,15.0,53.5
2023-07-05,2023,7.0,27.0,12.0,65.5
2023-07-06,2023,6.0,29.0,12.5,78.0
2023-07-07,2023,5.0,29.0,12.0,90.0
2023-07-08,2023,5.0,29.0,12.0,102.0
2023-07-09,2023,4.0,30.0,12.5,114.5
2023-07-10,2023,6.0,30.0,13.0,127.5
2023-07-11,2023,7.0,29.0,13.0,140.5
2023-07-12,2023,9.0,30.0,14.5,155.0
2023-07-13,2023,7.0,30.0,13.5,168.5
2023-07-14,2023,8.0,28.0,13.0,181.5
2023-07-15,2023,5.0,28.0,11.5,193.0
2023-07-16,2023,5.0,30.0,12.5,205.5
2023-07-17,2023,6.0,34.0,15.0,220.5
2023-07-18,2023,8.0,32.0,15.0,235.5
2023-07-19,2023,12.0,29.0,15.5,251.0
2023-07-20,2023,11.0,28.0,14.5,265.5
2023-07-21,2023,8.0,29.0,13.5,279.0
2023-07-22,2023,6.0,30.0,13.0,292.0
2023-07-23,2023,7.0,33.0,15.0,307.0
2023-07-24,2023,8.0,32.0,15.0,322.0
2023-07-25,2023,10.0,30.0,15.0,337.0
2023-07-26,2023,9.0,30.0,14.5,351.5
2023-07-27,2023,9.0,28.0,13.5,365.0
2023-07-28,2023,11.0,31.0,16.0,381.0
2023-07-29,2023,7.0,31.0,14.0,395.0
2023-07-30,2023,11.0,30.0,15.5,410.5
2023-07-31,2023,12.0,26.0,14.0,424.5
2023-08-01,2023,11.0,27.0,14.0,438.5
2023-08-02,2023,11.0,27.0,14.0,452.5
2023-08-03,2023,10.0,24.0,12.0,464.5
2023-08-04,2023,7.0,27.0,12.0,476.5
2023-08-05,2023,7.0,26.0,11.5,488.0
2023-08-06,2023,6.2,27.8,12.0,500.0
2023-08-07,2023,7.0,27.8,12.399999999999999,512.4
2023-08-08,2023,5.8,26.2,11.0,523.4
2023-08-09,2023,4.6,25.4,10.2,533.6
2023-08-10,2023,6.6,27.4,12.0,545.6
2023-08-11,2023,7.0,25.8,11.399999999999999,557.0
2023-08-12,2023,9.8,26.6,13.200000000000003,570.2
2023-08-13,2023,7.0,28.2,12.600000000000001,582.8000000000001
2023-08-14,2023,5.4,28.6,12.0,594.8000000000001
2023-08-15,2023,6.6,30.2,13.399999999999999,608.2
2023-08-16,2023,9.8,30.2,15.0,623.2
2023-08-17,2023,8.6,31.0,14.8,638.0
2023-08-18,2023,13.0,25.4,14.2,652.2
2023-08-19,2023,8.6,29.8,14.2,666.4000000000001
2023-08-20,2023,8.2,32.6,15.399999999999999,681.8000000000001
2023-08-21,2023,9.4,31.0,15.2,697.0000000000001
2023-08-22,2023,9.0,27.0,13.0,710.0000000000001
2023-08-23,2023,9.8,27.8,13.8,723.8000000000001
2023-08-24,2023,11.8,28.6,15.200000000000003,739.0000000000001
2023-08-25,2023,13.0,19.8,11.399999999999999,750.4000000000001
2023-08-26,2023,9.8,27.0,13.399999999999999,763.8000000000001
2023-08-27,2023,9.4,27.0,13.2,777.0000000000001
2023-08-28,2023,11.0,27.4,14.2,791.2000000000002
2023-08-29,2023,5.8,28.2,12.0,803.2000000000002
2023-08-30,2023,5.8,29.8,12.8,816.0000000000001
2023-08-31,2023,7.0,30.2,13.600000000000001,829.6000000000001
2023-09-01,2023,8.2,28.6,13.399999999999999,843.0000000000001
2023-09-02,2023,7.8,25.0,11.399999999999999,854.4000000000001
2023-09-03,2023,8.2,27.4,12.799999999999997,867.2
2023-09-04,2023,7.8,23.4,10.6,877.8000000000001
2023-09-05,2023,3.4,24.6,9.8,887.6
2023-09-06,2023,4.2,28.2,11.600000000000001,899.2
2023-09-07,2023,4.2,26.6,10.8,910.0
2023-09-08,2023,2.6,27.0,11.0,921.0
2023-09-09,2023,1.8,27.4,11.2,932.2
2023-09-10,2023,8.2,24.2,11.2,943.4000000000001
