Site ID,CrnsID,Message Date,FI,Jung,DOM,Hour,Min,BV,P1 (mb),P4 (mb),T7 C,H7 %,Rain Tips,E1,N1/Samp,N2/Samp,N3/Samp
270,10280711,2024-10-01 00:00:00 UTC,1.124,146.761,1,0,0,12.9,787.9,786.5,17.0,35.6,0,1801,4741,2126,0
270,10280623,2024-09-30 23:30:00 UTC,1.124,146.761,30,23,30,13.6,787.8,786.4,19.0,28.8,0,1800,4659,2173,0
270,10280545,2024-09-30 23:00:00 UTC,1.124,146.761,30,23,0,12.9,787.7,786.3,19.0,26.0,0,1800,4774,2118,0
270,10280477,2024-09-30 22:30:00 UTC,1.121,147.158,30,22,30,13.0,787.6,786.1,19.4,25.2,0,1801,4902,2181,0
270,10280395,2024-09-30 22:00:00 UTC,1.121,147.158,30,22,0,13.3,787.6,786.1,21.4,17.2,0,1800,4852,2102,0
270,10280325,2024-09-30 21:30:00 UTC,1.121,147.158,30,21,30,13.3,787.7,786.2,25.0,14.0,0,1800,4850,2130,0
270,10280219,2024-09-30 21:00:00 UTC,1.121,147.158,30,21,0,13.3,787.9,786.4,25.4,17.2,0,1801,4802,2105,0
270,10280158,2024-09-30 20:30:00 UTC,1.121,147.158,30,20,30,13.3,787.9,786.5,24.6,16.8,0,1800,4871,2147,0
270,10280069,2024-09-30 20:03:00 UTC,1.121,147.158,30,20,0,13.4,788.1,786.7,24.6,17.6,0,1800,4825,2216,0
270,10280003,2024-09-30 19:30:00 UTC,1.121,147.158,30,19,30,13.3,788.5,787.1,23.8,16.8,0,1801,4884,2159,0
270,10279903,2024-09-30 19:00:00 UTC,1.121,147.158,30,19,0,13.3,788.6,787.2,24.6,18.0,0,1800,4762,2191,0
270,10279836,2024-09-30 18:33:00 UTC,1.121,147.158,30,18,30,13.3,788.7,787.3,23.8,19.6,0,1800,4670,2093,0
270,10279749,2024-09-30 18:00:00 UTC,1.121,147.158,30,18,0,13.3,789.0,787.6,23.4,31.6,0,1801,4816,2137,0
270,10279689,2024-09-30 17:30:00 UTC,1.121,147.158,30,17,30,13.4,788.9,787.6,23.4,18.4,0,1800,4621,2078,0
270,10279570,2024-09-30 17:00:00 UTC,1.121,147.158,30,17,0,13.5,788.8,787.6,23.4,23.2,0,1800,4580,2138,0
270,10279507,2024-09-30 16:30:00 UTC,1.12,147.264,30,16,30,13.7,788.9,787.7,20.6,36.8,0,1801,4683,2056,0
270,10279418,2024-09-30 16:00:00 UTC,1.12,147.264,30,16,0,13.9,789.0,787.9,17.8,43.6,0,1800,4679,2057,0
270,10279347,2024-09-30 15:30:00 UTC,1.12,147.264,30,15,30,13.9,789.2,788.2,16.6,42.8,0,1800,4505,2084,0
270,10279251,2024-09-30 15:00:00 UTC,1.12,147.264,30,15,0,14.1,789.3,788.2,13.0,57.2,0,1800,4503,2094,0
270,10279186,2024-09-30 14:34:00 UTC,1.12,147.264,30,14,30,14.3,789.5,788.2,9.0,71.2,0,1801,4647,2093,0
270,10279097,2024-09-30 14:00:00 UTC,1.12,147.264,30,14,0,12.7,789.4,788.1,6.6,78.4,0,1800,4685,2110,0
270,10279032,2024-09-30 13:30:00 UTC,1.12,147.264,30,13,30,12.6,789.1,787.8,6.6,79.2,0,1800,4614,2111,0
270,10278932,2024-09-30 13:00:00 UTC,1.12,147.264,30,13,0,12.5,788.8,787.4,6.6,78.0,0,1801,4659,2114,0
270,10278862,2024-09-30 12:30:00 UTC,1.12,147.264,30,12,30,12.5,788.7,787.3,7.0,75.2,0,1800,4579,2091,0
