Site ID,CrnsID,Message Date,FI,Jung,DOM,Hour,Min,BV,P1 (mb),P4 (mb),T7 C,H7 %,Rain Tips,E1,N1/Samp,N2/Samp,N3/Samp
272,10280717,2024-10-01 00:00:00 UTC,1.124,146.761,1,0,0,13.2,787.3,785.7,24.2,15.2,0,1802,5637,2160,0
272,10280629,2024-09-30 23:30:00 UTC,1.124,146.761,30,23,30,13.1,787.3,785.6,25.4,15.2,0,1800,5933,2099,0
272,10280551,2024-09-30 23:00:00 UTC,1.124,146.761,30,23,0,13.0,787.3,785.6,25.8,14.8,0,1800,5675,2108,0
272,10280483,2024-09-30 22:30:00 UTC,1.121,147.158,30,22,30,13.0,787.1,785.4,25.8,14.8,0,1801,5819,1998,0
272,10280401,2024-09-30 22:00:00 UTC,1.121,147.158,30,22,0,13.0,787.1,785.4,26.6,14.8,0,1800,5922,2126,0
272,10280331,2024-09-30 21:30:00 UTC,1.121,147.158,30,21,30,13.0,787.1,785.4,26.6,14.4,0,1800,5746,2234,0
272,10280225,2024-09-30 21:00:00 UTC,1.121,147.158,30,21,0,13.0,787.2,785.5,26.6,14.0,0,1800,5692,2063,0
272,10280164,2024-09-30 20:30:00 UTC,1.121,147.158,30,20,30,13.0,787.3,785.7,26.6,14.8,0,1801,5758,2113,0
272,10280074,2024-09-30 20:00:00 UTC,1.121,147.158,30,20,0,13.1,787.6,785.9,25.4,16.0,0,1800,5764,2081,0
272,10280009,2024-09-30 19:30:00 UTC,1.121,147.158,30,19,30,13.1,788.0,786.4,25.8,17.2,0,1800,5673,2104,0
272,10279909,2024-09-30 19:00:00 UTC,1.121,147.158,30,19,0,13.1,788.1,786.5,25.4,17.6,0,1801,5562,1983,0
272,10279842,2024-09-30 18:30:00 UTC,1.121,147.158,30,18,30,13.1,788.2,786.6,25.8,20.8,0,1800,5663,2092,0
272,10279755,2024-09-30 18:00:00 UTC,1.121,147.158,30,18,0,13.1,788.3,786.9,24.6,23.6,0,1800,5659,2067,0
272,10279695,2024-09-30 17:30:00 UTC,1.121,147.158,30,17,30,13.2,788.5,787.1,20.6,32.0,0,1801,5567,2118,0
272,10279577,2024-09-30 17:00:00 UTC,1.121,147.158,30,17,0,13.2,788.4,787.1,19.8,32.8,0,1800,5473,2070,0
272,10279576,2024-09-30 16:30:00 UTC,1.121,147.158,30,16,30,13.2,788.4,787.1,19.8,32.0,0,1800,5569,2106,0
272,10279420,2024-09-30 16:00:00 UTC,1.12,147.264,30,16,0,13.7,788.2,787.0,19.0,32.8,0,1800,5476,1984,0
272,10279353,2024-09-30 15:30:00 UTC,1.12,147.264,30,15,30,13.8,788.3,787.2,16.6,38.4,0,1801,5433,2064,0
272,10279257,2024-09-30 15:00:00 UTC,1.12,147.264,30,15,0,13.9,788.2,787.1,13.8,45.6,0,1800,5546,2085,0
272,10279193,2024-09-30 14:30:00 UTC,1.12,147.264,30,14,30,13.3,788.0,786.8,11.4,48.8,0,1800,5573,2056,0
272,10279102,2024-09-30 14:00:00 UTC,1.12,147.264,30,14,0,12.7,788.0,786.8,10.2,51.6,0,1801,5581,2124,0
272,10279038,2024-09-30 13:30:00 UTC,1.12,147.264,30,13,30,12.6,787.7,786.5,9.8,52.4,0,1800,5541,2048,0
272,10278938,2024-09-30 13:00:00 UTC,1.12,147.264,30,13,0,12.6,787.5,786.2,9.8,51.6,0,1800,5718,2075,0
272,10278868,2024-09-30 12:30:00 UTC,1.12,147.264,30,12,30,12.6,787.2,785.9,9.8,52.0,0,1800,5532,2094,0
272,10278786,2024-09-30 12:00:00 UTC,1.12,147.264,30,12,0,12.6,787.2,785.9,7.4,60.0,0,1801,5611,2027,0
272,10278715,2024-09-30 11:30:00 UTC,1.12,147.264,30,11,30,12.6,787.0,785.7,9.8,51.6,0,1800,5571,2017,0
272,10278623,2024-09-30 11:00:00 UTC,1.12,147.264,30,11,0,12.6,786.7,785.5,10.6,49.6,0,1800,5625,2156,0
272,10278551,2024-09-30 10:34:00 UTC,1.13,146.069,30,10,30,12.6,786.7,785.5,10.6,48.4,0,1801,5706,2109,0
272,10278463,2024-09-30 10:00:00 UTC,1.13,146.069,30,10,0,12.6,786.8,785.6,11.0,47.2,0,1800,5566,2074,0
272,10278392,2024-09-30 09:30:00 UTC,1.13,146.069,30,9,30,12.6,786.9,785.6,11.0,48.8,0,1800,5528,2118,0
272,10278299,2024-09-30 09:00:00 UTC,1.13,146.069,30,9,0,12.6,786.7,785.4,11.8,44.0,0,1801,5644,2063,0
272,10278232,2024-09-30 08:30:00 UTC,1.13,146.069,30,8,30,12.6,786.9,785.6,11.4,47.6,0,1800,5499,2051,0
272,10278183,2024-09-30 08:00:00 UTC,1.13,146.069,30,8,0,12.6,786.8,785.5,11.0,47.6,0,1800,5552,2073,0
272,10278072,2024-09-30 07:30:00 UTC,1.13,146.069,30,7,30,12.6,786.6,785.3,11.4,47.6,0,1800,5787,2096,0
