Site ID,CrnsID,Message Date,FI,Jung,DOM,Hour,Min,BV,P1 (mb),P4 (mb),T7 C,H7 %,Rain Tips,E1,N1/Samp,N2/Samp,N3/Samp
278,10280721,2024-10-01 00:00:00 UTC,1.124,146.761,1,0,0,13.0,700.4,701.6,14.2,26.4,0,1802,9354,3996,8872
278,10280633,2024-09-30 23:30:00 UTC,1.124,146.761,30,23,30,13.2,700.4,701.5,15.4,24.4,0,1800,9443,3930,9073
278,10280555,2024-09-30 23:00:00 UTC,1.124,146.761,30,23,0,13.2,700.4,701.5,16.2,23.6,0,1800,9376,4141,8940
278,10280487,2024-09-30 22:30:00 UTC,1.121,147.158,30,22,30,13.2,700.3,701.3,16.6,22.8,0,1801,9552,4101,9184
278,10280405,2024-09-30 22:03:00 UTC,1.121,147.158,30,22,0,13.1,700.3,701.2,17.8,22.0,0,1800,9453,4114,9064
278,10280335,2024-09-30 21:30:00 UTC,1.121,147.158,30,21,30,13.1,700.4,701.3,19.4,20.8,0,1800,9327,3998,8898
278,10280229,2024-09-30 21:00:00 UTC,1.121,147.158,30,21,0,13.1,700.4,701.4,20.2,20.8,0,1801,9360,3931,8943
278,10280168,2024-09-30 20:31:00 UTC,1.121,147.158,30,20,30,13.2,700.3,701.3,19.4,22.4,0,1800,9470,3972,8886
278,10280078,2024-09-30 20:00:00 UTC,1.121,147.158,30,20,0,13.2,700.3,701.4,20.6,19.6,0,1800,9478,4005,9193
278,10280013,2024-09-30 19:30:00 UTC,1.121,147.158,30,19,30,13.3,700.5,701.6,19.0,19.2,0,1801,9201,4077,8872
278,10279913,2024-09-30 19:03:00 UTC,1.121,147.158,30,19,0,13.3,700.8,701.9,17.4,20.4,0,1800,9315,4072,8939
278,10279846,2024-09-30 18:30:00 UTC,1.121,147.158,30,18,30,13.3,701.0,702.1,18.6,21.2,0,1800,9243,3903,9014
278,10279759,2024-09-30 18:00:00 UTC,1.121,147.158,30,18,0,13.3,701.0,702.2,17.8,22.4,0,1801,9183,4071,8949
278,10279699,2024-09-30 17:30:00 UTC,1.121,147.158,30,17,30,13.3,701.2,702.4,16.6,28.0,0,1800,9077,3895,8959
278,10279581,2024-09-30 17:00:00 UTC,1.121,147.158,30,17,0,13.3,701.1,702.3,16.6,26.8,0,1800,9076,3881,8889
278,10279488,2024-09-30 16:30:00 UTC,1.12,147.264,30,16,30,13.3,700.9,702.1,15.0,32.0,0,1801,9201,4045,8696
278,10279423,2024-09-30 16:03:00 UTC,1.12,147.264,30,16,0,13.8,700.7,702.0,15.4,34.0,0,1800,9146,4037,8817
278,10279357,2024-09-30 15:30:00 UTC,1.12,147.264,30,15,30,13.9,700.4,701.9,14.6,32.8,0,1800,9121,4050,8802
278,10279261,2024-09-30 15:00:00 UTC,1.12,147.264,30,15,0,14.1,700.1,701.6,13.0,37.6,0,1801,9027,4047,8795
278,10279197,2024-09-30 14:30:00 UTC,1.12,147.264,30,14,30,12.9,699.9,701.3,11.0,41.2,0,1800,9101,3938,8927
278,10279106,2024-09-30 14:00:00 UTC,1.12,147.264,30,14,0,12.8,699.8,701.2,10.6,41.6,0,1800,9120,3931,8883
278,10279042,2024-09-30 13:30:00 UTC,1.12,147.264,30,13,30,12.7,699.6,701.0,9.4,43.2,0,1801,9111,3901,8789
278,10278942,2024-09-30 13:00:00 UTC,1.12,147.264,30,13,0,12.6,699.3,700.7,9.8,42.8,0,1800,9222,3994,8837
278,10278872,2024-09-30 12:30:00 UTC,1.12,147.264,30,12,30,12.6,699.3,700.6,9.4,43.6,0,1800,9129,4000,8834
278,10278790,2024-09-30 12:00:00 UTC,1.12,147.264,30,12,0,12.6,699.1,700.5,9.0,44.8,0,1801,9134,3982,8910
278,10278719,2024-09-30 11:30:00 UTC,1.12,147.264,30,11,30,12.6,699.0,700.4,9.4,46.0,0,1800,9055,3995,8799
278,10278627,2024-09-30 11:00:00 UTC,1.12,147.264,30,11,0,12.6,699.0,700.3,9.8,44.4,0,1800,9029,4007,9004
278,10278554,2024-09-30 10:30:00 UTC,1.13,146.069,30,10,30,12.7,699.1,700.4,9.8,44.4,0,1801,9199,4058,8893
278,10278467,2024-09-30 10:00:00 UTC,1.13,146.069,30,10,0,12.7,699.1,700.4,10.2,42.8,0,1800,9234,4026,8899
278,10278396,2024-09-30 09:30:00 UTC,1.13,146.069,30,9,30,12.7,699.0,700.3,10.2,43.6,0,1800,8964,4136,8775
278,10278303,2024-09-30 09:00:00 UTC,1.13,146.069,30,9,0,12.7,699.0,700.3,10.6,42.8,0,1801,9270,4130,8840
278,10278236,2024-09-30 08:30:00 UTC,1.13,146.069,30,8,30,12.7,699.1,700.4,11.0,42.0,0,1800,9147,4007,8946
278,10278145,2024-09-30 08:00:00 UTC,1.13,146.069,30,8,0,12.7,699.0,700.4,11.4,39.6,0,1800,9109,4091,8716
278,10278076,2024-09-30 07:30:00 UTC,1.13,146.069,30,7,30,12.7,699.0,700.3,11.4,40.0,0,1801,9145,3904,8897
278,10277983,2024-09-30 07:01:00 UTC,1.13,146.069,30,7,0,12.7,699.0,700.3,11.4,38.8,0,1800,9282,4046,8807
278,10277912,2024-09-30 06:30:00 UTC,1.13,146.069,30,6,30,12.7,699.0,700.3,11.4,38.8,0,1800,8985,4022,8870
278,10277829,2024-09-30 06:00:00 UTC,1.13,146.069,30,6,0,12.7,698.9,700.2,11.0,38.4,0,1801,9230,4076,8911
278,10277753,2024-09-30 05:30:00 UTC,1.13,146.069,30,5,30,12.7,699.0,700.3,11.0,38.4,0,1800,9335,4064,8868
278,10277653,2024-09-30 05:01:00 UTC,1.13,146.069,30,5,0,12.7,698.9,700.2,11.8,36.4,0,1800,9355,4027,9088
278,10277584,2024-09-30 04:30:00 UTC,1.124,146.747,30,4,30,12.7,698.9,700.2,11.8,36.0,0,1801,9338,3987,8999
278,10277507,2024-09-30 04:00:00 UTC,1.124,146.747,30,4,0,12.8,699.0,700.3,11.8,36.0,0,1800,9354,4068,8923
278,10277436,2024-09-30 03:30:00 UTC,1.124,146.747,30,3,30,12.8,699.0,700.3,12.2,36.4,0,1800,9343,4023,8929
278,10277342,2024-09-30 03:00:00 UTC,1.124,146.747,30,3,0,12.8,699.0,700.2,11.8,37.6,0,1801,9379,3999,8853
278,10277270,2024-09-30 02:30:00 UTC,1.124,146.747,30,2,30,12.8,699.0,700.3,11.8,36.4,0,1800,9331,4119,8978
278,10277214,2024-09-30 02:00:00 UTC,1.124,146.747,30,2,0,12.8,699.0,700.3,12.2,34.0,0,1800,9448,4052,8988
278,10277141,2024-09-30 01:30:00 UTC,1.124,146.747,30,1,30,12.9,699.0,700.2,11.8,35.6,0,1801,9193,4052,8877
