Site ID,CrnsID,Message Date,FI,Jung,DOM,Hour,Min,BV,P1 (mb),P4 (mb),T7 C,H7 %,Rain Tips,E1,N1/Samp,N2/Samp,N3/Samp
294,10280735,2024-10-01 00:00:00 UTC,1.124,146.761,1,0,0,13.2,789.1,793.0,24.2,16.4,0,1804,5539,2013,0
294,10280646,2024-09-30 23:30:00 UTC,1.124,146.761,30,23,30,13.2,789.1,792.9,25.0,17.2,0,1800,5519,1973,0
294,10280571,2024-09-30 23:00:00 UTC,1.124,146.761,30,23,0,13.2,789.0,792.9,25.8,17.6,0,1800,5629,1934,0
294,10280499,2024-09-30 22:30:00 UTC,1.121,147.158,30,22,30,13.1,788.8,792.7,26.2,16.4,0,1801,5666,2000,0
294,10280419,2024-09-30 22:00:00 UTC,1.121,147.158,30,22,0,13.2,788.9,792.8,26.2,15.2,0,1800,5601,2036,0
294,10280349,2024-09-30 21:30:00 UTC,1.121,147.158,30,21,30,13.2,788.8,792.7,26.2,15.6,0,1800,5499,1963,0
294,10280245,2024-09-30 21:00:00 UTC,1.121,147.158,30,21,0,13.2,789.0,793.0,25.8,16.0,0,1801,5604,1964,0
294,10280180,2024-09-30 20:30:00 UTC,1.121,147.158,30,20,30,13.2,789.1,793.0,26.2,15.2,0,1800,5543,1894,0
294,10280092,2024-09-30 20:00:00 UTC,1.121,147.158,30,20,0,13.2,789.4,793.3,25.8,15.2,0,1800,5648,1978,0
294,10280027,2024-09-30 19:30:00 UTC,1.121,147.158,30,19,30,13.2,789.7,793.7,25.8,16.4,0,1800,5514,1939,0
294,10279927,2024-09-30 19:00:00 UTC,1.121,147.158,30,19,0,13.2,789.9,793.9,25.0,19.6,0,1801,5447,1904,0
294,10279860,2024-09-30 18:30:00 UTC,1.121,147.158,30,18,30,13.2,790.0,794.1,24.2,25.2,0,1800,5271,1975,0
294,10279772,2024-09-30 18:00:00 UTC,1.121,147.158,30,18,0,13.2,790.3,794.4,23.0,26.8,0,1800,5394,1921,0
