Site ID,CrnsID,Message Date,FI,Jung,DOM,Hour,Min,BV,P1 (mb),P4 (mb),T7 C,H7 %,Rain Tips,E1,N1/Samp,N2/Samp,N3/Samp
274,10280713,2024-10-01 00:00:00 UTC,1.124,146.761,1,0,0,12.9,767.9,765.5,16.2,30.0,0,1800,5856,3043,0
274,10280625,2024-09-30 23:30:00 UTC,1.124,146.761,30,23,30,12.9,767.9,765.5,17.0,26.4,0,1801,5835,2979,0
274,10280547,2024-09-30 23:00:00 UTC,1.124,146.761,30,23,0,13.0,767.9,765.4,17.8,24.8,0,1800,5848,2978,0
274,10280479,2024-09-30 22:30:00 UTC,1.121,147.158,30,22,30,13.0,767.8,765.1,19.0,21.6,0,1800,5825,3014,0
274,10280397,2024-09-30 22:00:00 UTC,1.121,147.158,30,22,0,13.2,767.8,765.1,21.0,22.4,0,1801,5859,3067,0
274,10280327,2024-09-30 21:30:00 UTC,1.121,147.158,30,21,30,13.2,768.0,765.1,21.8,19.6,0,1800,5793,2879,0
274,10280221,2024-09-30 21:00:00 UTC,1.121,147.158,30,21,0,13.1,768.3,765.1,23.4,20.0,0,1800,5831,3066,0
274,10280161,2024-09-30 20:34:00 UTC,1.121,147.158,30,20,30,13.0,768.4,765.2,23.8,20.0,0,1801,5731,3055,0
274,10280071,2024-09-30 20:04:00 UTC,1.121,147.158,30,20,0,13.0,768.5,765.3,23.4,20.4,0,1800,5827,2908,0
274,10280005,2024-09-30 19:30:00 UTC,1.121,147.158,30,19,30,13.0,768.7,765.6,23.8,20.4,0,1800,5593,2975,0
274,10279905,2024-09-30 19:00:00 UTC,1.121,147.158,30,19,0,13.0,768.9,765.9,23.8,19.6,0,1801,5726,2961,0
274,10279838,2024-09-30 18:34:00 UTC,1.121,147.158,30,18,30,13.1,769.1,766.1,23.4,20.0,0,1800,5667,2932,0
274,10279751,2024-09-30 18:00:00 UTC,1.121,147.158,30,18,0,13.3,769.2,766.4,23.0,22.8,0,1800,5603,3011,0
274,10279691,2024-09-30 17:30:00 UTC,1.121,147.158,30,17,30,13.6,769.0,766.4,21.8,24.8,0,1801,5647,2951,0
274,10279572,2024-09-30 17:00:00 UTC,1.121,147.158,30,17,0,13.8,768.7,766.4,21.0,26.8,0,1800,5619,2888,0
274,10279509,2024-09-30 16:30:00 UTC,1.12,147.264,30,16,30,13.8,768.7,766.4,19.0,33.2,0,1800,5561,2982,0
274,10279473,2024-09-30 16:04:00 UTC,1.12,147.264,30,16,0,13.9,768.6,766.4,16.6,36.0,0,1801,5685,2879,0
274,10279349,2024-09-30 15:30:00 UTC,1.12,147.264,30,15,30,13.9,768.6,766.4,13.8,47.6,0,1800,5598,2945,0
274,10279253,2024-09-30 15:00:00 UTC,1.12,147.264,30,15,0,13.7,768.5,766.4,10.6,64.8,0,1800,5569,2924,0
274,10279188,2024-09-30 14:34:00 UTC,1.12,147.264,30,14,30,12.9,768.4,766.3,8.6,70.8,0,1801,5646,2896,0
274,10279099,2024-09-30 14:00:00 UTC,1.12,147.264,30,14,0,12.6,768.3,766.2,7.0,67.2,0,1800,5542,2907,0
274,10279034,2024-09-30 13:30:00 UTC,1.12,147.264,30,13,30,12.6,768.2,766.0,6.6,68.0,0,1800,5543,2888,0
274,10278934,2024-09-30 13:00:00 UTC,1.12,147.264,30,13,0,12.6,767.9,765.8,6.6,71.2,0,1801,5663,2981,0
274,10278864,2024-09-30 12:30:00 UTC,1.12,147.264,30,12,30,12.6,767.7,765.6,7.0,68.4,0,1800,5704,2899,0
274,10278782,2024-09-30 12:00:00 UTC,1.12,147.264,30,12,0,12.6,767.5,765.4,7.0,67.2,0,1800,5632,2955,0
274,10278711,2024-09-30 11:30:00 UTC,1.12,147.264,30,11,30,12.6,767.3,765.2,6.6,68.0,0,1801,5717,2965,0
274,10278619,2024-09-30 11:00:00 UTC,1.12,147.264,30,11,0,12.6,767.3,765.2,7.0,64.4,0,1800,5823,2963,0
274,10278547,2024-09-30 10:31:00 UTC,1.13,146.069,30,10,30,12.6,767.3,765.2,7.4,66.0,0,1800,5832,2921,0
274,10278459,2024-09-30 10:00:00 UTC,1.13,146.069,30,10,0,12.6,767.4,765.2,7.4,64.4,0,1801,5669,2960,0
274,10278388,2024-09-30 09:30:00 UTC,1.13,146.069,30,9,30,12.6,767.2,765.0,8.2,61.6,0,1800,5573,2971,0
274,10278295,2024-09-30 09:00:00 UTC,1.13,146.069,30,9,0,12.6,767.3,765.1,8.2,57.6,0,1800,5649,2954,0
274,10278228,2024-09-30 08:30:00 UTC,1.13,146.069,30,8,30,12.6,767.3,765.1,8.6,58.8,0,1801,5576,2963,0
274,10278182,2024-09-30 08:00:00 UTC,1.13,146.069,30,8,0,12.6,767.2,765.0,8.6,64.0,0,1800,5766,2865,0
274,10278068,2024-09-30 07:34:00 UTC,1.13,146.069,30,7,30,12.6,767.2,765.0,7.8,58.0,0,1800,5711,2974,0
274,10277976,2024-09-30 07:00:00 UTC,1.13,146.069,30,7,0,12.7,767.2,765.0,7.8,59.2,0,1801,5657,2978,0
274,10277949,2024-09-30 06:30:00 UTC,1.13,146.069,30,6,30,12.7,767.1,764.9,7.8,61.2,0,1800,5716,3032,0
274,10277821,2024-09-30 06:00:00 UTC,1.13,146.069,30,6,0,12.7,767.1,764.8,8.6,57.6,0,1800,5636,3075,0
274,10277745,2024-09-30 05:30:00 UTC,1.13,146.069,30,5,30,12.7,767.1,764.9,7.8,61.2,0,1801,5831,3043,0
274,10277703,2024-09-30 05:04:00 UTC,1.13,146.069,30,5,0,12.7,767.0,764.7,9.0,56.0,0,1800,5701,2991,0
274,10277634,2024-09-30 04:34:00 UTC,1.124,146.747,30,4,30,12.7,766.9,764.7,8.6,58.8,0,1800,5793,3065,0
274,10277499,2024-09-30 04:00:00 UTC,1.124,146.747,30,4,0,12.7,766.9,764.7,9.8,55.2,0,1801,5794,2970,0
274,10277428,2024-09-30 03:30:00 UTC,1.124,146.747,30,3,30,12.7,766.9,764.7,9.8,56.8,0,1800,5665,2982,0
274,10277395,2024-09-30 03:04:00 UTC,1.124,146.747,30,3,0,12.8,766.9,764.7,11.0,54.8,0,1800,5873,3024,0
274,10277264,2024-09-30 02:30:00 UTC,1.124,146.747,30,2,30,12.8,766.8,764.5,11.8,50.4,0,1801,5782,3013,0
274,10277207,2024-09-30 02:00:00 UTC,1.124,146.747,30,2,0,12.8,766.6,764.2,13.0,48.8,0,1800,5805,2933,0
274,10277133,2024-09-30 01:30:00 UTC,1.124,146.747,30,1,30,12.8,766.5,764.2,15.0,44.4,0,1800,5716,2950,0
274,10277033,2024-09-30 01:00:00 UTC,1.124,146.747,30,1,0,12.8,766.7,764.3,17.0,48.4,0,1801,5745,2991,0
274,10276973,2024-09-30 00:30:00 UTC,1.124,146.747,30,0,30,12.9,766.2,763.8,13.8,44.0,0,1800,5832,2941,0
274,10276883,2024-09-30 00:00:00 UTC,1.124,146.747,30,0,0,12.9,766.1,763.6,15.0,43.2,0,1800,5731,2994,0
274,10276797,2024-09-29 23:30:00 UTC,1.124,146.747,29,23,30,13.1,766.2,763.6,16.6,43.2,0,1801,5699,3011,0
274,10276723,2024-09-29 23:00:00 UTC,1.124,146.747,29,23,0,13.1,766.3,763.6,17.8,36.4,0,1800,5726,2964,0
274,10276690,2024-09-29 22:34:00 UTC,1.117,147.742,29,22,30,13.1,766.4,763.7,19.8,34.4,0,1800,5720,3024,0
274,10276610,2024-09-29 22:04:00 UTC,1.117,147.742,29,22,0,13.2,766.7,763.8,22.6,27.2,0,1801,5700,3052,0
274,10276480,2024-09-29 21:30:00 UTC,1.117,147.742,29,21,30,13.2,767.1,764.2,23.4,20.4,0,1800,5635,3014,0
274,10276417,2024-09-29 21:00:00 UTC,1.117,147.742,29,21,0,13.1,767.5,764.3,23.4,20.8,0,1800,5798,2973,0
274,10276337,2024-09-29 20:30:00 UTC,1.117,147.742,29,20,30,13.0,767.8,764.6,24.6,18.4,0,1801,5690,2999,0
274,10276253,2024-09-29 20:00:00 UTC,1.117,147.742,29,20,0,13.0,768.1,765.0,25.0,20.0,0,1800,5718,2958,0
274,10276187,2024-09-29 19:30:00 UTC,1.117,147.742,29,19,30,13.1,768.3,765.4,24.6,18.4,0,1800,5565,2930,0
274,10276090,2024-09-29 19:04:00 UTC,1.117,147.742,29,19,0,13.2,768.6,765.8,21.8,20.0,0,1801,5660,2937,0
274,10276025,2024-09-29 18:30:00 UTC,1.117,147.742,29,18,30,13.1,769.1,766.0,23.0,19.6,0,1800,5680,3033,0
274,10275942,2024-09-29 18:00:00 UTC,1.117,147.742,29,18,0,13.3,769.3,766.3,24.2,20.8,0,1800,5614,2964,0
274,10275876,2024-09-29 17:30:00 UTC,1.117,147.742,29,17,30,13.6,769.2,766.6,22.6,24.0,0,1801,5660,2937,0
274,10275777,2024-09-29 17:00:00 UTC,1.117,147.742,29,17,0,13.8,769.2,766.9,21.8,24.0,0,1800,5708,2884,0
274,10275694,2024-09-29 16:30:00 UTC,1.111,148.5,29,16,30,13.7,769.1,766.8,20.2,30.8,0,1800,5614,2935,0
274,10275630,2024-09-29 16:00:00 UTC,1.111,148.5,29,16,0,13.9,769.1,766.9,17.4,41.6,0,1801,5502,2983,0
274,10275553,2024-09-29 15:30:00 UTC,1.111,148.5,29,15,30,13.9,769.2,767.0,15.4,57.2,0,1800,5401,2884,0
274,10275447,2024-09-29 15:00:00 UTC,1.111,148.5,29,15,0,13.7,769.2,767.1,12.6,54.8,0,1800,5623,2857,0
274,10275384,2024-09-29 14:30:00 UTC,1.111,148.5,29,14,30,12.8,769.1,767.0,9.8,65.6,0,1801,5508,2974,0
