Site ID,CrnsID,Message Date,FI,Jung,DOM,Hour,Min,BV,P1 (mb),P4 (mb),T7 C,H7 %,Rain Tips,E1,N1/Samp,N2/Samp,N3/Samp
279,10280715,2024-10-01 00:00:00 UTC,1.124,146.761,1,0,0,12.8,783.2,786.8,17.4,38.4,0,1802,5226,2758,5206
279,10280627,2024-09-30 23:30:00 UTC,1.124,146.761,30,23,30,12.9,783.1,786.7,18.6,28.4,0,1801,5121,2728,5200
279,10280549,2024-09-30 23:00:00 UTC,1.124,146.761,30,23,0,12.9,782.9,786.5,19.8,25.6,0,1800,5151,2768,5078
279,10280481,2024-09-30 22:31:00 UTC,1.121,147.158,30,22,30,12.9,782.8,786.2,20.6,22.0,0,1800,5233,2808,5028
279,10280400,2024-09-30 22:06:00 UTC,1.121,147.158,30,22,0,13.0,782.8,786.3,21.4,20.4,0,1801,5167,2804,5160
279,10280329,2024-09-30 21:30:00 UTC,1.121,147.158,30,21,30,13.0,783.0,786.4,23.8,20.4,0,1800,5083,2809,5162
279,10280223,2024-09-30 21:00:00 UTC,1.121,147.158,30,21,0,13.1,783.2,786.5,25.0,14.0,0,1800,5253,2898,5113
279,10280162,2024-09-30 20:33:00 UTC,1.121,147.158,30,20,30,13.1,783.4,786.6,25.4,14.8,0,1800,5362,2835,5136
279,10280072,2024-09-30 20:03:00 UTC,1.121,147.158,30,20,0,13.1,783.6,786.8,27.0,15.2,0,1801,4986,2797,5010
279,10280007,2024-09-30 19:30:00 UTC,1.121,147.158,30,19,30,13.1,783.9,787.3,25.4,16.0,0,1800,5091,2827,5239
279,10279907,2024-09-30 19:03:00 UTC,1.121,147.158,30,19,0,13.1,784.0,787.3,25.0,17.2,0,1800,5072,2708,4984
279,10279840,2024-09-30 18:33:00 UTC,1.121,147.158,30,18,30,13.5,784.2,787.6,24.6,26.0,0,1801,5104,2664,5112
