Site ID,CrnsID,Message Date,FI,Jung,DOM,Hour,Min,BV,P1 (mb),P4 (mb),T7 C,H7 %,Rain Tips,E1,N1/Samp,N2/Samp,N3/Samp
283,10280733,2024-10-01 00:00:00 UTC,1.124,146.761,1,0,0,13.1,794.2,795.4,25.0,15.2,0,1801,5621,1916,0
283,10280645,2024-09-30 23:30:00 UTC,1.124,146.761,30,23,30,13.1,794.1,795.4,25.8,15.6,0,1801,5755,1901,0
283,10280569,2024-09-30 23:00:00 UTC,1.124,146.761,30,23,0,13.0,794.1,795.4,26.2,13.6,0,1800,5645,1984,0
283,10280497,2024-09-30 22:30:00 UTC,1.121,147.158,30,22,30,13.0,794.0,795.3,26.2,13.6,0,1800,5810,1955,0
283,10280417,2024-09-30 22:00:00 UTC,1.121,147.158,30,22,0,13.0,793.9,795.1,27.0,14.4,0,1801,5862,1958,0
283,10280347,2024-09-30 21:30:00 UTC,1.121,147.158,30,21,30,13.0,794.1,795.3,26.6,14.0,0,1800,5764,1942,0
283,10280243,2024-09-30 21:00:00 UTC,1.121,147.158,30,21,0,12.9,794.2,795.5,26.6,12.0,0,1800,5721,1891,0
283,10280178,2024-09-30 20:30:00 UTC,1.121,147.158,30,20,30,13.0,794.2,795.5,26.6,15.2,0,1801,5671,1876,0
283,10280090,2024-09-30 20:00:00 UTC,1.121,147.158,30,20,0,13.0,794.5,795.8,25.8,15.6,0,1800,5658,1953,0
283,10280025,2024-09-30 19:33:00 UTC,1.121,147.158,30,19,30,13.0,794.8,796.3,25.8,15.6,0,1800,5532,1939,0
283,10279925,2024-09-30 19:00:00 UTC,1.121,147.158,30,19,0,13.0,795.0,796.4,25.4,18.0,0,1801,5618,1929,0
283,10279858,2024-09-30 18:30:00 UTC,1.121,147.158,30,18,30,13.0,795.1,796.6,24.6,21.6,0,1800,5482,1926,0
283,10279770,2024-09-30 18:00:00 UTC,1.121,147.158,30,18,0,13.0,795.3,796.8,24.2,22.0,0,1800,5588,1858,0
283,10279711,2024-09-30 17:30:00 UTC,1.121,147.158,30,17,30,13.0,795.5,797.1,23.4,26.4,0,1801,5664,1872,0
283,10279594,2024-09-30 17:03:00 UTC,1.121,147.158,30,17,0,13.0,795.4,797.0,21.8,30.0,0,1800,5341,1999,0
283,10279525,2024-09-30 16:30:00 UTC,1.12,147.264,30,16,30,13.5,795.4,797.0,19.4,33.2,0,1800,5470,1841,0
283,10279433,2024-09-30 16:00:00 UTC,1.12,147.264,30,16,0,13.6,795.3,796.9,17.4,37.6,0,1801,5424,1882,0
283,10279369,2024-09-30 15:30:00 UTC,1.12,147.264,30,15,30,13.7,795.3,796.9,16.2,39.2,0,1800,5524,1881,0
283,10279273,2024-09-30 15:00:00 UTC,1.12,147.264,30,15,0,13.8,795.3,796.8,13.8,46.0,0,1800,5479,1917,0
283,10279207,2024-09-30 14:30:00 UTC,1.12,147.264,30,14,30,12.7,795.2,796.3,11.8,51.2,0,1800,5490,1904,0
283,10279118,2024-09-30 14:00:00 UTC,1.12,147.264,30,14,0,12.5,795.2,796.4,9.8,55.6,0,1801,5553,1909,0
283,10279054,2024-09-30 13:30:00 UTC,1.12,147.264,30,13,30,12.4,794.9,796.0,9.4,56.8,0,1800,5501,1823,0
283,10278954,2024-09-30 13:00:00 UTC,1.12,147.264,30,13,0,12.4,794.7,795.8,9.0,56.8,0,1800,5571,1928,0
283,10278884,2024-09-30 12:30:00 UTC,1.12,147.264,30,12,30,12.4,794.5,795.6,9.0,57.6,0,1801,5588,1827,0
283,10278802,2024-09-30 12:00:00 UTC,1.12,147.264,30,12,0,12.4,794.3,795.4,9.4,55.2,0,1800,5683,1976,0
283,10278731,2024-09-30 11:30:00 UTC,1.12,147.264,30,11,30,12.4,794.1,795.2,9.8,55.2,0,1800,5535,1963,0
283,10278640,2024-09-30 11:03:00 UTC,1.12,147.264,30,11,0,12.4,793.8,795.0,9.8,54.8,0,1801,5559,1971,0
283,10278564,2024-09-30 10:30:00 UTC,1.13,146.069,30,10,30,12.4,794.0,795.1,9.8,55.2,0,1800,5514,1862,0
283,10278479,2024-09-30 10:00:00 UTC,1.13,146.069,30,10,0,12.4,794.1,795.2,8.6,58.8,0,1800,5472,1780,0
283,10278408,2024-09-30 09:30:00 UTC,1.13,146.069,30,9,30,12.4,794.0,795.1,10.6,52.0,0,1801,5683,1893,0
283,10278315,2024-09-30 09:00:00 UTC,1.13,146.069,30,9,0,12.4,794.0,795.1,10.6,51.6,0,1800,5612,1940,0
283,10278248,2024-09-30 08:30:00 UTC,1.13,146.069,30,8,30,12.4,793.9,795.0,11.0,50.4,0,1800,5449,1914,0
283,10278189,2024-09-30 08:00:00 UTC,1.13,146.069,30,8,0,12.4,793.8,795.0,11.4,49.2,0,1801,5626,1847,0
283,10278087,2024-09-30 07:30:00 UTC,1.13,146.069,30,7,30,12.4,793.6,794.7,11.8,48.8,0,1800,5576,1959,0
283,10277993,2024-09-30 07:00:00 UTC,1.13,146.069,30,7,0,12.4,793.5,794.6,11.8,48.4,0,1800,5597,1881,0
283,10277961,2024-09-30 06:30:00 UTC,1.13,146.069,30,6,30,12.5,793.5,794.6,11.8,48.8,0,1801,5567,1922,0
283,10277841,2024-09-30 06:00:00 UTC,1.13,146.069,30,6,0,12.5,793.4,794.3,11.8,49.6,0,1800,5531,1967,0
283,10277765,2024-09-30 05:30:00 UTC,1.13,146.069,30,5,30,12.5,793.4,794.3,9.0,61.6,0,1800,5726,1937,0
283,10277662,2024-09-30 05:00:00 UTC,1.13,146.069,30,5,0,12.5,793.2,794.2,9.4,62.0,0,1801,5729,1889,0
283,10277596,2024-09-30 04:30:00 UTC,1.124,146.747,30,4,30,12.5,793.2,794.1,9.0,61.6,0,1800,5594,1976,0
283,10277559,2024-09-30 04:03:00 UTC,1.124,146.747,30,4,0,12.5,793.0,794.0,9.8,62.0,0,1800,5587,1949,0
283,10277448,2024-09-30 03:30:00 UTC,1.124,146.747,30,3,30,12.6,793.0,794.0,10.6,57.6,0,1800,5651,1970,0
283,10277353,2024-09-30 03:00:00 UTC,1.124,146.747,30,3,0,12.6,792.8,793.8,11.4,53.6,0,1801,5532,1991,0
283,10277312,2024-09-30 02:30:00 UTC,1.124,146.747,30,2,30,12.6,792.6,793.6,12.6,51.2,0,1800,5712,1923,0
283,10277224,2024-09-30 02:00:00 UTC,1.124,146.747,30,2,0,12.6,792.5,793.5,13.0,53.2,0,1800,5712,1997,0
283,10277114,2024-09-30 01:33:00 UTC,1.124,146.747,30,1,30,12.6,792.4,793.4,14.2,51.2,0,1801,5678,1967,0
283,10277054,2024-09-30 01:00:00 UTC,1.124,146.747,30,1,0,12.7,792.1,793.2,17.0,40.8,0,1800,5556,1926,0
283,10276992,2024-09-30 00:30:00 UTC,1.124,146.747,30,0,30,12.8,792.1,793.2,18.6,34.4,0,1800,5683,1931,0
283,10276903,2024-09-30 00:00:00 UTC,1.124,146.747,30,0,0,13.2,792.0,793.1,21.0,31.6,0,1801,5700,2022,0
283,10276803,2024-09-29 23:30:00 UTC,1.124,146.747,29,23,30,13.1,792.0,793.1,24.6,21.2,0,1800,5628,2019,0
283,10276743,2024-09-29 23:03:00 UTC,1.124,146.747,29,23,0,13.0,792.1,793.3,26.2,20.4,0,1800,5612,1882,0
283,10276660,2024-09-29 22:30:00 UTC,1.117,147.742,29,22,30,12.9,792.2,793.4,27.0,16.8,0,1801,5560,1922,0
283,10276573,2024-09-29 22:00:00 UTC,1.117,147.742,29,22,0,13.0,792.4,793.6,27.4,16.4,0,1800,5541,2102,0
283,10276531,2024-09-29 21:30:00 UTC,1.117,147.742,29,21,30,13.0,792.6,793.8,26.6,19.6,0,1800,5660,1947,0
