Site ID,CrnsID,Message Date,FI,Jung,DOM,Hour,Min,BV,P1 (mb),P4 (mb),T7 C,H7 %,Rain Tips,E1,N1/Samp,N2/Samp,N3/Samp
273,10280725,2024-10-01 00:00:00 UTC,1.124,146.761,1,0,0,13.1,788.3,789.7,25.0,14.0,0,1804,6052,1974,0
273,10280637,2024-09-30 23:30:00 UTC,1.124,146.761,30,23,30,13.1,788.2,789.6,25.8,14.4,0,1800,5980,1970,0
273,10280559,2024-09-30 23:00:00 UTC,1.124,146.761,30,23,0,13.0,788.2,789.5,26.6,13.6,0,1801,5996,2002,0
273,10280491,2024-09-30 22:30:00 UTC,1.121,147.158,30,22,30,13.0,788.1,789.4,27.0,14.4,0,1800,5914,1872,0
273,10280409,2024-09-30 22:00:00 UTC,1.121,147.158,30,22,0,13.0,788.0,789.3,26.6,14.4,0,1800,5876,2048,0
273,10280339,2024-09-30 21:30:00 UTC,1.121,147.158,30,21,30,13.0,788.2,789.5,27.0,14.0,0,1800,5928,1987,0
273,10280233,2024-09-30 21:00:00 UTC,1.121,147.158,30,21,0,13.1,788.4,789.7,26.6,13.2,0,1801,5973,1980,0
273,10280172,2024-09-30 20:30:00 UTC,1.121,147.158,30,20,30,13.1,788.4,789.8,26.6,14.0,0,1800,5956,1978,0
273,10280082,2024-09-30 20:00:00 UTC,1.121,147.158,30,20,0,13.1,788.5,790.0,26.6,14.4,0,1800,5837,1971,0
273,10280017,2024-09-30 19:30:00 UTC,1.121,147.158,30,19,30,13.1,788.8,790.4,25.8,16.0,0,1801,5786,1929,0
273,10279917,2024-09-30 19:00:00 UTC,1.121,147.158,30,19,0,13.2,789.0,790.6,25.0,18.0,0,1800,5940,1956,0
273,10279850,2024-09-30 18:30:00 UTC,1.121,147.158,30,18,30,13.2,789.1,790.7,24.6,21.6,0,1800,5704,1858,0
273,10279763,2024-09-30 18:00:00 UTC,1.121,147.158,30,18,0,13.2,789.3,790.9,23.4,24.8,0,1800,5740,1983,0
273,10279703,2024-09-30 17:30:00 UTC,1.121,147.158,30,17,30,13.3,789.4,791.1,21.8,28.0,0,1801,5838,1961,0
273,10279585,2024-09-30 17:00:00 UTC,1.121,147.158,30,17,0,13.7,789.5,791.2,20.2,30.4,0,1800,5725,1904,0
273,10279517,2024-09-30 16:30:00 UTC,1.12,147.264,30,16,30,13.8,789.5,791.3,18.2,36.0,0,1800,5680,1919,0
273,10279425,2024-09-30 16:00:00 UTC,1.12,147.264,30,16,0,13.9,789.4,791.2,16.6,35.2,0,1800,5733,1900,0
273,10279361,2024-09-30 15:30:00 UTC,1.12,147.264,30,15,30,13.9,789.2,791.1,15.0,40.0,0,1801,5736,1922,0
273,10279265,2024-09-30 15:00:00 UTC,1.12,147.264,30,15,0,13.2,789.2,791.0,14.6,40.8,0,1800,5647,1849,0
273,10279200,2024-09-30 14:30:00 UTC,1.12,147.264,30,14,30,12.8,789.1,790.8,12.6,46.0,0,1800,5828,1966,0
273,10279110,2024-09-30 14:00:00 UTC,1.12,147.264,30,14,0,12.6,789.0,790.7,11.0,50.4,0,1800,5811,1961,0
273,10279046,2024-09-30 13:30:00 UTC,1.12,147.264,30,13,30,12.5,788.7,790.3,9.8,52.8,0,1801,5749,1894,0
273,10278946,2024-09-30 13:00:00 UTC,1.12,147.264,30,13,0,12.5,788.5,790.0,8.6,55.6,0,1800,5778,1953,0
273,10278876,2024-09-30 12:30:00 UTC,1.12,147.264,30,12,30,12.5,788.3,789.8,9.8,52.0,0,1800,5742,1939,0
273,10278794,2024-09-30 12:00:00 UTC,1.12,147.264,30,12,0,12.5,788.1,789.6,9.8,52.0,0,1801,5687,1804,0
273,10278723,2024-09-30 11:30:00 UTC,1.12,147.264,30,11,30,12.5,788.0,789.5,10.2,50.4,0,1800,5678,1884,0
273,10278631,2024-09-30 11:00:00 UTC,1.12,147.264,30,11,0,12.5,787.6,789.1,8.6,55.2,0,1800,5805,1988,0
273,10278558,2024-09-30 10:30:00 UTC,1.13,146.069,30,10,30,12.5,787.5,789.1,11.4,46.4,0,1800,5873,1930,0
273,10278471,2024-09-30 10:00:00 UTC,1.13,146.069,30,10,0,12.6,787.5,789.1,12.2,43.6,0,1801,5680,1992,0
273,10278400,2024-09-30 09:30:00 UTC,1.13,146.069,30,9,30,12.6,787.7,789.2,12.2,44.0,0,1800,5793,1926,0
273,10278307,2024-09-30 09:00:00 UTC,1.13,146.069,30,9,0,12.6,787.7,789.4,12.2,44.0,0,1800,5787,1951,0
273,10278240,2024-09-30 08:30:00 UTC,1.13,146.069,30,8,30,12.6,787.6,789.2,13.4,40.4,0,1800,5615,1947,0
273,10278187,2024-09-30 08:00:00 UTC,1.13,146.069,30,8,0,12.6,787.6,789.3,13.8,39.2,0,1801,5833,1882,0
273,10278080,2024-09-30 07:30:00 UTC,1.13,146.069,30,7,30,12.6,787.2,788.9,13.4,41.2,0,1800,5818,1939,0
273,10277987,2024-09-30 07:00:00 UTC,1.13,146.069,30,7,0,12.6,787.4,788.9,14.6,38.0,0,1800,5758,1942,0
273,10277957,2024-09-30 06:30:00 UTC,1.13,146.069,30,6,30,12.6,787.2,788.7,15.0,36.8,0,1800,5864,1949,0
273,10277833,2024-09-30 06:00:00 UTC,1.13,146.069,30,6,0,12.6,787.1,788.7,15.0,37.2,0,1801,5816,1946,0
273,10277757,2024-09-30 05:30:00 UTC,1.13,146.069,30,5,30,12.7,787.0,788.5,15.8,35.2,0,1800,5857,1947,0
273,10277656,2024-09-30 05:00:00 UTC,1.13,146.069,30,5,0,12.7,786.9,788.4,15.4,36.8,0,1800,5716,1949,0
