,Site,Raw_Portable_Mod_cph,Portable_total_h,Raw_Stationary_Mod_cph,Stationary_total_h,Portable_to_Stationary_Raw_Cts
0,C2,13558.31579,2.375,10184.53677,2.500555556,1.331264848
1,C1,13517.5,2,10427.60344,2.000555556,1.296318955
2,C3,12852,1.861111111,9901.286817,1.942777778,1.2980131
3,C4,12852,1.861111111,10437.05041,2.000277778,1.231382383
4,F2,22532.95114,2.131944444,17125.11251,2.160277778,1.315784123
5,F3,13764.56311,2.06,10826.95471,2.263055556,1.271323607
6,F4,15672.71287,2.104166667,11983.09859,2.070833333,1.307901521
7,F1,24607.70803,1.902777778,18640.32213,2.000555556,1.320133196
8,R1,19335.2,2.5,14771.76523,2.498888889,1.308929549
9,R2,15385.04937,1.969444444,11989.89694,1.913611111,1.283167774
10,R4,12711.98368,2.178888889,9535.915758,2.215833333,1.333063757
11,R5,11408.10154,2.057222222,8733.606953,2.301111111,1.306230244
12,R3,15074.34146,0.854166667,11778.97092,1.1175,1.279767271
13,R7,12797.73342,2.156944444,9837.042407,2.299166667,1.300973696
14,R6,15054,2.5,11784.5812,2.500555556,1.277431904
