,Site,N0_Desilets,N0_UTS,GRAV_TDR_offset,TDR_Grav_ratio
0,C2,4296.054224325598,6350.422601577462,0.06054169783537984,0.6423673195117832
1,C1,3907.8171591601176,5670.147843787238,0.027194943218097872,0.7666482682662304
2,C3,4547.606532372419,6804.33001993258,0.093311563465995,0.5648064965358208
3,C4,4087.2380305072734,5805.314179365809,0.003985926558333866,0.9569229290806242
4,F2,5270.965675613889,7932.494223865719,0.13608050393129173,0.5187118510219054
5,F3,4631.689050043522,6997.485039991221,0.0681894214811368,0.7752896252213056
6,F4,4494.619280217012,6422.194951690752,0.008502988169224804,0.8984323035367214
7,F1,4233.316520386062,6338.42320550836,0.10372900881641478,0.49083591318120734
8,R1,4028.54735199058,5998.90782554967,-0.04905316761799,1.164471852982348
9,R2,4322.756415370937,6402.070530671309,0.08291731416901768,0.560865062401129
10,R5,4446.769340591847,6620.646157036151,0.09360873953420476,0.5618685883541522
11,R3,4426.164117215696,6466.099781193495,0.0053701921613751175,0.9580062230305362
12,R7,4630.5766959379625,6971.694547895343,0.10340692154766029,0.588606673898124
13,R6,4841.003273940927,7384.263422954543,0.058855183486144255,0.6767200014035367
14,R4,4861.721216483492,7270.582205144449,-0.06921510514251689,1.2879209782383838
