Site,Raw_Portable_Mod_cph,Raw_Stationary_Mod_cph,Portable_to_Stationary_Raw_Cts,,Raw_Mod_cv,Raw_Mod_sqrt
C2,13558.31579,10184.53677,1.331264848,,0.009794188,102.1072789
C1,13517.5,10427.60344,1.296318955,,0.009905909,100.9585426
C3,12852,9901.286817,1.2980131,,0.010240292,97.73728194
C4,12852,10437.05041,1.231382383,,0.010295402,97.1390151
F2,22532.95114,17125.11251,1.315784123,,0.007340931,136.2299201
F3,13764.56311,10826.95471,1.271323607,,0.007634487,130.984678
F4,15672.71287,11983.09859,1.307901521,,0.009611639,104.0503301
F1,24607.70803,18640.32213,1.320133196,,0.009092906,109.984659
R1,19335.2,14771.76523,1.308929549,,0.008255029,121.1424542
R2,15385.04937,11989.89694,1.283167774,,0.009375208,106.9208456
R4,12711.98368,9535.915758,1.333063757,,0.009314248,107.3702145
R5,11408.10154,8733.606953,1.306230244,,0.010227352,97.78264578
R3,15074.34146,11778.97092,1.279767271,,0.010332222,96.79923056
R7,12797.73342,9837.042407,1.300973696,,0.009163643,109.1278771
R6,15054,11784.5812,1.277431904,,0.010107012,98.94335807
