,start_date,end_date,length_days
0,2023-07-01,2023-07-31,31
1,2023-08-02,2023-08-02,1
2,2023-08-05,2023-08-24,20
3,2023-08-26,2023-09-07,13
4,2023-09-09,2023-09-14,6
5,2023-09-22,2023-10-11,20
6,2023-10-19,2023-10-19,1
7,2023-10-21,2023-10-21,1
8,2023-10-23,2023-10-26,4
9,2024-05-31,2024-06-03,4
10,2024-06-05,2024-06-07,3
11,2024-06-09,2024-06-14,6
12,2024-06-16,2024-06-21,6
13,2024-06-29,2024-07-01,3
14,2024-07-04,2024-07-11,8
15,2024-08-01,2024-08-04,4
16,2024-08-06,2024-08-09,4
17,2024-08-29,2024-09-21,24
18,2024-09-27,2024-09-30,4
