,start_date,end_date,length_days
0,2023-07-08,2023-07-11,4
1,2023-07-13,2023-07-18,6
2,2023-07-24,2023-07-25,2
3,2023-07-29,2023-07-29,1
4,2023-08-20,2023-08-22,3
5,2023-09-05,2023-09-10,6
6,2023-09-12,2023-09-13,2
7,2023-09-23,2023-10-01,9
8,2023-10-05,2023-10-10,6
9,2024-06-18,2024-06-18,1
10,2024-07-11,2024-07-13,3
11,2024-07-22,2024-07-24,3
12,2024-07-29,2024-08-03,6
13,2024-09-01,2024-09-01,1
14,2024-09-03,2024-09-04,2
15,2024-09-07,2024-09-08,2
16,2024-09-10,2024-09-12,3
17,2024-09-15,2024-09-16,2
18,2024-09-18,2024-09-20,3
