,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
0,0,2023-07-01 01:00:00,10456.0,0.0097795126481746,102.25458424931374,2149.6144907214366,0.1957308106197524,2056.5593149132446,0.187835693359375,8.379257451763298e-06,784.2,0.116,0.137,0.137,0.089,0.1260483094808659,0.0,0.0,20.9,19.8,17.6,14.2,784.2,66.6,14.7,2023-07-01,0.187835693359375
1,1,2023-07-01 01:30:00,10400.0,0.0098058067569092,101.9803902718557,2136.651292829859,0.2019605645619894,2048.623163912798,0.191192626953125,7.95729817087292e-06,784.4,0.115,0.136,0.137,0.089,0.1252468906199565,0.0009490048375811,0.000508269604768,20.3,19.6,17.6,14.2,784.4,68.5,13.4,2023-07-01,0.191192626953125
2,2,2023-07-01 02:00:00,10530.0,0.0097450891034114,102.61578825892242,2176.496035336974,0.1833750853481002,2083.222495417566,0.176971435546875,8.291422448081395e-06,785.1,0.114,0.136,0.137,0.089,0.1247810802407914,0.0015005969260447,0.0008036922219078,19.5,19.3,17.6,14.2,785.1,75.0,12.6,2023-07-01,0.176971435546875
3,3,2023-07-01 02:30:00,10368.0,0.0098209275164798,101.82337649086284,2147.642468688572,0.1966667498062428,2052.7157337751405,0.189483642578125,8.563789274240734e-06,785.2,0.114,0.136,0.137,0.089,0.1247810802407914,0.0015005969260447,0.0008036922219078,18.8,19.0,17.5,14.2,785.2,75.1,13.1,2023-07-01,0.189483642578125
4,4,2023-07-01 03:00:00,10426.0,0.0097935724330472,102.1077861869505,2147.291484456777,0.1968337671000058,2054.8785323465854,0.188568115234375,8.328234190316149e-06,785.6,0.113,0.136,0.137,0.089,0.1243152698616264,0.0020521890145083,0.0010991148390477,18.3,18.7,17.5,14.2,785.6,78.2,12.0,2023-07-01,0.188568115234375
5,5,2023-07-01 03:30:00,10458.0,0.0097785774808142,102.26436329435587,2160.849714508157,0.1904768154939043,2071.697775612494,0.181549072265625,7.969124892809542e-06,785.9,0.113,0.135,0.136,0.089,0.1238054484190553,0.0026558970614508,0.0014224498087585,17.8,18.4,17.5,14.3,785.9,81.7,10.6,2023-07-01,0.181549072265625
6,6,2023-07-01 04:00:00,10524.0,0.0097478666691236,102.58654882585728,2178.612179253171,0.1824331967639835,2091.051603025144,0.173919677734375,7.75443394139605e-06,786.3,0.112,0.135,0.136,0.089,0.1233396380398903,0.0032074891499144,0.0017178724258984,17.2,18.0,17.4,14.3,786.3,84.7,9.6,2023-07-01,0.173919677734375
7,7,2023-07-01 04:30:00,10242.0,0.0098811527788125,101.202766760598,2119.2508274548413,0.2106188987107931,2038.0824861261387,0.195770263671875,7.3751550403146334e-06,786.5,0.112,0.134,0.136,0.089,0.1230040295581459,0.003604901899032,0.0019307194135266,16.6,17.7,17.3,14.3,786.5,83.7,9.0,2023-07-01,0.195770263671875
8,8,2023-07-01 05:00:00,10378.0,0.0098161947671729,101.87246929372036,2150.7367111583017,0.1952000489811141,2069.808963885414,0.182342529296875,7.240581197028426e-06,786.8,0.111,0.134,0.136,0.089,0.1225382191789808,0.0041564939874956,0.0022261420306664,16.0,17.3,17.3,14.3,786.8,86.5,8.2,2023-07-01,0.182342529296875
9,9,2023-07-01 05:30:00,10460.0,0.0097776425816792,102.27414140436476,2166.131156257996,0.1880521363569453,2086.16320699956,0.175811767578125,7.098619821601569e-06,786.8,0.111,0.134,0.136,0.089,0.1225382191789808,0.0041564939874956,0.0022261420306664,15.5,17.0,17.2,14.3,786.8,89.3,7.4,2023-07-01,0.175811767578125
