,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,BaroPress,airRH,airT,date,CRNS
0,0,2023-07-01 01:00:00,9812.0,0.0100953465120585,99.05553997631834,2153.551532936823,0.1188557580486741,2039.513060580708,0.120452880859375,1.0354547872073866e-05,791.3,0.068,0.048,0.0586887396996189,0.0,0.0,14.5,13.3,791.3,82.3,14.7,2023-07-01,0.120452880859375
1,1,2023-07-01 01:30:00,9796.0,0.0101035876126244,98.97474425326898,2150.0054941887965,0.1200080689305419,2039.251554854492,0.120513916015625,1.0057606045113623e-05,791.5,0.068,0.048,0.0586887396996189,0.0,0.0,14.3,13.3,791.5,88.2,13.1,2023-07-01,0.120513916015625
2,2,2023-07-01 02:00:00,9746.0,0.0101294717243459,98.72183142547549,2145.2724019703496,0.1215609259897227,2039.5492323147828,0.120452880859375,9.599358741054004e-06,792.2,0.068,0.048,0.0586887396996189,0.0,0.0,13.9,13.2,792.2,90.7,11.9,2023-07-01,0.120452880859375
3,3,2023-07-01 02:30:00,9602.0,0.0102051442810946,97.9897953870708,2114.245705278356,0.1321793720146865,2010.925701929768,0.129547119140625,9.514689645212291e-06,792.3,0.068,0.048,0.0586887396996189,0.0,0.0,13.6,13.2,792.3,89.9,11.9,2023-07-01,0.129547119140625
4,4,2023-07-01 03:00:00,9588.0,0.0102125921275708,97.91833331914918,2098.427996168328,0.1379045669687368,1998.9271212058973,0.133575439453125,9.21798887039443e-06,792.7,0.067,0.048,0.0581543027146379,0.0006550680879549,0.0003788024669156,13.3,13.1,792.7,91.0,11.2,2023-07-01,0.133575439453125
5,5,2023-07-01 03:30:00,9680.0,0.0101639453522717,98.38699100999077,2122.024609252091,0.1294431979732784,2028.4000857991043,0.123931884765625,8.547561615136542e-06,793.0,0.068,0.048,0.0586887396996189,0.0,0.0,13.1,13.0,793.0,91.6,9.9,2023-07-01,0.123931884765625
6,6,2023-07-01 04:00:00,9622.0,0.0101945327109157,98.09179374443104,2111.520317995691,0.1331501931507607,2022.3194758095133,0.125885009765625,8.168182464004377e-06,793.4,0.068,0.048,0.0586887396996189,0.0,0.0,12.8,12.9,793.4,92.7,9.0,2023-07-01,0.125885009765625
7,7,2023-07-01 04:30:00,9594.0,0.0102093981971948,97.94896630388703,2107.8914148897315,0.1344528429636033,2022.5081237364368,0.125823974609375,7.817877415855574e-06,793.8,0.067,0.048,0.0581543027146379,0.0006550680879549,0.0003788024669156,12.5,12.8,793.8,94.0,8.1,2023-07-01,0.125823974609375
8,8,2023-07-01 05:00:00,9630.0,0.010190297341929,98.13256340277675,2116.047531659511,0.1315410333122488,2033.1523467443,0.122406005859375,7.550324595235179e-06,794.0,0.067,0.048,0.0581543027146379,0.0006550680879549,0.0003788024669156,12.2,12.7,794.0,95.6,7.3,2023-07-01,0.122406005859375
9,9,2023-07-01 05:30:00,9612.0,0.010199834356035,98.04080783020916,2109.5641993173226,0.1338509468575504,2030.878464365636,0.123138427734375,7.174940625022614e-06,794.1,0.067,0.047,0.0576887396996189,0.001225716232903,0.0007087878974714,11.9,12.6,794.1,95.7,6.5,2023-07-01,0.123138427734375
10,10,2023-07-01 06:00:00,9260.0,0.0103918891781593,96.22889378975526,2034.3616005760275,0.1635657825754199,1959.075853804405,0.147979736328125,7.116521257017087e-06,794.4,0.067,0.047,0.0576887396996189,0.001225716232903,0.0007087878974714,11.6,12.5,794.4,96.8,6.2,2023-07-01,0.147979736328125
11,11,2023-07-01 06:30:00,9364.0,0.0103340199943639,96.76776322722355,2047.2281571516685,0.1580659582191493,1973.6026659140368,0.142547607421875,6.908356207999211e-06,794.4,0.067,0.047,0.0576887396996189,0.001225716232903,0.0007087878974714,11.4,12.4,794.4,97.1,5.7,2023-07-01,0.142547607421875
12,12,2023-07-01 07:00:00,9408.0,0.010309826235529,96.99484522385713,2054.379931997565,0.155088479819394,1981.3859980724103,0.139739990234375,6.822191730675024e-06,794.3,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,11.2,12.3,794.3,97.8,5.4,2023-07-01,0.139739990234375
13,13,2023-07-01 07:30:00,9580.0,0.0102168553680519,97.87747442593724,2086.6064730117,0.1423309080757537,2014.578596498493,0.128387451171875,6.620985487375568e-06,794.1,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,11.0,12.2,794.1,98.1,4.9,2023-07-01,0.128387451171875
14,14,2023-07-01 08:00:00,9572.0,0.010221123952056,97.83659846908007,2084.062360809059,0.1433006308512866,2012.896276167388,0.128936767578125,6.547234807530888e-06,794.1,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,10.8,12.1,794.1,98.3,4.7,2023-07-01,0.128936767578125
15,15,2023-07-01 08:30:00,9328.0,0.0103539420820322,96.5815717411971,2029.189656896941,0.1658301334259842,1961.585506068679,0.147003173828125,6.382228636828288e-06,794.1,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,10.6,11.9,794.1,98.4,4.3,2023-07-01,0.147003173828125
16,16,2023-07-01 09:00:00,9492.0,0.0102641061599819,97.4268956705488,2055.583016117185,0.1545930348749699,1988.90643002082,0.137054443359375,6.208193486328054e-06,794.0,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,10.4,11.8,794.0,98.3,3.9,2023-07-01,0.137054443359375
17,17,2023-07-01 09:30:00,9420.0,0.0103032573745655,97.05668446840744,2035.9704256115408,0.1628677772320493,1971.552776098565,0.143280029296875,6.050659408601288e-06,794.1,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,10.2,11.7,794.1,98.4,3.5,2023-07-01,0.143280029296875
18,18,2023-07-01 10:00:00,9692.0,0.0101576512375063,98.44795579391176,2095.784261647509,0.1388832549650174,2030.0065863531493,0.123382568359375,6.0004982556830166e-06,794.2,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,10.0,11.6,794.2,98.9,3.3,2023-07-01,0.123382568359375
19,19,2023-07-01 10:30:00,9532.0,0.0102425474170868,97.6319619796714,2064.7411380034982,0.1508717313135886,2001.002756050708,0.132904052734375,5.898744531780348e-06,794.5,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.9,11.5,794.5,99.2,3.0,2023-07-01,0.132904052734375
20,20,2023-07-01 11:00:00,9534.0,0.0102414730427809,97.64220398987317,2057.6548745953155,0.1537434350048484,1995.305058490888,0.134857177734375,5.786715265631398e-06,794.6,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.7,11.4,794.6,99.3,2.7,2023-07-01,0.134857177734375
21,21,2023-07-01 11:30:00,9414.0,0.0103065402350517,97.02576977277738,2033.700419180844,0.1638535128624794,1973.1560087731789,0.142730712890625,5.682230803555395e-06,794.8,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.6,11.4,794.8,99.5,2.4,2023-07-01,0.142730712890625
22,22,2023-07-01 12:00:00,9128.0,0.0104667580302332,95.5405672999695,1971.1778278552893,0.1935677612004171,1912.8213118544948,0.166778564453125,5.6496454506207926e-06,794.9,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.4,11.3,794.9,99.6,2.3,2023-07-01,0.166778564453125
23,23,2023-07-01 12:30:00,9476.0,0.0102727678544854,97.34474818910364,2060.585416940809,0.1525494699935018,1999.34428612574,0.133453369140625,5.672334789779913e-06,795.3,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.3,11.2,795.3,100.0,2.3,2023-07-01,0.133453369140625
24,24,2023-07-01 13:00:00,9136.0,0.0104621743829671,95.58242516278816,1987.454200122538,0.1853229401976169,1927.6075768303883,0.160491943359375,5.74946277980934e-06,795.3,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.2,11.1,795.3,100.0,2.5,2023-07-01,0.160491943359375
25,25,2023-07-01 13:30:00,9200.0,0.0104257207028537,95.9166304662544,2003.4402268452063,0.177588909476058,1941.110957403631,0.154937744140625,5.9463150521979305e-06,795.3,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.1,11.0,795.3,100.0,3.0,2023-07-01,0.154937744140625
26,26,2023-07-01 14:00:00,9372.0,0.0103296084594801,96.80909048224758,2042.859132067776,0.1599125588861115,1978.888619658872,0.140594482421875,5.986386029586761e-06,795.4,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.0,10.9,795.4,100.0,3.1,2023-07-01,0.140594482421875
27,27,2023-07-01 14:30:00,9536.0,0.010240399006488,97.65244492586962,2085.4578612585565,0.1427679535700902,2013.5170590126968,0.128692626953125,6.6164678002791365e-06,795.4,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.0,10.8,795.4,100.0,4.6,2023-07-01,0.128692626953125
28,28,2023-07-01 15:00:00,9558.0,0.0102286068655369,97.76502442080194,2101.399755883451,0.1368120152679157,2012.804262975712,0.128936767578125,8.151101953866679e-06,795.3,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.1,10.8,795.3,94.3,8.7,2023-07-01,0.128936767578125
29,29,2023-07-01 15:30:00,9412.0,0.0103076352194091,97.01546268507924,2069.2692651164352,0.1490638911157867,1982.8569227852256,0.139190673828125,8.07031784946589e-06,795.1,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.3,10.7,795.1,73.0,12.6,2023-07-01,0.139190673828125
30,30,2023-07-01 16:00:00,9448.0,0.0102879787300786,97.20082304178294,2061.9843365511115,0.1519826969732846,1984.4638646241224,0.138641357421875,7.234015799104329e-06,794.7,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,9.8,10.7,794.7,56.8,14.9,2023-07-01,0.138641357421875
31,31,2023-07-01 16:30:00,9760.0,0.0101222041272364,98.79271228182776,2129.2349455339195,0.1269520511320004,2048.455769459949,0.117706298828125,7.302626155461831e-06,794.6,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,10.3,10.7,794.6,50.2,17.1,2023-07-01,0.117706298828125
32,32,2023-07-01 17:00:00,9658.0,0.0101755150149272,98.27512401416747,2104.4012155560467,0.135716590031286,2022.074205473842,0.125946044921875,7.5396553531738435e-06,794.4,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,11.1,10.8,794.4,47.4,18.6,2023-07-01,0.125946044921875
33,33,2023-07-01 17:30:00,9672.0,0.010168147934776,98.34632682515398,2099.983760482594,0.137331604516013,2025.0053546638023,0.124969482421875,6.856717654827195e-06,794.4,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,11.6,11.0,794.4,40.4,19.7,2023-07-01,0.124969482421875
34,34,2023-07-01 18:00:00,9558.0,0.0102286068655369,97.76502442080194,2070.2291348137364,0.1486833451133066,2011.07074561209,0.129547119140625,5.447474825769881e-06,794.3,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,11.9,11.1,794.3,28.9,21.5,2023-07-01,0.129547119140625
35,35,2023-07-01 18:30:00,9736.0,0.0101346724597732,98.67117106835208,2103.7148301365883,0.1359663876306774,2043.5062220403568,0.119232177734375,5.45618218324299e-06,794.1,0.066,0.047,0.0571543027146379,0.0018807843208579,0.0010875903643871,12.4,11.3,794.1,27.8,22.2,2023-07-01,0.119232177734375
36,36,2023-07-01 19:00:00,9750.0,0.0101273936708366,98.74208829065748,2110.184856203673,0.133628244817404,2044.906604823111,0.118804931640625,5.911548743577023e-06,794.0,0.067,0.047,0.0576887396996189,0.001225716232903,0.0007087878974714,13.7,11.4,794.0,29.1,22.8,2023-07-01,0.118804931640625
37,37,2023-07-01 19:30:00,10042.0,0.0099790659193226,100.20977996183804,2162.6115589149035,0.1159539340377266,2101.403577996275,0.102813720703125,5.393924041965956e-06,793.7,0.067,0.047,0.0576887396996189,0.001225716232903,0.0007087878974714,16.2,11.7,793.7,26.1,23.1,2023-07-01,0.102813720703125
38,38,2023-07-01 20:00:00,9726.0,0.0101398812140153,98.62048468751308,2088.7897149751047,0.1415036310745633,2029.1650185278709,0.123687744140625,5.441455156368677e-06,793.3,0.068,0.047,0.0582231766845998,0.0005706481449481,0.0003299854305558,17.4,12.2,793.3,25.3,23.8,2023-07-01,0.123687744140625
39,39,2023-07-01 20:30:00,9736.0,0.0101346724597732,98.67117106835208,2092.3993152844573,0.1401456914952032,2028.1991311703923,0.123992919921875,5.861812482497972e-06,793.1,0.068,0.047,0.0582231766845998,0.0005706481449481,0.0003299854305558,18.0,12.8,793.1,27.1,23.9,2023-07-01,0.123992919921875
40,40,2023-07-01 21:00:00,9746.0,0.0101294717243459,98.72183142547549,2105.150186571469,0.135444492656969,2040.30527009156,0.120208740234375,5.885549600188582e-06,793.0,0.069,0.047,0.0587576136695808,8.441994300676005e-05,4.881703635979848e-05,18.8,13.2,793.0,26.3,24.5,2023-07-01,0.120208740234375
41,41,2023-07-01 21:30:00,9848.0,0.0100768775223844,99.23708984044222,2136.6212812818235,0.1244438449794356,2062.444930735332,0.113616943359375,6.660231750971306e-06,792.8,0.069,0.047,0.0587576136695808,8.441994300676005e-05,4.881703635979848e-05,18.9,13.7,792.8,31.5,23.5,2023-07-01,0.113616943359375
42,42,2023-07-01 22:00:00,9328.0,0.0103539420820322,96.5815717411971,2019.5901119461887,0.1701174810528115,1950.607026839303,0.151214599609375,6.549061504645404e-06,792.6,0.069,0.048,0.0592231766845998,0.0006550680879549,0.0003788024669156,18.3,14.0,792.6,29.1,24.6,2023-07-01,0.151214599609375
43,43,2023-07-01 22:30:00,9924.0,0.0100382179809853,99.61927524329818,2140.976606150016,0.1229851815276751,2070.562722748112,0.111297607421875,6.297615568043809e-06,792.3,0.068,0.048,0.0586887396996189,0.0,0.0,17.7,14.1,792.3,26.6,25.5,2023-07-01,0.111297607421875
44,44,2023-07-01 23:00:00,9766.0,0.0101190942277947,98.8230742286436,2108.994841896292,0.1340555368912661,2038.367058065543,0.120819091796875,6.416518151705667e-06,792.1,0.068,0.048,0.0586887396996189,0.0,0.0,17.5,14.1,792.1,26.8,25.7,2023-07-01,0.120819091796875
45,45,2023-07-01 23:30:00,9842.0,0.0100799486488404,99.20685460188726,2126.220885250652,0.1279882032780873,2052.6858835219778,0.116485595703125,6.634036421272822e-06,792.0,0.068,0.048,0.0586887396996189,0.0,0.0,17.2,14.1,792.0,27.4,25.9,2023-07-01,0.116485595703125
46,46,2023-07-02 00:00:00,9592.0,0.0102104625076691,97.93875637356236,2070.124843164617,0.1487246470866803,1985.88971773328,0.138153076171875,7.854966548648282e-06,791.9,0.068,0.048,0.0586887396996189,0.0,0.0,16.9,14.1,791.9,35.5,24.3,2023-07-02,0.138153076171875
47,47,2023-07-02 00:30:00,9788.0,0.0101077157384811,98.93432164825307,2116.624594085752,0.1313371804974766,2023.02994589198,0.125640869140625,8.567516409384679e-06,791.8,0.068,0.048,0.0586887396996189,0.0,0.0,16.6,14.1,791.8,49.6,20.0,2023-07-02,0.125640869140625
48,48,2023-07-02 01:00:00,10246.0,0.0098792238080223,101.22252713699652,2227.7876871105227,0.0967227546234076,2119.284391299092,0.098175048828125,9.48112627570757e-06,791.9,0.068,0.048,0.0586887396996189,0.0,0.0,16.4,14.1,791.9,61.4,18.1,2023-07-02,0.098175048828125
49,49,2023-07-02 01:30:00,9906.0,0.0100473339671057,99.52889027814987,2156.445827484608,0.1179221881874418,2052.0421919456944,0.116668701171875,9.421836771761658e-06,792.1,0.068,0.048,0.0586887396996189,0.0,0.0,15.9,14.1,792.1,69.2,16.0,2023-07-02,0.116668701171875
50,50,2023-07-02 02:00:00,9858.0,0.0100717652103906,99.2874614440313,2140.0240087789025,0.123302950737422,2045.5701731188124,0.118621826171875,8.5508926938919e-06,792.2,0.067,0.048,0.0581543027146379,0.0006550680879549,0.0003788024669156,15.4,14.1,792.2,68.8,14.5,2023-07-02,0.118621826171875
51,51,2023-07-02 02:30:00,9876.0,0.0100625826235762,99.37806599043876,2141.2648502875973,0.1228891678731547,2052.389217554407,0.116546630859375,8.019166328381846e-06,792.4,0.067,0.048,0.0581543027146379,0.0006550680879549,0.0003788024669156,15.0,14.0,792.4,71.2,12.9,2023-07-02,0.116546630859375
52,52,2023-07-02 03:00:00,9602.0,0.0102051442810946,97.9897953870708,2079.5102621479864,0.1450512248580568,1995.777476882739,0.134674072265625,7.769438990581045e-06,792.8,0.067,0.048,0.0581543027146379,0.0006550680879549,0.0003788024669156,14.5,13.9,792.8,74.8,11.6,2023-07-02,0.134674072265625
53,53,2023-07-02 03:30:00,9730.0,0.0101377967487421,98.64076236526157,2104.410353171856,0.1357132673839543,2021.1799087122613,0.126251220703125,7.625766120006238e-06,793.1,0.067,0.048,0.0581543027146379,0.0006550680879549,0.0003788024669156,14.1,13.7,793.1,77.2,10.8,2023-07-02,0.126251220703125
54,54,2023-07-02 04:00:00,9832.0,0.0100850734387636,99.15644204992432,2131.761822596187,0.126089064682957,2050.06054871226,0.117279052734375,7.38020423034067e-06,793.6,0.067,0.048,0.0581543027146379,0.0006550680879549,0.0003788024669156,13.6,13.6,793.6,77.6,10.2,2023-07-02,0.117279052734375
55,55,2023-07-02 04:30:00,9802.0,0.0101004948353632,99.0050503762308,2129.896705329636,0.1267255459900294,2046.8809819026308,0.118194580078125,7.510589160793397e-06,793.8,0.066,0.048,0.057619865729657,0.0013101361759098,0.0007576049338312,13.3,13.5,793.8,81.0,9.8,2023-07-02,0.118194580078125
56,56,2023-07-02 05:00:00,9720.0,0.0101430103241697,98.5900603509299,2115.012644870897,0.1319073270779226,2035.551302456054,0.121673583984375,7.2290309718066044e-06,793.8,0.066,0.048,0.057619865729657,0.0013101361759098,0.0007576049338312,12.9,13.3,793.8,81.0,9.2,2023-07-02,0.121673583984375
57,57,2023-07-02 05:30:00,9746.0,0.0101294717243459,98.72183142547549,2119.059437531344,0.1304801554098333,2040.9961927712648,0.120025634765625,7.082892407272459e-06,793.8,0.066,0.048,0.057619865729657,0.0013101361759098,0.0007576049338312,12.7,13.2,793.8,83.0,8.5,2023-07-02,0.120025634765625
