,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS
0,0,2023-07-01 01:00:00,18480.0,0.0073561235792062,135.94116374373144,2359.2674947147643,0.1837162845246107,2274.576314433501,0.179656982421875,6.895153090453188e-06,722.9,0.024,0.069,0.198,0.0789178308314531,0.0,0.0,14.3,14.4,13.4,722.9,80.8,8.5,2023-07-01,0.179656982421875
1,1,2023-07-01 01:30:00,18464.0,0.0073593101176182,135.88230201170424,2360.477901120701,0.1832256453686036,2270.8988994529013,0.180999755859375,7.304906447641556e-06,722.8,0.025,0.069,0.198,0.0793457256492842,0.0004980332511543,0.0002548394477484,13.7,14.2,13.4,722.8,88.4,8.0,2023-07-01,0.180999755859375
2,2,2023-07-01 02:00:00,18350.0,0.0073821347052556,135.46217184144066,2347.9533280998903,0.1883645797665102,2259.860421321512,0.185211181640625,7.218809224383636e-06,723.1,0.025,0.068,0.197,0.0787736204671153,0.0001678486244946,8.588673682407865e-05,13.1,13.9,13.3,723.1,93.2,7.0,2023-07-01,0.185211181640625
3,3,2023-07-01 02:30:00,18314.0,0.0073893867085704,135.32922818075923,2347.818238179107,0.1884207668716735,2258.821078466962,0.185577392578125,7.296264258980028e-06,723.3,0.026,0.068,0.197,0.0792015152849464,0.0003301846266597,0.0001689527109243,12.4,13.5,13.3,723.3,94.2,7.0,2023-07-01,0.185577392578125
4,4,2023-07-01 03:00:00,18376.0,0.0073769104061082,135.55810562264435,2343.9975552591886,0.1900167037238696,2256.2822746942547,0.186553955078125,7.199263433113166e-06,723.7,0.026,0.068,0.197,0.0792015152849464,0.0003301846266597,0.0001689527109243,11.9,13.2,13.2,723.7,95.4,6.6,2023-07-01,0.186553955078125
5,5,2023-07-01 03:30:00,18088.0,0.0074354066468175,134.49163542763543,2312.905869321779,0.2035134204762071,2230.5518201560194,0.196807861328125,6.8372093881434e-06,723.9,0.026,0.068,0.197,0.0792015152849464,0.0003301846266597,0.0001689527109243,11.5,12.9,13.1,723.9,96.1,5.7,2023-07-01,0.196807861328125
6,6,2023-07-01 04:00:00,18384.0,0.007375305159564,135.58761005342637,2353.366014098785,0.1861267369838977,2272.172978976852,0.180511474609375,6.617342686459095e-06,724.2,0.026,0.068,0.197,0.0792015152849464,0.0003301846266597,0.0001689527109243,10.9,12.5,13.0,724.2,97.4,5.0,2023-07-01,0.180511474609375
7,7,2023-07-01 04:30:00,18516.0,0.0073489689752318,136.07350954539243,2369.7876093879254,0.1794938714321188,2290.2088512704545,0.173980712890625,6.434700071399995e-06,724.3,0.027,0.068,0.197,0.0796294101027774,0.0008282178778141,0.0004237921586727,10.4,12.2,12.8,724.3,97.9,4.5,2023-07-01,0.173980712890625
8,8,2023-07-01 05:00:00,18300.0,0.0073922127095457,135.27749258468685,2340.037025885406,0.191685090644562,2263.4922217676235,0.183807373046875,6.262430941532282e-06,724.3,0.027,0.068,0.197,0.0796294101027774,0.0008282178778141,0.0004237921586727,9.8,11.9,12.7,724.3,98.5,4.0,2023-07-01,0.183807373046875
9,9,2023-07-01 05:30:00,18416.0,0.0073688946367017,135.70556362949898,2354.991488461319,0.185459768451678,2279.553347019815,0.177825927734375,6.128405027737104e-06,724.4,0.027,0.068,0.197,0.0796294101027774,0.0008282178778141,0.0004237921586727,9.3,11.5,12.6,724.4,99.0,3.6,2023-07-01,0.177825927734375
10,10,2023-07-01 06:00:00,18346.0,0.0073829394291589,135.44740676735012,2340.7305044477694,0.1913919205952091,2267.049184615401,0.182464599609375,6.0186999692998495e-06,724.3,0.027,0.068,0.197,0.0796294101027774,0.0008282178778141,0.0004237921586727,8.9,11.2,12.4,724.3,99.2,3.3,2023-07-01,0.182464599609375
