,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,BaroPress,airRH,airT,date,CRNS
0,0,2023-07-01 01:00:00,11770.0,0.0092174707596367,108.48963084092416,2579.253816218172,0.0639758571074962,2478.592014325856,0.055938720703125,7.520832116282402e-06,793.1,0.02,0.069,0.0422762156641192,0.0,0.0,22.6,22.1,793.1,51.7,17.1,2023-07-01,0.055938720703125
1,1,2023-07-01 01:30:00,12136.0,0.0090774155266449,110.16351483136329,2667.302986638961,0.04537243621353,2559.5123267142776,0.043365478515625,7.798842424412425e-06,793.3,0.02,0.069,0.0422762156641192,0.0,0.0,21.7,21.8,793.3,59.4,15.4,2023-07-01,0.043365478515625
2,2,2023-07-01 02:00:00,12094.0,0.0090931638739021,109.97272389097216,2660.244231899645,0.0467758447138552,2548.263931651461,0.045013427734375,8.137733450990453e-06,793.3,0.019,0.069,0.0313685485882494,0.0133775540856707,0.0077447887173914,20.7,21.5,793.3,67.1,14.1,2023-07-01,0.045013427734375
3,3,2023-07-01 02:30:00,11700.0,0.0092450032704204,108.16653826391968,2585.969039560797,0.0624681564111595,2476.392773086291,0.056304931640625,8.194136818487393e-06,793.9,0.019,0.069,0.0313685485882494,0.0133775540856707,0.0077447887173914,19.8,21.2,793.9,68.4,13.9,2023-07-01,0.056304931640625
4,4,2023-07-01 03:00:00,11642.0,0.0092680037859432,107.89810007595128,2557.7221682721315,0.0689176492793483,2449.3046023229776,0.060943603515625,8.197154003866752e-06,794.1,0.019,0.068,0.0309139319420429,0.0139351122445852,0.0080675809192242,19.0,20.9,794.1,69.7,13.6,2023-07-01,0.060943603515625
5,5,2023-07-01 03:30:00,11884.0,0.0091731538706911,109.01376059929316,2615.969378330442,0.0559186546873619,2507.307287409338,0.051300048828125,8.02558566749338e-06,794.1,0.018,0.068,0.0309139319420429,0.0139351122445852,0.0080675809192242,18.4,20.5,794.1,71.7,12.8,2023-07-01,0.051300048828125
6,6,2023-07-01 04:00:00,11774.0,0.0092159048935318,108.5080642164443,2600.7169168110563,0.0592110870050488,2493.455588481393,0.053497314453125,7.966137051606752e-06,794.6,0.018,0.068,0.0309139319420429,0.0139351122445852,0.0080675809192242,17.7,20.2,794.6,74.8,12.0,2023-07-01,0.053497314453125
7,7,2023-07-01 04:30:00,11758.0,0.0092221731512832,108.43431191278891,2603.9772953021406,0.0585008826007609,2499.445938720052,0.052520751953125,7.744779883587242e-06,795.1,0.018,0.068,0.0309139319420429,0.0139351122445852,0.0080675809192242,16.8,19.9,795.1,79.4,10.6,2023-07-01,0.052520751953125
8,8,2023-07-01 05:00:00,11512.0,0.0093201866441985,107.29398864801328,2546.658342432489,0.0715226789336733,2448.9933733432667,0.061004638671875,7.385118140275994e-06,795.2,0.018,0.068,0.0309139319420429,0.0139351122445852,0.0080675809192242,16.1,19.6,795.2,81.7,9.4,2023-07-01,0.061004638671875
9,9,2023-07-01 05:30:00,11970.0,0.0091401416184513,109.4074951728628,2650.152107179151,0.0488075983194515,2548.3408536678144,0.045013427734375,7.398514138442782e-06,795.3,0.018,0.067,0.0304593152958364,0.0144926704034996,0.0083903731210569,15.3,19.2,795.3,80.3,9.7,2023-07-01,0.045013427734375
10,10,2023-07-01 06:00:00,11728.0,0.0092339606894139,108.29589096544709,2593.7034200656826,0.0607508458781683,2496.343485828861,0.053009033203125,7.222410519070402e-06,795.4,0.018,0.067,0.0304593152958364,0.0144926704034996,0.0083903731210569,14.7,18.9,795.4,79.9,9.4,2023-07-01,0.053009033203125
11,11,2023-07-01 06:30:00,11608.0,0.0092815669201623,107.74042880924505,2557.6609657608974,0.0689319348606891,2461.4773123003088,0.058807373046875,7.236218505398789e-06,795.4,0.017,0.067,0.0304593152958364,0.0144926704034996,0.0083903731210569,14.2,18.5,795.4,81.6,9.1,2023-07-01,0.058807373046875
