,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
46,46,2023-07-02 00:00:00,18492.0,0.0073537363899241,135.9852933224766,1928.6909592455136,0.1865837868838212,1873.744010717244,0.166717529296875,5.430496791647427e-06,699.2,0.032,0.048,0.128,0.119,0.065517335034489,0.0009365938921813,0.0004542420898395,18.5,17.2,13.8,10.7,699.2,42.9,14.8,2023-07-02,0.166717529296875
47,47,2023-07-02 00:30:00,18322.0,0.0073877733053397,135.35878250043476,1915.0088528324627,0.1941470441931073,1854.766941158576,0.175811767578125,6.014723101690478e-06,699.2,0.032,0.047,0.128,0.117,0.0650412859979636,0.001480949999956,0.0007182513451601,17.4,16.9,13.8,10.6,699.2,49.9,14.0,2023-07-02,0.175811767578125
48,48,2023-07-02 01:00:00,18144.0,0.0074239233864562,134.6996659238619,1892.0464628897803,0.2075304648729434,1836.747701145137,0.184967041015625,5.575350075466943e-06,699.2,0.032,0.047,0.128,0.117,0.0650412859979636,0.001480949999956,0.0007182513451601,16.8,16.6,13.9,10.6,699.2,47.7,13.5,2023-07-02,0.184967041015625
49,49,2023-07-02 01:30:00,17932.0,0.00746767888787,133.9104178172856,1872.9038321614032,0.2194049900209885,1818.0163375731408,0.195037841796875,5.590901819532935e-06,699.4,0.031,0.046,0.128,0.117,0.0643448333647451,0.0022773348586157,0.0011044929441434,16.2,16.2,13.9,10.6,699.4,46.1,14.1,2023-07-02,0.195037841796875
50,50,2023-07-02 02:00:00,18110.0,0.0074308890141479,134.57340004622014,1893.4288114981384,0.206699030003351,1839.1777269073289,0.183685302734375,5.462493917507296e-06,699.5,0.031,0.046,0.128,0.117,0.0643448333647451,0.0022773348586157,0.0011044929441434,15.6,15.9,13.9,10.6,699.5,48.5,12.9,2023-07-02,0.183685302734375
51,51,2023-07-02 02:30:00,18540.0,0.0073442108206538,136.1616686149226,1940.2283685462453,0.1804288176714502,1885.6781208777863,0.161224365234375,5.357169712336083e-06,699.7,0.031,0.047,0.127,0.117,0.0644383107232468,0.0021704446705576,0.0010526518817447,14.8,15.6,13.9,10.6,699.7,51.9,11.5,2023-07-02,0.161224365234375
52,52,2023-07-02 03:00:00,18416.0,0.0073688946367017,135.70556362949898,1920.257965680176,0.1912105669537019,1869.1689259175323,0.168853759765625,5.061572102015507e-06,699.8,0.03,0.046,0.127,0.117,0.0637418580900282,0.0029668295292172,0.001438893480728,13.8,15.2,13.9,10.6,699.8,50.6,11.0,2023-07-02,0.168853759765625
53,53,2023-07-02 03:30:00,18170.0,0.0074186099272447,134.7961423780369,1890.6580484442245,0.2083689884350987,1840.3485736831528,0.183074951171875,5.062393903755389e-06,699.9,0.03,0.046,0.127,0.117,0.0637418580900282,0.0029668295292172,0.001438893480728,12.9,14.8,13.8,10.6,699.9,51.9,10.6,2023-07-02,0.183074951171875
54,54,2023-07-02 04:00:00,18192.0,0.0074141228232574,134.87772240069893,1895.526150866644,0.2054440326233629,1845.3476355575344,0.180511474609375,5.035537733261635e-06,700.1,0.03,0.046,0.127,0.117,0.0637418580900282,0.0029668295292172,0.001438893480728,12.2,14.4,13.8,10.6,700.1,51.3,10.7,2023-07-02,0.180511474609375
55,55,2023-07-02 04:30:00,18264.0,0.0073994944838047,135.1443672522092,1903.1017440601752,0.2009749910215773,1852.651122241799,0.176849365234375,5.042885642083885e-06,700.1,0.03,0.045,0.127,0.117,0.0634238576759873,0.0033304590177285,0.0016152514734157,11.6,14.0,13.6,10.6,700.1,51.7,10.6,2023-07-02,0.176849365234375
56,56,2023-07-02 05:00:00,18174.0,0.0074177934841753,134.8109787814034,1899.1840720404352,0.203273716326032,1848.7689795332035,0.178802490234375,5.049916103869989e-06,700.1,0.03,0.046,0.127,0.117,0.0637418580900282,0.0029668295292172,0.001438893480728,11.0,13.6,13.6,10.6,700.1,52.1,10.5,2023-07-02,0.178802490234375
57,57,2023-07-02 05:30:00,18438.0,0.0073644970862759,135.78659727675628,1923.3625189176123,0.1894943781995599,1872.8084003523256,0.167144775390625,4.998842276991723e-06,699.9,0.03,0.046,0.127,0.117,0.0637418580900282,0.0029668295292172,0.001438893480728,10.6,13.3,13.5,10.6,699.9,51.9,10.4,2023-07-02,0.167144775390625
