,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS
0,0,2023-07-01 01:00:00,12670.0,0.0088840642874539,112.56109452204169,2625.8878691081054,0.0442217606624552,2541.1314797967725,0.058013916015625,6.1766294955749645e-06,787.4,0.051,0.111,0.189,0.10104656123678,0.0,0.0,30.1,25.7,19.6,787.4,40.0,18.1,2023-07-01,0.058013916015625
1,1,2023-07-01 01:30:00,12468.0,0.0089557426064856,111.66019881766287,2589.521314044676,0.0509992872763646,2508.149756965041,0.063323974609375,6.007937454593099e-06,787.8,0.049,0.111,0.189,0.100162998317932,0.0010308711995092,0.0005310480189346,28.1,25.3,19.7,787.8,41.3,17.1,2023-07-01,0.063323974609375
2,2,2023-07-01 02:00:00,12410.0,0.0089766462153963,111.40017953306898,2612.7356026918656,0.0466298836073725,2494.605724113873,0.065582275390625,8.7692829487673e-06,787.7,0.048,0.11,0.189,0.0993752220205246,0.0019499861593268,0.0010045253833393,26.3,24.8,19.8,787.7,69.7,14.7,2023-07-01,0.065582275390625
3,3,2023-07-01 02:30:00,12264.0,0.0090299205478846,110.74294559925704,2575.188311097777,0.0537758820542131,2472.6828900328337,0.069366455078125,7.676878203393379e-06,788.1,0.048,0.11,0.19,0.0995874457231171,0.0017023803599106,0.0008769725238557,24.4,24.3,19.9,788.1,63.3,14.1,2023-07-01,0.069366455078125
4,4,2023-07-01 03:00:00,12666.0,0.008885466997542,112.5433249908674,2631.6958766803923,0.0431733700990445,2536.49402390584,0.058746337890625,6.950528000409254e-06,788.2,0.047,0.108,0.19,0.0984536745877262,0.0030251746797914,0.0015584032431979,22.6,23.7,20.0,788.2,59.1,13.6,2023-07-01,0.058746337890625
5,5,2023-07-01 03:30:00,12456.0,0.0089600555095078,111.60645142642964,2593.37591560322,0.0502629941000967,2505.270302784784,0.063812255859375,6.512612314727085e-06,788.4,0.046,0.108,0.19,0.0980118931283022,0.003540610279546,0.0018239272526652,21.0,23.1,20.0,788.4,53.7,14.1,2023-07-01,0.063812255859375
6,6,2023-07-01 04:00:00,12550.0,0.008926436853549,112.0267825120404,2623.1384624389766,0.0447212362017712,2531.779420705016,0.059478759765625,6.68239141351959e-06,788.8,0.045,0.107,0.19,0.0972241168308948,0.0044597252393637,0.00229740461707,19.7,22.4,20.0,788.8,59.7,12.8,2023-07-01,0.059478759765625
7,7,2023-07-01 04:30:00,12266.0,0.0090291843430366,110.75197515168747,2570.6921296409214,0.0546596921536176,2481.939830850388,0.067779541015625,6.62208272853434e-06,789.2,0.045,0.107,0.19,0.0972241168308948,0.0044597252393637,0.00229740461707,18.6,21.8,20.0,789.2,59.9,12.6,2023-07-01,0.067779541015625
8,8,2023-07-01 05:00:00,12380.0,0.0089875160230701,111.265448365609,2595.2367865461883,0.0499090935023176,2506.891110470373,0.063507080078125,6.526135226248652e-06,789.3,0.044,0.106,0.19,0.0964363405334873,0.0053788401991813,0.0027708819814747,17.7,21.3,19.9,789.3,59.4,12.5,2023-07-01,0.063507080078125
9,9,2023-07-01 05:30:00,12350.0,0.0089984254133169,111.13055385446434,2591.7102018182686,0.0505806380805012,2502.697273209296,0.064239501953125,6.586444091654105e-06,789.4,0.043,0.105,0.19,0.0956485642360799,0.006297955158999,0.0032443593458795,16.9,20.7,19.9,789.4,67.1,10.7,2023-07-01,0.064239501953125
10,10,2023-07-01 06:00:00,12084.0,0.009096925576737,109.92724866929036,2534.6061492768217,0.0619844124334039,2447.8595868857174,0.073822021484375,6.562540721958839e-06,789.6,0.044,0.105,0.189,0.0958781219929113,0.0060301253586606,0.0031063881958958,16.1,20.1,19.8,789.6,72.6,9.4,2023-07-01,0.073822021484375
11,11,2023-07-01 06:30:00,12182.0,0.0090602608704106,110.37209792334292,2548.2629056874134,0.059162946166646,2458.8779122728643,0.071807861328125,6.7318415752286525e-06,789.5,0.043,0.104,0.189,0.0950903456955039,0.0069492403184783,0.0035798655603005,15.5,19.7,19.7,789.5,74.0,9.5,2023-07-01,0.071807861328125
12,12,2023-07-01 07:00:00,12166.0,0.009066216671133,110.29959202100432,2539.2829463519297,0.0610112462959169,2451.958460218593,0.073089599609375,6.595218229904853e-06,789.3,0.043,0.103,0.19,0.0949565745601129,0.0071053138791252,0.0036602660557543,14.9,19.2,19.6,789.3,76.3,8.7,2023-07-01,0.073089599609375
13,13,2023-07-01 07:30:00,12156.0,0.0090699450163459,110.25425161870176,2532.4691649459546,0.0624315235200982,2446.261685217588,0.074127197265625,6.526018125663357e-06,789.1,0.043,0.103,0.19,0.0949565745601129,0.0071053138791252,0.0036602660557543,14.4,18.8,19.5,789.1,80.0,7.8,2023-07-01,0.074127197265625
14,14,2023-07-01 08:00:00,12026.0,0.0091188358980577,109.66312051004202,2509.543306795892,0.067326787287807,2419.629603774519,0.079193115234375,6.881501911996886e-06,789.2,0.042,0.103,0.189,0.0943025693980964,0.007868355278296,0.0040533429247052,13.9,18.4,19.3,789.2,77.6,9.1,2023-07-01,0.079193115234375
15,15,2023-07-01 08:30:00,11956.0,0.0091454914237782,109.34349546269316,2490.825214678773,0.0714622178939444,2405.545613065704,0.081939697265625,6.565046503985662e-06,789.2,0.042,0.103,0.189,0.0943025693980964,0.007868355278296,0.0040533429247052,13.6,18.0,19.2,789.2,81.0,7.7,2023-07-01,0.081939697265625
16,16,2023-07-01 09:00:00,12166.0,0.009066216671133,110.29959202100432,2527.1060857201182,0.0635604191930604,2440.843614779673,0.075164794921875,6.544676422082071e-06,789.2,0.042,0.102,0.189,0.0939565745601129,0.0082720346383591,0.0042612962796427,13.2,17.7,19.0,789.2,81.8,7.5,2023-07-01,0.075164794921875
17,17,2023-07-01 09:30:00,12092.0,0.0090939158411454,109.9636303511302,2509.710496385808,0.0672904217415744,2425.516242391269,0.078033447265625,6.428127853778406e-06,789.3,0.042,0.101,0.188,0.0933983560195369,0.0089233197978383,0.0045968024940637,12.9,17.4,18.9,789.3,78.8,7.8,2023-07-01,0.078033447265625
18,18,2023-07-01 10:00:00,12298.0,0.0090174295008282,110.89634800118532,2555.038421043057,0.0577857476727518,2468.692937575286,0.070098876953125,6.477072989720882e-06,789.4,0.042,0.101,0.188,0.0933983560195369,0.0089233197978383,0.0045968024940637,12.5,17.0,18.8,789.4,79.4,7.8,2023-07-01,0.070098876953125
19,19,2023-07-01 10:30:00,12018.0,0.0091218704525171,109.62663909835054,2492.4365818419446,0.0711011491458025,2414.300491479933,0.080230712890625,5.993307964107548e-06,789.5,0.041,0.101,0.188,0.0929565745601129,0.009438755397593,0.004862326503531,12.1,16.8,18.7,789.5,88.8,4.9,2023-07-01,0.080230712890625
20,20,2023-07-01 11:00:00,12436.0,0.0089672575486977,111.5168148756052,2574.503766447984,0.0539100429758722,2488.2689232111684,0.066680908203125,6.417881630582005e-06,789.6,0.041,0.1,0.188,0.0926105797221295,0.009842434757656,0.0050702798584685,11.7,16.5,18.5,789.6,83.4,6.9,2023-07-01,0.066680908203125
21,21,2023-07-01 11:30:00,12286.0,0.0090218321845476,110.84223021935276,2545.7165979022066,0.0596843542758912,2461.9554365406766,0.071258544921875,6.300408995158858e-06,789.8,0.041,0.1,0.188,0.0926105797221295,0.009842434757656,0.0050702798584685,11.5,16.2,18.4,789.8,87.4,5.9,2023-07-01,0.071258544921875
