,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,BaroPress,airRH,airT,date,CRNS
0,0,2023-07-01 01:00:00,11850.0,0.0091863042434925,108.8577052853862,2627.6451840673376,0.0485394042260455,2514.6275294435195,0.060089111328125,8.322980264730754e-06,794.0,0.041,0.041,0.0,0.0,21.4,794.0,61.5,15.9,2023-07-01,0.060089111328125
1,1,2023-07-01 01:30:00,12184.0,0.0090595172203195,110.38115781237305,2705.9747361182626,0.0363475995821132,2587.448669887284,0.050201416015625,8.48297853391295e-06,794.1,0.04,0.04,0.001414213562373,0.001,21.0,794.1,65.8,15.1,2023-07-01,0.050201416015625
2,2,2023-07-01 02:00:00,11882.0,0.0091739258592361,109.00458705944445,2645.3544522096154,0.0456581670534217,2526.642503122516,0.058380126953125,8.700753766399735e-06,794.4,0.04,0.04,0.001414213562373,0.001,20.4,794.4,74.9,13.4,2023-07-01,0.058380126953125
3,3,2023-07-01 02:30:00,11820.0,0.0091979546023193,108.71982339941506,2643.557773762075,0.0459470007880379,2524.8230669380705,0.058624267578125,8.708692881904572e-06,795.0,0.04,0.04,0.001414213562373,0.001,19.8,795.0,75.9,13.2,2023-07-01,0.058624267578125
4,4,2023-07-01 03:00:00,12102.0,0.0090901578692335,110.00909053346456,2689.6582589510376,0.0387733318266345,2569.520925156205,0.052520751953125,8.65828886180328e-06,795.2,0.04,0.04,0.001414213562373,0.001,19.3,795.2,76.4,13.0,2023-07-01,0.052520751953125
5,5,2023-07-01 03:30:00,11682.0,0.0092521230275561,108.08330120791094,2609.5004320702715,0.0515727435916438,2489.249711526816,0.063873291015625,8.945929309291004e-06,795.3,0.04,0.04,0.001414213562373,0.001,18.9,795.3,84.0,12.0,2023-07-01,0.063873291015625
6,6,2023-07-01 04:00:00,12006.0,0.0091264279698898,109.57189420649804,2685.1518169204705,0.0394534152166524,2567.92472346656,0.052703857421875,8.45379960385983e-06,795.8,0.04,0.04,0.001414213562373,0.001,18.6,795.8,81.9,11.5,2023-07-01,0.052703857421875
7,7,2023-07-01 04:30:00,11806.0,0.0092034066272035,108.65541864076545,2644.9351656552567,0.0457255021092551,2532.753226574663,0.057525634765625,8.202312386812578e-06,796.2,0.04,0.04,0.001414213562373,0.001,18.2,796.2,85.7,10.3,2023-07-01,0.057525634765625
8,8,2023-07-01 05:00:00,11908.0,0.0091639051835429,109.12378292562992,2667.351675188305,0.0421837412753688,2556.556891420548,0.054229736328125,8.02546292571802e-06,796.3,0.039,0.039,0.0028284271247461,0.002,17.8,796.3,90.5,9.1,2023-07-01,0.054229736328125
9,9,2023-07-01 05:30:00,11750.0,0.0092253120802888,108.397416943394,2631.337503334354,0.0479323192888704,2524.5329266255035,0.058685302734375,7.834568172137692e-06,796.4,0.039,0.039,0.0028284271247461,0.002,17.4,796.4,92.4,8.4,2023-07-01,0.058685302734375
10,10,2023-07-01 06:00:00,11474.0,0.009335607349326,107.1167587261676,2568.752788306984,0.058702610420652,2466.6161695844507,0.067352294921875,7.668071297654445e-06,796.6,0.039,0.039,0.0028284271247461,0.002,16.9,796.6,94.0,7.8,2023-07-01,0.067352294921875
11,11,2023-07-01 06:30:00,11870.0,0.0091785618870866,108.9495295997188,2642.627244471016,0.0460968979320264,2540.2061507385947,0.056488037109375,7.466665335092088e-06,796.5,0.039,0.039,0.0028284271247461,0.002,16.6,796.5,96.4,7.0,2023-07-01,0.056488037109375
12,12,2023-07-01 07:00:00,12018.0,0.0091218704525171,109.62663909835054,2668.5158934959136,0.0420029826247068,2568.0138967928888,0.052703857421875,7.247422178740458e-06,796.3,0.039,0.039,0.0028284271247461,0.002,16.3,796.3,97.3,6.4,2023-07-01,0.052703857421875
13,13,2023-07-01 07:30:00,11840.0,0.0091901827761725,108.81176406988357,2627.1682334428087,0.0486180712706597,2529.978743387236,0.057891845703125,7.113914992779138e-06,796.3,0.038,0.038,0.0042426406871192,0.0029999999999999,16.0,796.3,97.4,6.1,2023-07-01,0.057891845703125
14,14,2023-07-01 08:00:00,11678.0,0.0092537074308604,108.06479537758815,2583.253976535648,0.0561130743312959,2491.612875351459,0.063507080078125,6.811079867683858e-06,796.1,0.038,0.038,0.0042426406871192,0.0029999999999999,15.7,796.1,97.0,5.5,2023-07-01,0.063507080078125
15,15,2023-07-01 08:30:00,11612.0,0.0092799681660518,107.75899034419356,2570.506409960768,0.0583863001585702,2479.394650616649,0.065338134765625,6.805107860699927e-06,796.2,0.038,0.038,0.0042426406871192,0.0029999999999999,15.4,796.2,98.2,5.3,2023-07-01,0.065338134765625
16,16,2023-07-01 09:00:00,11766.0,0.0092190374241775,108.47119433287348,2595.569688140161,0.0539595706604225,2507.023858126744,0.061187744140625,6.540574344857916e-06,796.3,0.038,0.038,0.0042426406871192,0.0029999999999999,15.2,796.3,98.2,4.7,2023-07-01,0.061187744140625
17,17,2023-07-01 09:30:00,11704.0,0.0092434233330816,108.18502669038816,2576.1342397927656,0.0573770811230018,2489.076708100352,0.063873291015625,6.477006142783329e-06,796.3,0.038,0.038,0.0042426406871192,0.0029999999999999,14.9,796.3,99.2,4.4,2023-07-01,0.063873291015625
18,18,2023-07-01 10:00:00,11682.0,0.0092521230275561,108.08330120791094,2569.712240157215,0.0585294400505512,2484.397992483621,0.064605712890625,6.359260795640574e-06,796.3,0.038,0.038,0.0042426406871192,0.0029999999999999,14.7,796.3,98.7,4.2,2023-07-01,0.064605712890625
19,19,2023-07-01 10:30:00,11652.0,0.0092640259310083,107.94443014810908,2566.0134421993075,0.0591984841933688,2481.7470716453827,0.064971923828125,6.287862133173023e-06,796.5,0.038,0.038,0.0042426406871192,0.0029999999999999,14.5,796.5,98.9,4.0,2023-07-01,0.064971923828125
20,20,2023-07-01 11:00:00,11536.0,0.0093104865340482,107.4057726567804,2531.5490812695416,0.0656267014136238,2451.372611749307,0.069793701171875,6.05680845271572e-06,796.7,0.038,0.038,0.0042426406871192,0.0029999999999999,14.3,796.7,98.5,3.5,2023-07-01,0.069793701171875
21,21,2023-07-01 11:30:00,11714.0,0.0092394770308341,108.23123393919153,2571.052286927986,0.0582880164566043,2491.0694697603712,0.063568115234375,5.945893114832513e-06,796.8,0.038,0.038,0.0042426406871192,0.0029999999999999,14.1,796.8,98.0,3.3,2023-07-01,0.063568115234375
