,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS,Bare
286,286,2023-07-07 00:00:00,11656.0,0.0092624362225571,107.96295661012624,2293.1898433270394,0.151972199748318,2237.545681729908,0.136932373046875,4.605257650816944e-06,780.3,0.076,0.11,0.127,0.082,0.0964417584510513,0.0350587707899763,0.0187768353410014,23.3,22.2,19.3,15.3,780.3,22.8,22.7,2023-07-07,0.136932373046875,864.9876196415206
287,287,2023-07-07 00:30:00,11218.0,0.0094415279290227,105.9150603077768,2193.784785575837,0.1931476879380078,2147.7836959084625,0.166717529296875,3.966284093226554e-06,780.2,0.075,0.109,0.128,0.082,0.0958145525509685,0.0358014803297326,0.0191746169636869,22.8,21.9,19.4,15.3,780.2,20.8,21.7,2023-07-07,0.166717529296875,864.9876196415206
288,288,2023-07-07 01:00:00,11404.0,0.0093642154150911,106.78951259369995,2226.869002531449,0.1784790666694014,2180.2191673641005,0.155303955078125,3.9623807063251815e-06,780.0,0.075,0.109,0.127,0.082,0.0956403395901419,0.0360077756275575,0.0192851049457695,22.2,21.6,19.4,15.3,780.0,20.9,21.6,2023-07-07,0.155303955078125,864.9876196415206
289,289,2023-07-07 01:30:00,11452.0,0.0093445701862883,107.01401777337396,2235.7101604436325,0.1747319261354943,2187.8029506436724,0.152740478515625,4.055075214109695e-06,779.9,0.074,0.109,0.127,0.082,0.0951745292109768,0.0365593677160211,0.0195805275629093,21.6,21.3,19.4,15.3,779.9,22.8,20.5,2023-07-07,0.152740478515625,864.9876196415206
290,290,2023-07-07 02:00:00,11250.0,0.0094280904158206,106.06601717798212,2218.3620882749187,0.1821515264325402,2161.56444042286,0.161773681640625,4.865958533953707e-06,779.9,0.074,0.108,0.127,0.082,0.0948389207292324,0.0369567804651387,0.0197933745505376,21.0,21.0,19.4,15.3,779.9,31.7,18.0,2023-07-07,0.161773681640625,864.9876196415206
291,291,2023-07-07 02:30:00,11232.0,0.0094356419512049,105.98113039593416,2218.9437315372443,0.1818982995993215,2159.677182925771,0.162445068359375,5.081910790497812e-06,780.0,0.074,0.108,0.127,0.082,0.0948389207292324,0.0369567804651387,0.0197933745505376,20.4,20.7,19.3,15.4,780.0,37.1,16.1,2023-07-07,0.162445068359375,864.9876196415206
292,292,2023-07-07 03:00:00,10924.0,0.0095677353573445,104.51794104363135,2166.788785906082,0.2059320670650712,2105.5182709492738,0.182952880859375,5.38888302002373e-06,780.2,0.073,0.107,0.127,0.082,0.094037501868323,0.0379057853027198,0.0203016441553056,19.8,20.4,19.3,15.4,780.2,41.8,15.1,2023-07-07,0.182952880859375,864.9876196415206
293,293,2023-07-07 03:30:00,11058.0,0.0095095881210803,105.15702544290608,2191.9645130100694,0.1939857903320978,2142.7100905002494,0.168609619140625,4.256847155436139e-06,780.8,0.073,0.107,0.127,0.082,0.094037501868323,0.0379057853027198,0.0203016441553056,19.1,20.0,19.2,15.4,780.8,35.1,14.1,2023-07-07,0.168609619140625,864.9876196415206
294,294,2023-07-07 04:00:00,11222.0,0.0094398450971888,105.93394168065304,2240.266261370489,0.1728279866292774,2185.594838804672,0.153472900390625,4.632302992500392e-06,781.5,0.073,0.107,0.127,0.082,0.094037501868323,0.0379057853027198,0.0203016441553056,18.5,19.7,19.2,15.4,781.5,37.5,14.4,2023-07-07,0.153472900390625,864.9876196415206
295,295,2023-07-07 04:30:00,11084.0,0.0094984281402034,105.28057750601484,2231.88179249493,0.1763459142891154,2165.011615918124,0.160552978515625,5.7197688648383775e-06,781.9,0.073,0.106,0.127,0.082,0.0937018933865786,0.0383031980518374,0.0205144911429339,17.9,19.4,19.1,15.5,781.9,51.1,12.8,2023-07-07,0.160552978515625,864.9876196415206
