,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,BaroPress,airRH,airT,date,CRNS,Bare
334,334,2023-07-08 00:00:00,10606.0,0.0097101108677657,102.98543586352392,2179.638941194306,0.1191646224742337,2114.105287418907,0.090850830078125,5.740424510775224e-06,786.0,0.063,0.046,0.055085428744676,0.0044166367296708,0.0025539831956898,18.2,15.3,786.0,22.3,27.0,2023-07-08,0.090850830078125,1038.2972286917475
335,335,2023-07-08 00:30:00,11020.0,0.0095259698526393,104.97618777608568,2278.7494770528665,0.0906367416988453,2199.748320531004,0.071990966796875,6.650689837468938e-06,785.8,0.063,0.046,0.055085428744676,0.0044166367296708,0.0025539831956898,17.9,15.3,785.8,30.4,24.1,2023-07-08,0.071990966796875,1038.2972286917475
336,336,2023-07-08 01:00:00,10476.0,0.0097701730293424,102.35233265539188,2170.727611460709,0.1220483407008307,2092.6807069760525,0.096160888671875,6.906514888745992e-06,785.9,0.063,0.046,0.055085428744676,0.0044166367296708,0.0025539831956898,17.5,15.3,785.9,37.5,21.1,2023-07-08,0.096160888671875,1038.2972286917475
337,337,2023-07-08 01:30:00,10932.0,0.009564233898725,104.55620498086184,2274.869120879866,0.0916444082877147,2183.7710470277025,0.075286865234375,7.725175081558173e-06,785.9,0.063,0.046,0.055085428744676,0.0044166367296708,0.0025539831956898,17.0,15.2,785.9,46.6,19.3,2023-07-08,0.075286865234375,1038.2972286917475
338,338,2023-07-08 02:00:00,10720.0,0.0096583426160781,103.53743284435828,2222.607411216021,0.106042949823906,2134.2803981709167,0.086090087890625,7.663873163821307e-06,786.1,0.062,0.046,0.0545509917596951,0.0050717048176257,0.0029327856626055,16.6,15.1,786.1,53.0,17.0,2023-07-08,0.086090087890625,1038.2972286917475
339,339,2023-07-08 02:30:00,10446.0,0.0097841925128479,102.20567498920988,2172.87522683157,0.1213479763146937,2082.758294367773,0.098724365234375,8.012605625798145e-06,786.3,0.062,0.046,0.0545509917596951,0.0050717048176257,0.0029327856626055,16.2,15.1,786.3,61.4,15.3,2023-07-08,0.098724365234375,1038.2972286917475
340,340,2023-07-08 03:00:00,10324.0,0.0098418332397369,101.6070863670443,2151.771479759445,0.1283835698903227,2066.900012762275,0.102874755859375,7.604111585351735e-06,786.6,0.062,0.046,0.0545509917596951,0.0050717048176257,0.0029327856626055,15.7,14.9,786.6,62.7,14.1,2023-07-08,0.102874755859375,1038.2972286917475
341,341,2023-07-08 03:30:00,10436.0,0.0097888791024316,102.15674231297707,2183.4735138168926,0.1179416780392679,2097.4250646021,0.094940185546875,7.597362247486257e-06,787.0,0.062,0.046,0.0545509917596951,0.0050717048176257,0.0029327856626055,15.3,14.8,787.0,64.6,13.6,2023-07-08,0.094940185546875,1038.2972286917475
342,342,2023-07-08 04:00:00,10172.0,0.0099150937342689,100.85633346498376,2127.673069542864,0.1368569785656523,2050.326648326426,0.107452392578125,6.985916779684253e-06,787.4,0.061,0.046,0.0540165547747141,0.0057267729055806,0.0033115881295211,15.0,14.7,787.4,62.8,12.7,2023-07-08,0.107452392578125,1038.2972286917475
343,343,2023-07-08 04:30:00,10718.0,0.0096592437069619,103.52777405121778,2244.5057900997053,0.0998155447067624,2163.528489176464,0.079559326171875,6.93117587417351e-06,787.6,0.061,0.046,0.0540165547747141,0.0057267729055806,0.0033115881295211,14.7,14.6,787.6,65.9,11.8,2023-07-08,0.079559326171875,1038.2972286917475
