,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS,Bare
0,0,2023-07-01 01:00:00,18480.0,0.0073561235792062,135.94116374373144,2448.5792143561657,0.1808744423630471,2360.6819902641323,0.177154541015625,6.895153090453188e-06,722.9,0.024,0.069,0.198,0.0789178308314531,0.0,0.0,14.3,14.4,13.4,722.9,80.8,8.5,2023-07-01,0.177154541015625,1161.4633607005458
1,1,2023-07-01 01:30:00,18464.0,0.0073593101176182,135.88230201170424,2449.894428560802,0.180366932329547,2356.922112659099,0.178497314453125,7.304906447641556e-06,722.8,0.025,0.069,0.198,0.0793457256492842,0.0004980332511543,0.0002548394477484,13.7,14.2,13.4,722.8,88.4,8.0,2023-07-01,0.178497314453125,1161.4633607005458
2,2,2023-07-01 02:00:00,18350.0,0.0073821347052556,135.46217184144066,2436.691363506068,0.185524483809288,2345.26909264401,0.182647705078125,7.218809224383636e-06,723.1,0.025,0.068,0.197,0.0787736204671153,0.0001678486244946,8.588673682407865e-05,13.1,13.9,13.3,723.1,93.2,7.0,2023-07-01,0.182647705078125,1161.4633607005458
3,3,2023-07-01 02:30:00,18314.0,0.0073893867085704,135.32922818075923,2436.433837943347,0.1856264862287086,2344.07758656177,0.183074951171875,7.296264258980028e-06,723.3,0.026,0.068,0.197,0.0792015152849464,0.0003301846266597,0.0001689527109243,12.4,13.5,13.3,723.3,94.2,7.0,2023-07-01,0.183074951171875,1161.4633607005458
4,4,2023-07-01 03:00:00,18376.0,0.0073769104061082,135.55810562264435,2434.3295392197465,0.1864620169293163,2343.2339243625224,0.183380126953125,7.199263433113166e-06,723.7,0.026,0.068,0.197,0.0792015152849464,0.0003301846266597,0.0001689527109243,11.9,13.2,13.2,723.7,95.4,6.6,2023-07-01,0.183380126953125,1161.4633607005458
5,5,2023-07-01 03:30:00,18088.0,0.0074354066468175,134.49163542763543,2402.001458840109,0.1997735647154731,2316.475044271604,0.193511962890625,6.8372093881434e-06,723.9,0.026,0.068,0.197,0.0792015152849464,0.0003301846266597,0.0001689527109243,11.5,12.9,13.1,723.9,96.1,5.7,2023-07-01,0.193511962890625,1161.4633607005458
6,6,2023-07-01 04:00:00,18384.0,0.007375305159564,135.58761005342637,2443.8436388526843,0.1827131694767341,2359.529052335693,0.177581787109375,6.617342686459095e-06,724.2,0.026,0.068,0.197,0.0792015152849464,0.0003301846266597,0.0001689527109243,10.9,12.5,13.0,724.2,97.4,5.0,2023-07-01,0.177581787109375,1161.4633607005458
7,7,2023-07-01 04:30:00,18516.0,0.0073489689752318,136.07350954539243,2460.837327675339,0.1761966873161731,2378.201070447166,0.171112060546875,6.434700071399995e-06,724.3,0.027,0.068,0.197,0.0796294101027774,0.0008282178778141,0.0004237921586727,10.4,12.2,12.8,724.3,97.9,4.5,2023-07-01,0.171112060546875,1161.4633607005458
8,8,2023-07-01 05:00:00,18300.0,0.0073922127095457,135.27749258468685,2429.9436956413565,0.1882152574305495,2350.4579600984625,0.180816650390625,6.262430941532282e-06,724.3,0.027,0.068,0.197,0.0796294101027774,0.0008282178778141,0.0004237921586727,9.8,11.9,12.7,724.3,98.5,4.0,2023-07-01,0.180816650390625,1161.4633607005458
9,9,2023-07-01 05:30:00,18416.0,0.0073688946367017,135.70556362949898,2445.413843753513,0.1821015078739028,2367.079176162581,0.174896240234375,6.128405027737104e-06,724.4,0.027,0.068,0.197,0.0796294101027774,0.0008282178778141,0.0004237921586727,9.3,11.5,12.6,724.4,99.0,3.6,2023-07-01,0.174896240234375,1161.4633607005458
10,10,2023-07-01 06:00:00,18346.0,0.0073829394291589,135.44740676735012,2430.637735399552,0.187936746333648,2354.126323240701,0.179473876953125,6.0186999692998495e-06,724.3,0.027,0.068,0.197,0.0796294101027774,0.0008282178778141,0.0004237921586727,8.9,11.2,12.4,724.3,99.2,3.3,2023-07-01,0.179473876953125,1161.4633607005458
11,11,2023-07-01 06:30:00,18218.0,0.0074088303647018,134.97407158413796,2404.330833644572,0.1987835401536853,2329.332886624907,0.188568115234375,5.962440485468414e-06,724.2,0.028,0.068,0.197,0.0800573049206086,0.0013262511289685,0.0006786316064211,8.5,10.9,12.2,724.2,99.6,3.1,2023-07-01,0.188568115234375,1161.4633607005458
12,12,2023-07-01 07:00:00,18382.0,0.0073757063729553,135.58023454766553,2420.020041745592,0.1922421331657307,2346.883121130212,0.182098388671875,5.77100498362731e-06,724.0,0.028,0.068,0.197,0.0800573049206086,0.0013262511289685,0.0006786316064211,8.1,10.5,12.1,724.0,99.7,2.6,2023-07-01,0.182098388671875,1161.4633607005458
13,13,2023-07-01 07:30:00,18156.0,0.007421469602424,134.7442021016118,2387.774517931335,0.2059296133816102,2316.34259479939,0.193511962890625,5.710784727191351e-06,723.9,0.028,0.067,0.197,0.0797113477821129,0.0009235863822479,0.000472591424477,7.7,10.3,11.9,723.9,100.0,2.4,2023-07-01,0.193511962890625,1161.4633607005458
14,14,2023-07-01 08:00:00,18244.0,0.0074035492238119,135.07035203922436,2393.08958787598,0.2036075046010126,2321.966347219025,0.191375732421875,5.672334789779913e-06,723.7,0.028,0.067,0.197,0.0797113477821129,0.0009235863822479,0.000472591424477,7.4,10.0,11.8,723.7,100.0,2.3,2023-07-01,0.191375732421875,1161.4633607005458
15,15,2023-07-01 08:30:00,18324.0,0.0073873701196322,135.36617007214173,2400.4000654810893,0.2004570671603852,2330.4514526067,0.188140869140625,5.558342274884837e-06,723.6,0.028,0.067,0.197,0.0797113477821129,0.0009235863822479,0.000472591424477,7.0,9.7,11.6,723.6,100.0,2.0,2023-07-01,0.188140869140625,1161.4633607005458
