,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS,Bare
0,0,2023-07-01 01:00:00,11336.0,0.0093922594595668,106.47065323364932,2082.166166982817,0.1332454773137578,1993.2173400795264,0.134307861328125,8.2640285386207e-06,766.8,0.182,0.137,0.199,0.169,0.1698088159908838,0.0,0.0,17.1,13.7,12.1,10.5,766.8,66.9,14.4,2023-07-01,0.134307861328125,816.7739577395549
1,1,2023-07-01 01:30:00,11592.0,0.0092879702095892,107.66615066955816,2125.5802166774083,0.1160261466631303,2036.747122867148,0.117889404296875,8.07688531537892e-06,766.7,0.183,0.137,0.199,0.168,0.1702098323047372,0.0004687857781172,0.0002427880182143,17.0,13.7,12.2,10.5,766.7,74.9,12.2,2023-07-01,0.117889404296875,816.7739577395549
2,2,2023-07-01 02:00:00,11118.0,0.0094838934291019,105.44192714475584,2040.6803492520648,0.1515468352252053,1957.3057018811803,0.149383544921875,7.888266762972948e-06,767.1,0.182,0.136,0.198,0.168,0.1692468243730742,0.0006569649880791,0.0003402475820245,16.0,13.5,12.0,10.4,767.1,84.0,10.0,2023-07-01,0.149383544921875,816.7739577395549
3,3,2023-07-01 02:30:00,11370.0,0.0093782059894925,106.6302021005306,2098.319249910164,0.1266241269173381,2006.045122394461,0.129241943359375,8.518154053982724e-06,767.4,0.182,0.137,0.199,0.169,0.1698088159908838,0.0,0.0,15.3,13.8,12.2,10.5,767.4,89.0,10.3,2023-07-01,0.129241943359375,816.7739577395549
4,4,2023-07-01 03:00:00,11410.0,0.0093617529838573,106.81760154581266,2093.129429511813,0.1287226653694113,2007.500119069548,0.128692626953125,7.89901806774498e-06,767.8,0.181,0.137,0.199,0.169,0.1693708076086934,0.0005120292945041,0.0002651841917636,14.6,13.8,12.3,10.5,767.8,90.8,8.8,2023-07-01,0.128692626953125,816.7739577395549
5,5,2023-07-01 03:30:00,11440.0,0.0093494699000845,106.9579356569675,2098.1915064054588,0.1266754596065296,2018.0804763799167,0.124664306640625,7.351231085327154e-06,767.9,0.181,0.137,0.199,0.169,0.1693708076086934,0.0005120292945041,0.0002651841917636,14.0,13.7,12.3,10.5,767.9,90.7,7.7,2023-07-01,0.124664306640625,816.7739577395549
6,6,2023-07-01 04:00:00,11262.0,0.0094230661200117,106.12257064357232,2066.229958592989,0.1400459943549258,1991.0227419789253,0.135162353515625,6.995029259231465e-06,768.2,0.18,0.137,0.199,0.169,0.168932799226503,0.0010240585890082,0.0005303683835272,13.4,13.6,12.4,10.5,768.2,90.9,6.9,2023-07-01,0.135162353515625,816.7739577395549
7,7,2023-07-01 04:30:00,11236.0,0.0094339622641509,106.0,2064.495097553848,0.140803084991741,1992.217496053498,0.134674072265625,6.718513939917682e-06,768.6,0.18,0.137,0.199,0.169,0.168932799226503,0.0010240585890082,0.0005303683835272,12.8,13.4,12.4,10.5,768.6,93.2,5.9,2023-07-01,0.134674072265625,816.7739577395549
8,8,2023-07-01 05:00:00,11250.0,0.0094280904158206,106.06601717798212,2066.014470510881,0.1401398502496258,1996.152064116068,0.133087158203125,6.481210974994129e-06,768.7,0.179,0.137,0.199,0.169,0.1684947908443126,0.0015360878835123,0.0007955525752909,12.3,13.3,12.4,10.5,768.7,90.5,5.8,2023-07-01,0.133087158203125,816.7739577395549
9,9,2023-07-01 05:30:00,11194.0,0.0094516438547054,105.80170130957252,2054.630810761256,0.1451726585984584,1987.661760709876,0.136505126953125,6.239329135663225e-06,768.8,0.179,0.137,0.199,0.169,0.1684947908443126,0.0015360878835123,0.0007955525752909,11.8,13.1,12.4,10.5,768.8,94.3,4.6,2023-07-01,0.136505126953125,816.7739577395549
