,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS,Bare
1631,1631,2023-08-04 00:30:00,10688.0,0.0096727904066767,103.38278386656069,2208.219833019936,0.1397674893078055,2122.90099135342,0.118927001953125,7.442544686799682e-06,782.9,0.232,0.077,0.108,0.1498390597274713,0.065276381656287,0.0333410850085745,25.2,21.3,18.9,782.9,35.2,23.5,2023-08-04,0.118927001953125,904.1757432862249
1632,1632,2023-08-04 01:00:00,10370.0,0.0098199804189785,101.83319694480774,2139.047100661457,0.1652819664037038,2059.7383308696635,0.137603759765625,7.130424773180533e-06,782.9,0.229,0.077,0.108,0.1485674290354562,0.0637972573421829,0.0325855956838986,24.7,21.7,19.0,782.9,35.1,22.8,2023-08-04,0.137603759765625,904.1757432862249
1634,1634,2023-08-04 02:00:00,10536.0,0.009742313910673,102.64501936285072,2197.864411274033,0.1433377888223069,2096.6511076516817,0.126373291015625,8.939591478098828e-06,782.9,0.222,0.078,0.108,0.1459461512554582,0.0607482622819331,0.0310282666635833,21.2,21.7,19.3,782.9,60.0,17.5,2023-08-04,0.126373291015625,904.1757432862249
1635,1635,2023-08-04 02:30:00,10264.0,0.0098705573982181,101.31140113531151,2135.549425514857,0.1666838620805864,2042.523440483757,0.143157958984375,8.43419170794847e-06,782.9,0.22,0.078,0.108,0.1450983974607815,0.0597621794058637,0.0305246071137994,19.9,21.4,19.4,782.9,62.7,15.8,2023-08-04,0.143157958984375,904.1757432862249
1636,1636,2023-08-04 03:00:00,10300.0,0.0098532927816429,101.4889156509222,2151.4698823299213,0.1603955629367154,2062.527224771377,0.136688232421875,7.985767321285806e-06,783.5,0.218,0.077,0.108,0.1439047831647343,0.0583738015238011,0.0298154681600869,18.9,20.9,19.5,783.5,57.6,16.3,2023-08-04,0.136688232421875,904.1757432862249
1637,1637,2023-08-04 03:30:00,10312.0,0.0098475580099193,101.54801819828884,2138.196697757861,0.1656217422176723,2053.913141729267,0.139434814453125,7.599184996732656e-06,783.8,0.217,0.077,0.109,0.1437111688686871,0.0581485949330513,0.0297004398466884,18.1,20.5,19.5,783.8,50.7,17.6,2023-08-04,0.139434814453125,904.1757432862249
1638,1638,2023-08-04 04:00:00,10256.0,0.009874406319167,101.27191120937732,2135.986462684929,0.1665080553182448,2048.714792232467,0.141143798828125,7.88856531686807e-06,784.2,0.215,0.077,0.109,0.1428634150740104,0.0571625120569819,0.0291967802969045,17.4,20.0,19.5,784.2,59.0,15.7,2023-08-04,0.141143798828125,904.1757432862249
1640,1640,2023-08-04 05:00:00,10298.0,0.0098542495513477,101.47906187977893,2162.586828970212,0.1561416838816415,2062.4938225608084,0.136688232421875,8.987053306493357e-06,784.3,0.213,0.076,0.108,0.1414395381766721,0.0555062993276344,0.0283508398816986,16.4,19.1,19.3,784.3,73.2,14.3,2023-08-04,0.136688232421875,904.1757432862249
1641,1641,2023-08-04 05:30:00,10394.0,0.0098086365795135,101.95096860746348,2172.7556009636787,0.1523451703019109,2080.206269914768,0.131256103515625,8.238973825302335e-06,784.2,0.211,0.076,0.108,0.1405917843819954,0.054520216451565,0.0278471803319147,16.1,18.8,19.2,784.2,72.7,13.0,2023-08-04,0.131256103515625,904.1757432862249
1644,1644,2023-08-04 07:00:00,10440.0,0.0097870036585783,102.1763181955584,2169.9014800395166,0.1534018302507877,2082.585989686688,0.130523681640625,7.764162118922325e-06,784.4,0.208,0.075,0.108,0.1389742931886098,0.0526387971314677,0.0268862116033102,14.6,17.7,18.8,784.4,72.0,12.2,2023-08-04,0.130523681640625,904.1757432862249
1645,1645,2023-08-04 07:30:00,10358.0,0.0098256671178929,101.7742600071354,2151.309263312507,0.1604578346048711,2066.2285135224824,0.135528564453125,7.62533974458614e-06,784.4,0.208,0.075,0.108,0.1389742931886098,0.0526387971314677,0.0268862116033102,14.2,17.4,18.7,784.4,71.6,12.0,2023-08-04,0.135528564453125,904.1757432862249
1646,1646,2023-08-04 08:00:00,10270.0,0.0098676736593248,101.34100848126586,2133.559166701988,0.1674868050193756,2049.572353096495,0.140838623046875,7.588467714813366e-06,784.2,0.207,0.075,0.108,0.1385504162912715,0.0521457556934331,0.0266343818284183,13.9,17.1,18.5,784.2,71.7,11.9,2023-08-04,0.140838623046875,904.1757432862249
1649,1649,2023-08-04 09:30:00,10222.0,0.0098908146103755,101.10390694725896,2132.6927218764445,0.1678375550007445,2051.5729508321283,0.140228271484375,7.32227426615682e-06,784.2,0.204,0.075,0.108,0.1372787855992564,0.0506666313793289,0.0258788925037424,12.7,16.2,18.1,784.2,73.2,11.0,2023-08-04,0.140228271484375,904.1757432862249
1651,1651,2023-08-04 10:30:00,10350.0,0.0098294637436598,101.73494974687902,2158.34122265439,0.1577533009111099,2077.262770603847,0.132110595703125,7.228035070952204e-06,784.2,0.203,0.074,0.107,0.1362787855992564,0.0495034600880162,0.0252847818634285,12.1,15.7,17.8,784.2,76.0,10.2,2023-08-04,0.132110595703125,904.1757432862249
1654,1654,2023-08-04 12:00:00,10366.0,0.0098218748880651,101.81355508968342,2146.0541488993813,0.1625082237600152,2067.824364855576,0.135040283203125,7.005912731936031e-06,784.4,0.2,0.074,0.107,0.1350071549072414,0.0480243357739121,0.0245292925387526,11.2,14.9,17.3,784.4,78.5,9.2,2023-08-04,0.135040283203125,904.1757432862249
1655,1655,2023-08-04 12:30:00,10272.0,0.0098667129745482,101.35087567455942,2139.7845551896285,0.1649878737334374,2061.7833156875377,0.136932373046875,7.005912731936031e-06,784.6,0.199,0.074,0.107,0.134583278009903,0.0475312943358774,0.0242774627638606,10.9,14.6,17.2,784.6,78.5,9.2,2023-08-04,0.136932373046875,904.1757432862249
1658,1658,2023-08-04 14:00:00,10162.0,0.0099199710495987,100.80674580602232,2134.693253867539,0.1670288054364266,2053.370342599536,0.139617919921875,7.334185202995622e-06,785.0,0.197,0.074,0.107,0.1337355242152263,0.046545211459808,0.0237738032140767,10.7,14.0,16.7,785.0,71.5,11.4,2023-08-04,0.139617919921875,904.1757432862249
1661,1661,2023-08-04 15:30:00,10354.0,0.0098275648807533,101.75460677532,2183.3434462054306,0.1484847420689443,2099.375688747829,0.125579833984375,7.406766115142136e-06,784.7,0.196,0.074,0.106,0.1330813847165968,0.0457843351744884,0.0233851719776913,11.9,13.7,16.3,784.7,47.4,18.3,2023-08-04,0.125579833984375,904.1757432862249
1662,1662,2023-08-04 16:00:00,10344.0,0.009832314102932,101.70545708072896,2182.750358704074,0.1486985479335708,2097.3480900528825,0.126129150390625,7.540586615265769e-06,784.7,0.195,0.073,0.106,0.1323116473178879,0.0448889987304605,0.0229278627988708,12.5,13.7,16.2,784.7,43.4,20.1,2023-08-04,0.126129150390625,904.1757432862249
1663,1663,2023-08-04 16:30:00,10250.0,0.0098772959664958,101.24228365658294,2166.978922542264,0.1544910094416686,2076.7766298935985,0.132293701171875,8.04329557056275e-06,784.6,0.195,0.074,0.106,0.1326575078192584,0.0452912937364537,0.0231333422027993,13.1,13.8,16.1,784.6,44.7,20.7,2023-08-04,0.132293701171875,904.1757432862249
1665,1665,2023-08-04 17:30:00,10498.0,0.0097599302909228,102.45974819410792,2225.552817917497,0.1339696453626956,2129.0123670779326,0.117279052734375,8.39725571492257e-06,784.6,0.195,0.074,0.106,0.1326575078192584,0.0452912937364537,0.0231333422027993,17.5,14.3,15.9,784.6,41.1,22.9,2023-08-04,0.117279052734375,904.1757432862249
1667,1667,2023-08-04 18:30:00,10200.0,0.0099014754297667,100.99504938362078,2151.5063015105984,0.1603814465489195,2072.610137055558,0.133575439453125,7.049275965504883e-06,784.1,0.195,0.075,0.106,0.1330033683206289,0.0456935887424468,0.0233388216067278,23.2,16.0,16.0,784.1,34.9,22.7,2023-08-04,0.133575439453125,904.1757432862249
1668,1668,2023-08-04 19:00:00,10256.0,0.009874406319167,101.27191120937732,2153.424149343039,0.1596397680464882,2080.9579166579047,0.131011962890625,6.448795822369042e-06,783.9,0.192,0.076,0.106,0.1320775981299843,0.0446167594343359,0.0227888116859804,22.7,17.0,16.1,783.9,30.5,23.5,2023-08-04,0.131011962890625,904.1757432862249
1669,1669,2023-08-04 19:30:00,10448.0,0.0097832560024354,102.2154587134451,2196.6572406753003,0.1437593398070827,2119.91500714136,0.119781494140625,6.703818162819303e-06,783.9,0.19,0.076,0.106,0.1312298443353076,0.0436306765582665,0.0222851521361965,22.6,17.8,16.4,783.9,33.0,22.8,2023-08-04,0.119781494140625,904.1757432862249
1670,1670,2023-08-04 20:00:00,10580.0,0.0097220346847816,102.85912696499032,2208.899281656562,0.1395360658051596,2139.160894314617,0.114532470703125,6.037187856583349e-06,783.8,0.189,0.076,0.106,0.1308059674379692,0.0431376351202318,0.0220333223613045,24.2,18.4,16.6,783.8,25.5,25.5,2023-08-04,0.114532470703125,904.1757432862249
1671,1671,2023-08-04 20:30:00,10498.0,0.0097599302909228,102.45974819410792,2193.8247895741574,0.1447529022792959,2122.5813864380766,0.119049072265625,6.215649909715656e-06,783.8,0.188,0.077,0.106,0.1307279510420013,0.0430468886881902,0.021986971990341,27.0,19.1,16.9,783.8,26.7,25.2,2023-08-04,0.119049072265625,904.1757432862249
1672,1672,2023-08-04 21:00:00,10616.0,0.0097055364524425,103.03397497913006,2225.194623515335,0.1340872699698612,2157.287090712048,0.109832763671875,5.829297867580057e-06,783.6,0.187,0.079,0.107,0.1312260577486951,0.0436262721094268,0.0222829024847995,28.9,19.9,17.2,783.6,24.9,25.3,2023-08-04,0.109832763671875,904.1757432862249
1673,1673,2023-08-04 21:30:00,10646.0,0.0096918518992448,103.17945531936094,2222.401766723114,0.1350075160170393,2154.241572830201,0.110626220703125,5.859258445065777e-06,783.4,0.185,0.08,0.107,0.1307241644553889,0.0430424842393506,0.0219847223389441,29.8,20.9,17.4,783.4,24.2,25.9,2023-08-04,0.110626220703125,904.1757432862249
1674,1674,2023-08-04 22:00:00,10654.0,0.0096882124504123,103.21821544669332,2223.3161182964354,0.1347056264480364,2151.158406750481,0.111419677734375,6.211787627189232e-06,783.1,0.182,0.08,0.107,0.1294525337633738,0.0415633599252464,0.0212292330142682,30.1,21.8,17.7,783.1,25.8,25.8,2023-08-04,0.111419677734375,904.1757432862249
1675,1675,2023-08-04 22:30:00,10712.0,0.0096619484936038,103.49879226348487,2234.3749387361863,0.1311009844630362,2161.2956692523544,0.108856201171875,6.261613459505494e-06,783.0,0.18,0.081,0.107,0.1289506404700676,0.0409795720551702,0.0209310528684128,29.3,22.6,18.1,783.0,26.3,25.6,2023-08-04,0.108856201171875,904.1757432862249
1676,1676,2023-08-04 23:00:00,10476.0,0.0097701730293424,102.35233265539188,2182.5815840320333,0.1487594429109398,2114.1009063675683,0.121368408203125,5.9985816839226935e-06,782.9,0.177,0.081,0.108,0.1279092723793437,0.039768282588351,0.0203123650052303,30.0,23.1,18.5,782.9,24.5,26.1,2023-08-04,0.121368408203125,904.1757432862249
1677,1677,2023-08-04 23:30:00,10484.0,0.0097664446670509,102.39140588936164,2185.222234022712,0.1478093303300177,2115.715340049407,0.120941162109375,6.083827435780062e-06,782.9,0.174,0.082,0.108,0.1269835021886991,0.0386914532802401,0.0197623550844829,29.9,23.6,18.8,782.9,24.3,26.5,2023-08-04,0.120941162109375,904.1757432862249
1678,1678,2023-08-05 00:00:00,10670.0,0.0096809458358888,103.29569206893385,2227.2507569439254,0.1334133047695146,2156.0970101906123,0.110137939453125,6.111329734633378e-06,782.7,0.171,0.083,0.108,0.1260577319980545,0.0376146239721291,0.0192123451637355,29.8,24.0,19.2,782.7,26.4,25.1,2023-08-05,0.110137939453125,889.4575367245639
1679,1679,2023-08-05 00:30:00,10552.0,0.0097349249722488,102.72292830717006,2198.308752720216,0.1431829064512832,2128.732120248718,0.117340087890625,6.052692795977793e-06,782.6,0.167,0.082,0.108,0.1240163639073306,0.0352401632139972,0.0179995466602392,28.0,24.3,19.5,782.6,26.0,25.2,2023-08-05,0.117340087890625,889.4575367245639
1680,1680,2023-08-05 01:00:00,10570.0,0.0097266324786943,102.810505299799,2201.357511084098,0.1421243161738047,2133.9158951826225,0.115936279296875,5.852708702389615e-06,782.7,0.164,0.082,0.109,0.1229749958166067,0.0340288737471779,0.0173808587970567,26.8,24.3,19.8,782.7,25.0,25.3,2023-08-05,0.115936279296875,889.4575367245639
1681,1681,2023-08-05 01:30:00,10884.0,0.0095853005187394,104.3264108459598,2270.6529927549404,0.1198508462561494,2198.907318039451,0.099700927734375,6.042199209319076e-06,782.8,0.161,0.082,0.109,0.1217033651245917,0.0325497494330738,0.0166253694723808,24.9,24.1,20.0,782.8,27.0,24.5,2023-08-05,0.099700927734375,889.4575367245639
1682,1682,2023-08-05 02:00:00,10776.0,0.0096332140106614,103.80751417888784,2268.3523415615746,0.1205393481353562,2182.7038642258985,0.103546142578125,7.266596901298561e-06,782.9,0.158,0.083,0.11,0.1210078575352383,0.0317407549722478,0.0162121610131269,23.2,23.7,20.2,782.9,39.0,21.3,2023-08-05,0.103546142578125,889.4575367245639
