,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,BaroPress,airRH,airT,date,CRNS,Bare
94,94,2023-07-03 00:00:00,12410.0,0.0089766462153963,111.40017953306898,2683.706828285211,0.0434879945000331,2606.686545999193,0.050750732421875,5.4717032471904495e-06,792.8,0.043,0.043,0.0028284271247461,0.0019999999999999,29.1,792.8,22.1,26.3,2023-07-03,0.050750732421875,944.1247911270029
95,95,2023-07-03 00:30:00,12642.0,0.0088938972337812,112.43664882946308,2732.475638810105,0.0361486603172397,2660.4996500201896,0.044219970703125,5.00991864924551e-06,792.8,0.042,0.042,0.001414213562373,0.001,28.2,792.8,21.4,25.3,2023-07-03,0.044219970703125,944.1247911270029
96,96,2023-07-03 01:00:00,12586.0,0.0089136614742296,112.18734331465382,2722.482537108808,0.0376109978418029,2646.787452526737,0.045806884765625,5.296083840263457e-06,792.7,0.042,0.042,0.001414213562373,0.001,27.0,792.7,23.4,24.7,2023-07-03,0.045806884765625,944.1247911270029
97,97,2023-07-03 01:30:00,12520.0,0.0089371250675395,111.89280584559492,2715.8969732853293,0.0385861312559078,2634.8248392859336,0.047271728515625,5.6980479021539176e-06,792.8,0.042,0.042,0.001414213562373,0.001,25.7,792.8,29.2,22.1,2023-07-03,0.047271728515625,944.1247911270029
98,98,2023-07-03 02:00:00,12248.0,0.0090358166768497,110.67068265805538,2668.6732974889883,0.0458573727273423,2576.9956240898823,0.054656982421875,6.588038709517108e-06,792.9,0.041,0.041,0.0,0.0,24.5,792.9,36.4,20.8,2023-07-03,0.054656982421875,944.1247911270029
99,99,2023-07-03 02:30:00,12222.0,0.0090454225688209,110.55315463612968,2657.159912124375,0.0477079509935046,2571.525189224897,0.055389404296875,6.166877962102233e-06,792.9,0.041,0.041,0.0,0.0,23.5,792.9,37.2,19.3,2023-07-03,0.055389404296875,944.1247911270029
100,100,2023-07-03 03:00:00,12300.0,0.0090166963466743,110.90536506409416,2693.548041357001,0.0419650254499121,2600.444172557126,0.051544189453125,6.6301970129232975e-06,793.3,0.041,0.041,0.0,0.0,22.6,793.3,44.5,17.5,2023-07-03,0.051544189453125,944.1247911270029
101,101,2023-07-03 03:30:00,12362.0,0.0089940568919429,111.18453129819814,2729.714236641992,0.0365506778804537,2634.42087263191,0.047332763671875,6.698595294493057e-06,794.0,0.04,0.04,0.001414213562373,0.001,21.9,794.0,50.1,15.7,2023-07-03,0.047332763671875,944.1247911270029
102,102,2023-07-03 04:00:00,12584.0,0.0089143697790083,112.17842929904128,2781.548465923337,0.0292576039082954,2691.50710784218,0.040679931640625,6.195163119577584e-06,794.5,0.04,0.04,0.001414213562373,0.001,21.2,794.5,46.9,15.5,2023-07-03,0.040679931640625,944.1247911270029
103,103,2023-07-03 04:30:00,12242.0,0.0090380307047369,110.64357188738984,2713.713283504371,0.0389115061126461,2624.0822153221425,0.048553466796875,6.325390973938763e-06,794.8,0.04,0.04,0.001414213562373,0.001,20.6,794.8,45.9,16.2,2023-07-03,0.048553466796875,944.1247911270029
